"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type"
"CHEMBL249539";"";"None";"466.46";"0";"3.27";"10g";"O=C(O)c1ccc(CCN2C(=O)CCN2CCC(O)Cc2cccc(OC(F)(F)F)c2)cc1";"Ki";"'='";"2830.0";"nM";"5.55";"";"";"UO_0000065";"11.89";"0.23";"2.28";"6.14";"0";"CHEMBL925647";"Binding affinity at human prostaglandin EP2 receptor";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1881";"Prostanoid EP2 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1140555";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2007";"None";"";""
"CHEMBL271896";"BUTAPROST";"-1.0";"408.58";"0";"4.34";"butaprost";"CCCC1([C@H](O)C/C=C/[C@H]2[C@H](O)CC(=O)[C@@H]2CCCCCCC(=O)OC)CCC1";"Ki";"'='";"110.0";"nM";"6.96";"";"";"UO_0000065";"17.03";"0.33";"2.62";"8.30";"0";"CHEMBL931917";"Displacement of [3H]PGE2 from human EP2 receptor";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1881";"Prostanoid EP2 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1143179";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2008";"None";"";""
"CHEMBL272969";"";"None";"317.39";"0";"2.25";"2e";"CC[C@H](O)/C=C/[C@H]1CCC(=O)N1CCc1ccc(C(=O)O)cc1";"Ki";"'>'";"10000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL931917";"Displacement of [3H]PGE2 from human EP2 receptor";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1881";"Prostanoid EP2 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1143179";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2008";"None";"";""
"CHEMBL426559";"LAROPIPRANT";"4.0";"435.90";"0";"4.39";"13, MK-0524";"CS(=O)(=O)c1cc(F)cc2c3c(n(Cc4ccc(Cl)cc4)c12)[C@@H](CC(=O)O)CC3";"Ki";"'='";"136.0";"nM";"6.87";"";"Antagonist";"UO_0000065";"15.75";"0.32";"2.48";"8.99";"0";"CHEMBL856877";"Binding affinity to human EP2 receptor expressed in HEK293 cells";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL1881";"Prostanoid EP2 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1141416";"1";"Scientific Literature";"J Med Chem";"2007";"CHEMBL3307715";"";"ANTAGONIST"
"CHEMBL1086490";"";"None";"512.92";"2";"6.48";"9b";"O=C(O)c1ccc(C2(NC(=O)c3cc(Cl)cc4ccn(Cc5ccc(C(F)(F)F)cc5)c34)CC2)cc1";"Ki";"'>='";"1291.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL1120635";"Displacement of [3H]PGE2 from human prostanoid EP2 receptor expressed in HEK293-EBNA cells after 60 mins by scintillation counting";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293-EBNA";"None";"";"";"";"CHEMBL1881";"Prostanoid EP2 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1155539";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2010";"CHEMBL3833702";"";""
"CHEMBL1085041";"";"None";"450.90";"1";"5.67";"6f";"C[C@H](NC(=O)c1cc(F)cc2ccn(Cc3cccc(Cl)c3)c12)c1ccc(C(=O)O)cc1";"Ki";"'>='";"504.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL1120635";"Displacement of [3H]PGE2 from human prostanoid EP2 receptor expressed in HEK293-EBNA cells after 60 mins by scintillation counting";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293-EBNA";"None";"";"";"";"CHEMBL1881";"Prostanoid EP2 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1155539";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2010";"CHEMBL3833702";"";""
"CHEMBL445895";"";"None";"535.76";"2";"6.72";"10";"O=C(CCCc1ccccc1-c1ccc(CSCCc2ccccc2)cc1)NS(=O)(=O)c1cccs1";"Ki";"'='";"1800.0";"nM";"5.75";"";"";"UO_0000065";"10.72";"0.22";"-0.98";"9.08";"0";"CHEMBL763190";"Binding affinity at human Prostanoid EP2 receptor.";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1881";"Prostanoid EP2 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1135328";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2002";"None";"";""
"CHEMBL599760";"";"None";"425.56";"0";"2.58";"16, RO-85";"CC(=O)N1CCN(C[C@@H](C)NC(=O)c2cc3c(-c4ccccc4)nn(C)c3s2)CC1";"Activity";"'>'";"50.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL1068818";"Displacement of [3H]PGE2 from human recombinant EP2 receptor expressed in HEK293 cells at 10 uM after 120 mins by scintillation counting";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL1881";"Prostanoid EP2 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1159093";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2010";"CHEMBL3307715";"";""
"CHEMBL314533";"";"None";"614.77";"2";"7.08";"17";"CC(C)(C(=O)NS(=O)(=O)c1ccccc1-c1ccc(CN2C(=O)c3ccccc3CCc3ccccc32)cc1)c1ccccc1";"Ki";"'='";"23000.0";"nM";"4.64";"";"";"UO_0000065";"7.54";"0.14";"-2.44";"5.55";"0";"CHEMBL763188";"Affinity at human EP2 receptor.";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1881";"Prostanoid EP2 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1131980";"1";"Scientific Literature";"Bioorg Med Chem Lett";"1999";"None";"";""
"CHEMBL585581";"";"None";"491.42";"1";"5.58";"13";"O=C(/C=C/c1cccc2ccn(Cc3ccc(Cl)cc3Cl)c12)NS(=O)(=O)c1cccs1";"IC50";"'>'";"10000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL1045307";"Displacement of [3H]PGE2 from human EP2 receptor after 1 hr by liquid scintillation counting";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1881";"Prostanoid EP2 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1156787";"1";"Scientific Literature";"J Med Chem";"2010";"None";"";""
