"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type"
"CHEMBL1095064";"";"None";"487.64";"1";"7.25";"18";"Cc1cc(C)cc(Oc2ccc(CCC(=O)O)c(C(=O)N[C@H](CC(C)C)c3cc(C)cc(C)c3)c2)c1";"Ki";"'>'";"10000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL1117301";"Displacement of [3H]PGE2 from mouse EP2 receptor expressed in CHO cells after 60 mins by liquid scintillation counting";"B";"BAO_0000219";"cell-based format";"Mus musculus";"None";"None";"CHO";"None";"";"";"";"CHEMBL2488";"Prostanoid EP2 receptor";"Mus musculus";"SINGLE PROTEIN";"CHEMBL1158583";"1";"Scientific Literature";"Bioorg Med Chem";"2010";"CHEMBL3308072";"";""
"CHEMBL1091743";"";"None";"576.63";"1";"4.88";"18";"O=C(CCc1ccc(Cn2cccn2)cc1ONCc1cccc2ccccc12)NS(=O)(=O)c1ccc(F)c(F)c1";"Ki";"'>'";"10000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL1104420";"Displacement of [3H]PGE2 from mouse EP2 receptor expressed in CHO cells after 60 mins by scintillation counter";"B";"BAO_0000219";"cell-based format";"Mus musculus";"None";"None";"CHO";"None";"";"";"";"CHEMBL2488";"Prostanoid EP2 receptor";"Mus musculus";"SINGLE PROTEIN";"CHEMBL1156219";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2010";"CHEMBL3308072";"";""
"CHEMBL185087";"";"None";"367.40";"0";"4.22";"3";"CCCCOc1ccc(C(=O)n2cc(C(=O)O)c3cc(OC)ccc32)cc1";"Ki";"'='";"8900.0";"nM";"5.05";"";"";"UO_0000065";"13.75";"0.26";"0.83";"6.50";"0";"CHEMBL875211";"Binding affinity for mouse Prostanoid EP2 receptor";"B";"BAO_0000357";"single protein format";"Mus musculus";"None";"None";"None";"None";"";"";"";"CHEMBL2488";"Prostanoid EP2 receptor";"Mus musculus";"SINGLE PROTEIN";"CHEMBL1137193";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2004";"None";"";""
"CHEMBL62305";"";"None";"440.58";"0";"2.41";"13";"COc1ccccc1C[C@H](O)/C=C/[C@H]1[C@H](O)CC(=O)[C@@H]1SCCCSCC(=O)O";"Ki";"'='";"2600.0";"nM";"5.58";"";"";"UO_0000065";"12.68";"0.26";"3.18";"5.37";"0";"CHEMBL763367";"Evaluated for its competitive binding affinity towards mouse Prostanoid EP2 receptor in CHO cells expressing prostanoid receptor";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"CHO";"None";"";"";"";"CHEMBL2488";"Prostanoid EP2 receptor";"Mus musculus";"SINGLE PROTEIN";"CHEMBL1133893";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2001";"CHEMBL3308072";"";""
"CHEMBL3586309";"";"None";"402.52";"1";"5.37";"1";"COc1cc(-c2csc3ccccc23)cc2c1OCCN(Cc1cccnc1)C2";"IC50";"'='";"60.0";"nM";"7.22";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL3588437";"Antagonist activity at mouse EP2 receptor overexpressed in human ECV304 cells assessed as inhibition of prostaglandin E2-induced cAMP production";"F";"BAO_0000219";"cell-based format";"Mus musculus";"None";"None";"ECV-304";"None";"";"";"";"CHEMBL2488";"Prostanoid EP2 receptor";"Mus musculus";"SINGLE PROTEIN";"CHEMBL3585259";"1";"Scientific Literature";"J Med Chem";"2015";"CHEMBL3307513";"";""
"CHEMBL64598";"";"None";"390.57";"0";"2.60";"7";"CCCCC[C@H](O)/C=C/[C@H]1[C@H](O)CC(=O)[C@@H]1CSCCSCC(=O)O";"Ki";"'='";"1000.0";"nM";"6.00";"";"";"UO_0000065";"15.36";"0.33";"3.40";"6.33";"0";"CHEMBL763367";"Evaluated for its competitive binding affinity towards mouse Prostanoid EP2 receptor in CHO cells expressing prostanoid receptor";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"CHO";"None";"";"";"";"CHEMBL2488";"Prostanoid EP2 receptor";"Mus musculus";"SINGLE PROTEIN";"CHEMBL1133893";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2001";"CHEMBL3308072";"";""
"CHEMBL3586360";"";"None";"423.88";"0";"4.51";"52";"O=c1cc(CN2CCOc3c(Cl)cc(-n4ccc5cc(F)ccc54)cc3C2)cc[nH]1";"IC50";"'='";"10.0";"nM";"8.00";"";"";"UO_0000065";"18.87";"0.36";"3.49";"15.92";"0";"CHEMBL3588431";"Displacement of [3H]-PGE2 from mouse EP2 receptor overexpressed in human ECV304 cell membranes by scintillation proximity assay";"B";"BAO_0000219";"cell-based format";"Mus musculus";"None";"None";"ECV-304";"None";"";"";"";"CHEMBL2488";"Prostanoid EP2 receptor";"Mus musculus";"SINGLE PROTEIN";"CHEMBL3585259";"1";"Scientific Literature";"J Med Chem";"2015";"CHEMBL3307513";"";""
"CHEMBL304225";"";"None";"406.56";"0";"4.28";"13";"CC(C)CC1([C@@H](O)C/C=C/[C@H]2[C@H](O)CC(=O)[C@@H]2C/C=C\CCCC(=O)O)CCC1";"Ki";"'='";"40.0";"nM";"7.40";"";"";"UO_0000065";"18.20";"0.35";"3.12";"7.80";"0";"CHEMBL763366";"Binding affinity towards mouse Prostanoid EP2 receptor expressed in CHO cells.";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"CHO";"None";"";"";"";"CHEMBL2488";"Prostanoid EP2 receptor";"Mus musculus";"SINGLE PROTEIN";"CHEMBL1133892";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2001";"CHEMBL3308072";"";""
"CHEMBL64187";"";"None";"372.53";"0";"3.04";"7";"CCCCC[C@H](O)/C=C/[C@H]1[C@H](O)CC(=O)[C@@H]1CCSCCCC(=O)O";"Ki";"'='";"75.0";"nM";"7.12";"";"";"UO_0000065";"19.13";"0.39";"4.08";"7.51";"0";"CHEMBL763368";"Affinity for mouse Prostanoid EP2 receptor expressed in CHO cells";"B";"BAO_0000219";"cell-based format";"Mus musculus";"None";"None";"CHO";"None";"";"";"";"CHEMBL2488";"Prostanoid EP2 receptor";"Mus musculus";"SINGLE PROTEIN";"CHEMBL1133894";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2001";"CHEMBL3308072";"";""
"CHEMBL2315059";"";"None";"614.31";"2";"7.12";"21";"O=C(NS(=O)(=O)c1ccc(Cl)c(Cl)c1)c1cccc(Cc2cc(Cl)ccc2OCc2ccc(Cl)cc2F)n1";"Ki";"'>'";"1000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL2320402";"Antagonist activity at mouse EP2 receptor";"B";"BAO_0000357";"single protein format";"Mus musculus";"None";"None";"None";"None";"";"";"";"CHEMBL2488";"Prostanoid EP2 receptor";"Mus musculus";"SINGLE PROTEIN";"CHEMBL2311344";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2013";"None";"";""
