Molecule ChEMBL ID,Molecule Name,Molecule Max Phase,Molecular Weight,#RO5 Violations,AlogP,Compound Key,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,pChEMBL Value,Data Validity Comment,Comment,Uo Units,Ligand Efficiency BEI,Ligand Efficiency LE,Ligand Efficiency LLE,Ligand Efficiency SEI,Potential Duplicate,Assay ChEMBL ID,Assay Description,Assay Type,BAO Format ID,BAO Label,Assay Organism,Assay Tissue ChEMBL ID,Assay Tissue Name,Assay Cell Type,Assay Subcellular Fraction,Assay Parameters,Assay Variant Accession,Assay Variant Mutation,Target ChEMBL ID,Target Name,Target Organism,Target Type,Document ChEMBL ID,Source ID,Source Description,Document Journal,Document Year,Cell ChEMBL ID,Properties,Action Type
CHEMBL222715,,None,359.47,0,3.42,2a,CCCCC[C@H](O)/C=C/[C@H]1CCC(=O)N1CCc1ccc(C(=O)O)cc1,EC50,'=',0.02,nM,10.7,,,UO_0000065,,,,,0,CHEMBL933110,Agonist activity at human EP4 receptor by cAMP assay,F,BAO_0000019,assay format,Homo sapiens,None,None,None,None,,,,CHEMBL1836,Prostanoid EP4 receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1143179,1,Scientific Literature,Bioorg Med Chem Lett,2008,None,,
CHEMBL548,DINOPROSTONE,4,352.47,0,3.25,PGE2,CCCCC[C@H](O)/C=C/[C@H]1[C@H](O)CC(=O)[C@@H]1C/C=C\CCCC(=O)O,EC50,'=',3,nM,8.52,,,UO_0000065,,,,,0,CHEMBL933110,Agonist activity at human EP4 receptor by cAMP assay,F,BAO_0000019,assay format,Homo sapiens,None,None,None,None,,,,CHEMBL1836,Prostanoid EP4 receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1143179,1,Scientific Literature,Bioorg Med Chem Lett,2008,None,,
CHEMBL604546,,None,427.95,1,5.8,28a,Cc1sc(C)c(C(=O)N[C@@H](C)c2ccc(C(=O)O)cc2)c1Cc1cccc(Cl)c1,Ki,'=',3.1,nM,8.51,,,UO_0000065,19.88,0.4,2.71,12.81,1,CHEMBL1072472,Displacement of [3H]PGE2 from human EP4 receptor expressed in HEK293-EBNA cells by scintillation counting,B,BAO_0000219,cell-based format,Homo sapiens,None,None,HEK293-EBNA,None,,,,CHEMBL1836,Prostanoid EP4 receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1157608,1,Scientific Literature,J Med Chem,2010,CHEMBL3833702,,
CHEMBL1085041,,None,450.9,1,5.67,6f,C[C@H](NC(=O)c1cc(F)cc2ccn(Cc3cccc(Cl)c3)c12)c1ccc(C(=O)O)cc1,IC50,'=',3.3,nM,8.48,,,UO_0000065,,,,,0,CHEMBL1117654,Antagonist activity at human prostanoid EP4 receptor expressed in HEK293 cells assessed as inhibition of PGE2-induced cAMP accumulation by scintillation proximity assay,F,BAO_0000219,cell-based format,Homo sapiens,None,None,HEK293,None,,,,CHEMBL1836,Prostanoid EP4 receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1155539,1,Scientific Literature,Bioorg Med Chem Lett,2010,CHEMBL3307715,,
CHEMBL1644008,,None,521.66,1,4.82,11a,Cc1ccc(S(=O)(=O)NC(=O)NCCc2ccc(-c3c(C(N)=O)sc4c(C)cc(C)cc34)cc2)cc1,Ki,'=',171,nM,6.77,,,UO_0000065,12.97,0.26,1.95,5.72,0,CHEMBL1645712,Ratio of Ki for EP4 receptor to EP4 receptor in presence of 10% HSA,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL1836,Prostanoid EP4 receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1641502,1,Scientific Literature,Bioorg Med Chem Lett,2011,None,,
CHEMBL19215,METERGOLINE,4,403.53,0,4.06,metergoline,CN1C[C@H](CNC(=O)OCc2ccccc2)C[C@@H]2c3cccc4c3c(cn4C)C[C@H]21,Activity,'=',15.2,nM,,,,UO_0000065,,,,,0,CHEMBL1283457,Displacement of [3H]PGE2 from human cloned EP4 receptor,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL1836,Prostanoid EP4 receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1275246,1,Scientific Literature,Bioorg Med Chem,2010,None,,
CHEMBL221946,,None,373.49,0,3.81,12,CCCCC[C@H](O)/C=C/[C@H]1CCC(=O)N1CCCc1cccc(C(=O)O)c1,Ki,'=',900,nM,6.05,,Antagonist,UO_0000065,16.19,0.31,2.24,7.77,0,CHEMBL918077,Binding affinity to human EP4 receptor,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL1836,Prostanoid EP4 receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1149243,1,Scientific Literature,J Med Chem,2004,None,,ANTAGONIST
CHEMBL223744,,None,373.49,0,3.64,20,O=C(O)c1ccc(CCN2C(=O)CC[C@@H]2CC[C@@H](O)CCC2CCC2)cc1,Ki,'=',18,nM,7.75,,Antagonist,UO_0000065,20.74,0.39,4.1,9.95,0,CHEMBL918077,Binding affinity to human EP4 receptor,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL1836,Prostanoid EP4 receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1149243,1,Scientific Literature,J Med Chem,2004,None,,ANTAGONIST
CHEMBL224970,,None,365.5,0,3.48,18,CCCCC[C@H](O)/C=C/[C@H]1CCC(=O)N1CCc1ccc(C(=O)O)s1,Ki,'=',6.9,nM,8.16,,Antagonist,UO_0000065,22.33,0.45,4.68,10.48,0,CHEMBL918077,Binding affinity to human EP4 receptor,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL1836,Prostanoid EP4 receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1149243,1,Scientific Literature,J Med Chem,2004,None,,ANTAGONIST
CHEMBL222085,,None,341.45,0,2.36,10,CCCCC[C@H](O)/C=C/[C@H]1CCC(=O)N1CCCCOCC(=O)O,EC50,'=',2100,nM,5.68,,Agonist,UO_0000065,,,,,0,CHEMBL918078,Functional activity at human EP4 receptor,F,BAO_0000019,assay format,Homo sapiens,None,None,None,None,,,,CHEMBL1836,Prostanoid EP4 receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1149243,1,Scientific Literature,J Med Chem,2004,None,,AGONIST
