mid,smiles,ref_smiles
1,CC(C)c1ccc(O)c(C(C)(C)O)c1,0
2,CC(C)C(=O)NCCNC1CCc2c(O)cccc21,0
3,Oc1ccc2c(c1)CCC(NCc1ccccc1)C2,0
4,Cc1cc(C(=O)N2CC3CCC(N)C3C2)ccc1C(F)(F)F,0
5,CC(=O)NC1CCN(c2cc(F)cc(C=CC(=O)O)c2)C1,0
6,Cc1ccccc1-c1noc2c1CNCC2,0
7,Cc1nc(CCC(=O)N(C)c2ccccc2)sc1C,0
8,CN(CC(=O)NC1CC1)C(=O)COC(=O)c1ccc(C(=O)c2ccccc2)cc1,0
9,COC(=O)c1ccc(C(=O)N2CCCN(c3ccc(F)cc3)CC2)cc1,0
10,CN(CCc1ccccn1)Cc1cc(C(=O)NN)no1,0
11,CCCCN1C(=O)CC(C(=O)Nc2ccc(F)cc2)SC1=Nc1ccc(Cl)c(C(F)(F)F)c1,0
12,O=C(CSc1ccc2c(c1)CCC2)NOC1CCCC1,0
13,CCc1cccc(Oc2ccc(CNC(C)C)cc2C)c1,0
14,O=C(Nc1ccc(F)cc1)c1cn(CCCO)c2cc(-c3cn[nH]c3)ccc12,0
15,CCC(C)C(=O)N1CCC(NC(=NCC(=O)N(C)C)NCC(C)C)CC1,0
16,CCc1nc2c(nc1NC(=O)CC(C)C)CCc1cc(F)ccc1-2,0
17,COC(=O)c1c(OCc2ccccc2)c(=O)c(Br)cn1CC=O,0
18,Cc1cc(O)c(C(C)C)cc1N=C1NC(=O)SC1=Cc1ccc(Cl)cc1,0
19,O=C(O)CCCCCN1C(=O)CCc2ccc(F)cc21,0
20,CC(=O)Nc1nc(C(=O)N(C)Cc2ccc(C3CC3C)o2)cs1,0
21,CC1(C)OC(CCCCCCCCC(F)=CI)OC1(C)C,0
22,O=C(O)c1ccc(CNC(=O)C2CC2c2ccccc2)o1,0
23,N#Cc1ccc(Oc2ccc(O)cc2)cc1C(F)(F)F,0
24,CCCCNC(C)CC1COCCN1C(=O)OC(C)(C)C,0
