mid,smiles,ref_smiles
1,CC(C)c1ccc(S(=O)(=O)C2CCC(C)(C)C2N)cc1,0
2,CC(C)(CCCO)CNc1ccnc2c(N)cccc12,0
3,COc1c(Cl)cc(C(=O)OCC(=O)NCc2ccccc2)cc1Cl,0
4,CC(=O)Nc1cccc(Nc2nc(-c3ccccc3)cc(N3CCCCC3)n2)c1,0
5,CC1CCCC(C)N1C(=O)COc1ccc(C(=O)NCC2(N3CCOCC3)CCSC2)cc1,0
6,COc1ccc(C2C(=C(O)c3ccc4ccccc4c3)C(=O)C(=O)N2Cc2cccc(C)c2)cc1,0
7,Cc1nc(CCC(=O)N(C)c2ccccc2)sc1C,0
8,CCOC(=O)C1CCN(CC(=O)Nc2ccccc2OCC)CC1,0
9,CCCCOC(=O)c1ccc(NC(=O)C2CCCN(S(=O)(=O)CC)C2)cc1,0
10,Cc1nn(-c2ccccc2)cc1C(=O)NCC(O)c1ccsc1,0
11,CC(=O)N1CCN(C(=O)c2cc(C3CC3)nn2-c2ccccc2)CC1,0
12,O=C(CSc1nc2ccccc2o1)Nc1cccc(F)c1,0
13,CCc1cccc(Oc2ccc(CNC(C)C)cc2C)c1,0
14,Cc1cc(S(=O)(=O)NCCc2ccc(OCc3c(F)cccc3Cl)cc2)cc(C(=O)O)c1C,0
15,CCC(C)C(=O)N1CCCC(C(=O)NC(C)c2nc(C)c(C(=O)O)s2)C1,0
16,CCc1ccc(CN2CCC3(CC2)CC3C(=O)Nc2ccc3sc(C)nc3c2)o1,0
17,Cc1cccc(Cn2cccc(C(=O)OCC(=O)N(Cc3ccc(C(F)(F)F)cc3)C3CC3)c2=O)c1,0
18,Cc1cc(O)c(C(C)C)cc1N=C1NC(=O)SC1=Cc1ccc(Cl)cc1,0
19,COc1cccc(CNC(=O)C2CCCN(c3nccn(C)c3=O)C2)c1,0
20,CC(=O)Nc1cccc(NC(=O)c2cc(NC(C)(C)C)nc(C)n2)c1,0
21,COC(=O)CC(c1cc2c(cc1O)OCO2)c1cc2cc(OC)ccc2nc1N1CCOCC1,0
22,CC(C)c1ccc2c(c1)CCC1C(C)(C(=O)O)CCCC21C,0
23,N#Cc1ccc(Oc2ccc(O)cc2)c(Cl)c1,0
24,COCCCN(C)C(=O)CNC(C)(C)C,0
25,CC(NC(=O)c1cccc2c1N(Cc1ccc(C(N)=O)cc1)CC2)c1ccc(C(=O)O)cc1,0
26,CC(C)C(N)C(C)(C)NCCCN,0
27,CCN(CCO)C(=O)c1cc(N)c(Cl)c(Cl)c1,0
28,O=c1cc(-c2ccccc2Cl)oc2cc(O)cc(O)c12,0
29,CC(C)(C)OC(=O)N1CCC2(CCN(CS(=O)[O-])CC2)C1,0
30,O=C(CSc1nc(-c2cccc(NC(=O)c3cnc[nH]3)c2)cs1)NC1CC[N+](O)(Cc2ccc(Cl)c(Cl)c2)CC1,0
31,COc1ccc(C2C(=O)C(C)SC23CCCCC3)cc1,0
32,CC(C)(C)OC(=O)NCC(=O)N1CCC(c2nc3ccccc3[nH]2)CC1,0
33,CCc1cccc(NC(=O)CSc2nnc(-c3cccc(C)c3)o2)c1,0
34,CC(C)(C)c1ccccc1-n1cc(COCc2cccnc2)nn1,0
35,CCOC(=O)c1cc(Cc2ccccc2)sc1NC(=S)NCc1cc(C)n(C)n1,0
36,COc1ccccc1Nc1ncc(-c2ccc3ncccc3c2)c(N)n1,0
37,Cc1cccc(C=C2SC(=NC(C)C)N(c3ccccc3)C2=O)c1,0
38,COc1ccc(CN2CC3CN(C(=O)c4ccncc4)CC3C2=O)cc1,0
39,COc1cccc(C(=O)c2sc(Cl)nc2C(F)F)c1OC,0
40,CC(N)C1CCCCN1S(=O)(=O)c1ccc(Br)c(C(F)(F)F)c1,0
41,COc1ccc(C=Nc2ccc(N3CCOCC3)cc2)cc1,0
42,CN1CCCC(Nc2ccc(C#N)c3ccccc23)C1,0
43,COc1ccc2ccccc2c1C=NNC(=O)c1cccc(C)c1,0
44,O=C1C=CC(C(O)c2nccc3ccccc23)=CC1,0
45,CCOc1ccc(Br)c(CC(C)CCS)c1,0
46,Nc1cc2ncoc2nc1C1CCOCC1,0
47,Cc1cc(C(=O)O)ccc1NC(=O)Cc1ccccc1[N+](=O)[O-],0
48,CCCCNC(=O)C1CCN(C(=O)c2ccc(NC(=O)c3ccccc3Cl)cc2)CC1,0
49,CC(C)(C)c1ccc(CCN2CCN(c3cccc(C(F)(F)F)c3)CC2)cc1,0
50,COCCN(CCOC)c1cc(=O)[nH]c(C2CC2)n1,0
51,Cc1c(C(=O)NC(C)c2ccccc2Cl)cnn1-c1ccccn1,0
52,CC1CCCC(C)N1C(=O)COc1ccc(C(=O)NCCc2ccc(Cl)cc2)cc1,0
53,Cc1cc(NC(=O)C(C)NC(=O)C23CC4CC(CC(C4)C2)C3)ccc1Br,0
54,O=C1CC(c2ccc(F)cc2)C12CCN(CC1CCCO1)CC2,0
55,CCCCN(CCO)S(=O)(=O)c1ccc(Cl)c(N)c1Cl,0
56,COc1c(C)c(C)c(C#N)c(OC)c1C,0
57,CC(CCBr)c1ccccc1,0
58,CNC(=O)NC(=O)C(C)NCC1CN(C)CCN1C,0
59,Cc1cc(C(=O)NC2CCC(C(=O)O)C2)sc1C,0
60,O=C(NC1CCN(Cc2ccc3c(n2)NCCC3)CC1)c1ccc(-c2cccc(F)c2)nc1,0
61,CCOC(=O)CN1C(=O)SC(=Cc2ccccc2F)C1=O,0
62,CC(C)(C)c1nnc(CNC(=O)C2CCCNC2C2CC2)s1,0
63,CCN(CC)CCOc1ccc(NC(=O)C2CC(=O)N(c3ccc(C)cc3)C2)cc1,0
64,COc1ccc2c(c1O)-c1cccc3c1C(C2)N(CCOCCCl)CC3,0
65,CC(C)(C)Oc1ccc(OC2CCCN(CCC(F)F)C2)cc1,0
66,COc1cccc(-c2noc(CNC(=O)C3CCC(=O)N3)n2)c1,0
67,C=CC(=O)C1CC1(C)COCc1ccccc1,0
68,CC1(C)CC(OC2C=CC(c3ccc(C4(C(=O)O)CC4)cc3F)=CC2)CC(C)(C)C1,0
69,COCCNC(=O)CN(CCc1cccc(Cl)c1)S(C)(=O)=O,0
70,Cc1noc(CSc2nnc(N3CCCC3)n2-c2cccc(Cl)c2)n1,0
71,CC(C)c1ccc(-c2noc(CCC(=O)N3CCC4CCC(C3)N4)n2)cc1,0
72,O=C(O)CC1SC(=NC2CCCCC2)Nc2ccccc21,0
73,CCOC(=O)c1cc(OCC)c2nc(C)cc(OCC)c2c1,0
74,CC(NC(=O)c1cccc2c1N(Cc1ccc(C(N)=O)cc1)CC2)c1ccc(C(=O)O)cc1,0
75,Cc1occc1C(=O)N1CC(=O)N(C2CCCCC2)CC(OCc2ccccn2)C1,0
76,CC(C)(C)c1csc(CNC2CCCS(=O)(=O)C2)n1,0
77,CNC1CN(c2cccc(F)c2N2CCSCC2)C(=O)O1,0
78,O=C(C(Oc1ccccc1)c1ccccc1)N1CCOCC1,0
79,CC(=O)N1CCN(c2cc(C(F)(F)F)nc(SCc3ccc(C(=O)O)o3)n2)CC1,0
80,CCNC(Cc1cc(Br)cs1)c1cccc2cccnc12,0
81,O=C(NCc1nnc2ccccn12)c1ccc(Cn2nnc3ccccc32)cc1,0
82,CN(C(C)(C)C)S(=O)(=O)c1ccc(C=CC(=O)Nc2ccccc2-c2ccccc2)cc1,0
83,Cc1cc(C)cc(OCC(=O)Nc2ccc3c(c2)N(C)C(=O)C(C)O3)c1,0
84,Cc1cc(Cl)ccc1OCC(=O)NCCCN1CCN(C)CC1,0
85,CCc1ccc(S(=O)(=O)NC(N)=O)cc1C(=O)N1CCOCC1,0
86,CCNC(=O)N1CCN(C2CCN(C)CC2)CC1,0
87,CCC1=CSC2=NC(c3ccccc3)CN12,0
88,Cc1cc(Br)c(C)c(O)c1C1(C(C)N)CC1,0
89,Cn1ccnc1C(N)c1ccc(F)cc1I,0
90,OCc1cccn1CCOc1ccccc1,0
91,C=Cc1ccc(-c2ccc(Oc3cnc(C(=O)NCC)cn3)cc2)cc1,0
92,Cc1cc(C)cc(NC(=O)NCc2cccn2Cc2ccccc2C)c1,0
93,CCOc1ccc(CCC(=O)Nc2cccc(C(=O)O)c2C)cc1,0
94,CCCC(C)C(NC)c1cnns1,0
95,NCc1ccccc1C(=O)NCC(=O)NCC(=O)O,0
96,COc1ccc2c(c1)c(CC(=O)NCCCC(=O)NC1CC1)c(C)n2C(=O)c1ccccc1,0
97,O=C(Cc1cccc(O)c1)Nc1cc(Cl)ncn1,0
98,CCOc1ccc(C(C)CCC(C)(C)c2ccc(OC)cc2)cc1,0
99,COc1ccc(C2=NN(C(=O)c3ccc(Cl)c(F)c3)CC2)cc1OC,0
100,CCOC(=O)c1cnn(C)c1C(=O)N(c1ccn2ncnc2c1)c1ccccc1OC,0
101,c1ccc(C2CCCCC23CCCNC3)cc1,0
102,O=c1ccc(-c2ccncc2)nn1CC1CN(Cc2csc(C3CCCC3)n2)C1,0
103,O=C([O-])COc1ccccc1C=NNC(=O)C1CC1,0
104,CCOc1ccc(C(=O)Nc2ccc(OC)cc2C(=O)N2CCOCC2)cc1,0
105,Oc1ccc2ccnc(N3CCCC(Br)C3)c2c1,0
106,Cn1c(=O)c2c(ncn2CCCN2CCN(c3ccccc3Cl)CC2)n(C)c1=O,0
107,CC(C)(C)OC(=O)N1CCCCC1CNN1CCCCC1,0
108,O=C(NCCCn1ccnc1)C1C(CO)=NON1O,0
109,C#CCN(CC1CC1)C(=O)CC1CCCC1,0
110,CCCC(C)C(=O)Nc1c(Br)cccc1C(=O)O,0
111,CC(C)NCc1cccc(F)c1N1CCOC(C)C1,0
112,CCOC(=O)CN(CC(C)C)C(=O)c1csc(CCN)n1,0
113,O=C1NC(=O)N(c2ccc(OCc3ccccc3)cc2)C(=O)C1=Cc1cc(Br)c(OCc2ccc(Br)cc2)c(Br)c1,0
114,C=C(C)CCC(=O)Cc1ccc(C)cc1,0
115,Clc1cc(Cl)c2[nH]ncc2c1,0
116,O=C1C2C(O)CCN2C(=O)N1c1ccccn1,0
117,CC(=O)c1cnc2c(c1)OCC(=O)N2C,0
118,Cc1cc(CN2CCC3(CC2)CC(OCc2cccnc2)CO3)no1,0
119,CC1CCN(S(=O)(=O)c2ccc(C(=O)OCC(=O)c3ccc(F)c(F)c3)cc2)CC1,0
120,O=S(=O)(Nc1ccc(N2CCc3ccccc3C2)cc1)c1cccs1,0
121,CCCC1(C(=O)N2CCN(C(=O)COC)CC2)CC1,0
122,O=C(O)C=Cc1ccc2c(c1)C(=O)CC1(CCN(c3ccccc3)CC1)O2,0
123,Cc1ccc(N(C)c2cncc(CCl)n2)c(C)c1,0
124,CC1(C(O)c2ccccc2)CCCCC1,0
125,O=C(c1ccoc1)N1CCC1c1ccc(F)cc1,0
126,Nc1nccc(-c2c[nH]c3cc(Br)ccc23)n1,0
127,CC(C)(C)C(CCN)CCC(=O)NN1CCOCC1,0
128,COCc1ccc(C(=O)N2CCC(n3nc(-c4ccccc4)ccc3=O)CC2)o1,0
129,COc1ccc(NC(=O)c2cnn3c(C)cc(-c4ccccc4)nc23)cc1Cl,0
130,C=C1NN=C(c2ccc(N)cc2O)N1c1cccc2ccccc12,0
131,COc1ccc(CCNC(=O)CC(C)c2ccc([N+](=O)[O-])cc2)cc1OC,0
132,CC(C)Cc1ncc2c(n1)CN(C(=O)C1COc3ccccc3O1)C2,0
133,C=C(C)CCOc1c(Cl)cc(CNC2CC2)cc1OC,0
134,Cc1cc(C)cc(C(=O)N2CCC(c3cccc(C)c3)C(N(C)C)C2)c1,0
135,O=C1CCCN1Cc1nnc2n1CCN(Cc1ccoc1)CC2,0
136,Cc1nn(C)c(N2CCOCC2)c1CNCc1ccccc1[N+](=O)[O-],0
137,CC1CCCCN1C(=O)CC1Sc2ccc(C(F)(F)F)cc2NC1=O,0
138,CCOC1CC(Nc2ccc(F)cc2)C1(C)CC,0
139,CCc1c(C(=O)NNC(=O)Nc2ccccc2C(=O)OC)csc1C,0
140,Cc1c(C)c(C)c2c(C)c3c(C)c(C)oc3c(C)c2c1C,0
141,CC(=Cc1cc[nH]c1)C(=O)O,0
142,COc1ccc(N(CC(=O)[O-])C(=O)C2CCS(=O)(=O)CC2)cc1,0
143,CCOC(=O)C1=C(C)Nc2ncnn2C1c1ccccc1OC,0
144,Cc1ncc(-c2ccc3cnc(NC(=O)C4CCN(C)CC4)cc3c2)o1,0
145,O=C(c1ccc(Cn2ccnc2)o1)N(Cc1cccs1)Cc1cccs1,0
146,Cc1nn(-c2ccccc2)c2c1C(=O)CC(C=Cc1ccc(F)cc1)C2,0
147,COc1ccc(OC)c(C2CCCN2C(=O)Cn2nc(C)c3ccsc3c2=O)c1,0
148,NC(=NC(=O)c1cccs1)c1ccc(Cl)c(Cl)c1,0
149,CC(Cl)c1nc2cc(Br)cnc2n1CCn1ccnc1,0
150,CCN(CC)C(=O)c1ccc(S(=O)(=O)NCc2cccc(CN3CCOCC3)c2)cc1,0
151,NC1CC2CCCC(C1)C2NC(=O)CCc1ncc(-c2ccccc2Cl)o1,0
152,C1=C(c2ccccc2)C(c2ccccc2)=NCc2cscc21,0
153,CC(=O)N(C)C(CO)c1c[nH]c2ccccc12,0
154,Cc1sccc1C(O)c1ccoc1C,0
155,O=C(O)COc1cccc(C=NNc2nccs2)c1,0
156,c1ccc(C2(c3nc(C4CN5CCCC5CO4)no3)CC2)cc1,0
157,CC(C)(C)c1cccc(COCCO)c1O,0
158,Cc1ccc(OCc2nc3cc(O)ccc3n2C)cc1,0
159,CCN(C1CCCCC1)S(=O)(=O)c1ccc(OC)c(NC(C)=O)c1,0
160,CC=C(C)C(F)=C(C)Cc1cnc(C2COC2)c(C)c1,0
161,CC1(C)OC(CCCCCCCCC(F)=CI)OC1(C)C,0
162,Cc1ccc(-c2nc(-c3ccc(Br)cc3)nc(-c3ccc(C)c(C)c3)n2)cc1C,0
163,COc1ccccc1N1CCN(C2CC3CC(NC(=O)c4ccc5ccccc5c4)CC3C2)CC1,0
164,CC1(CNc2ccc(C(=O)O)cc2N)CCC1,0
165,O=C1C=C(Nc2ccccc2)C(=O)N1c1ccc2ccccc2c1,0
166,Cc1ccccc1C=C(CNC(C)C)C(C)C,0
