mid,smiles,ref_smiles,IsValid,QED,SAs,DRD2,IsNovel,IsSuccess
1,COc1ccc2c(c1)CCN1Cc3cc(OC)c(OP=Cc4ccccc4)cc3CC21,0,TRUE,0.5,3.43,0.69,TRUE,TRUE
2,Nc1cccc2c1CCC(NCCc1ccsc1)C2,0,TRUE,0.84,2.84,0.66,FALSE,TRUE
3,COc1ccc2c(c1)CC(NCC1(SC)CC1)CC2,0,TRUE,0.89,3.15,0.56,FALSE,TRUE
4,Cc1ncoc1-c1nnc(SCCCN2CC3CC3(c3cccc(C(F)(F)F)c3F)C2)n1C,0,TRUE,0.28,3.95,0.96,FALSE,TRUE
5,CCCCNCCOc1ccccc1,0,TRUE,0.67,1.52,0.48,TRUE,FALSE
6,CN1CCc2cc(N)ccc2Cc2ccccc2CC1,0,TRUE,0.74,2.52,0.89,TRUE,TRUE
7,CN(C)Cc1cn(-c2ccc(F)cc2)c(=O)n(CCCN2CCN(c3ccccc3OCC(F)(F)F)CC2)c1=O,0,TRUE,0.35,2.74,0.5,TRUE,FALSE
8,Clc1cccc(N2CCN(CCCCCn3ncc4ccccc43)CC2)c1Cl,0,TRUE,0.49,2.22,0.93,TRUE,TRUE
9,CC(C)(C)c1nc(N2CCN(CCCCNC(=O)N3CCN(c4cccc(F)c4)CC3)CC2)cc(C(F)(F)F)n1,0,TRUE,0.4,2.75,0.67,TRUE,TRUE
10,CCCN(CCC1=CC1)C1COc2cccc(OC)c2C1,0,TRUE,0.72,3.14,0.61,TRUE,TRUE
11,Fc1ccc(N2CCN(CCC3OCCc4cc(F)ccc43)CC2)cc1,0,TRUE,0.83,2.69,0.68,FALSE,TRUE
12,c1ccc2c(c1)CCN(CC1CC1)C1CCN(CC3CC3c3ccccc3)CC21,0,TRUE,0.72,3.5,0.44,TRUE,FALSE
13,COc1ccccc1N1CCN(CCNC2CCCc3c(OC)cccc32)CC1,0,TRUE,0.78,2.63,0.71,FALSE,TRUE
14,CCCCN1CCN(C2=Nc3cc(Cl)ccc3Nc3cscc32)CC1,0,TRUE,0.82,2.69,0.53,TRUE,TRUE
15,CCOc1ccccc1N1CCN(CCCn2c(O)ccc2O)CC1,0,TRUE,0.81,2.32,0.47,TRUE,FALSE
16,Nc1nc(-c2ccc(OCCCCN3CCN(c4cccc5ccc(F)cc45)CC3)cc2)cs1,0,TRUE,0.33,2.32,0.82,TRUE,TRUE
