mid,smiles,ref_smiles,IsValid,QED,SAs,DRD2,IsNovel,IsSuccess
1,COc1ccc2c(c1)CC(NCC(C)O)CC2,0,True,0.83,2.87,0.53,False,True
2,Nc1cccc2c1CCC(NCCc1ccsc1)C2,0,True,0.84,2.84,0.66,False,True
3,COc1ccc2c(c1)CC(NCC1(SC)CC1)CC2,0,True,0.89,3.15,0.56,False,True
4,Cc1nc2n(c(=O)c1CCN1CCC(c3noc4cc(F)ccc34)CC1)CCCC2O,0,True,0.69,3.32,0.68,False,True
5,CCCCN(CCC)C1CCC2=C(CCCC2=NO)C1,0,True,0.58,3.51,0.69,False,False
6,CN1CCCC1CCOC(C)(c1ccccc1)c1ccc(Cl)cc1,0,True,0.72,3.01,0.64,False,True
7,CN(C)C(=O)NC1CCC(CCN2CCc3ccccc3C2)CC1,0,True,0.92,2.28,0.82,False,True
8,COc1cccc(CCN2CCN(c3cccc(C)c3)CC2)c1,0,True,0.84,1.74,0.43,True,False
9,CC(C)(C)c1nc(N2CCN(CCCCNC(=O)N3CCOCC3)CC2)cc(C(F)(F)F)n1,0,True,0.64,2.67,0.7,True,True
10,CCCN1CCC(c2ccc(C(F)(F)F)cc2)CC1,0,True,0.79,1.9,0.75,False,True
11,Oc1cc2c(cc1O)C1c3ccccc3CNC1CC2,0,True,0.64,3.3,0.79,False,True
12,c1ccc2c(c1)CCN(CC1CC1)C1CCN(CC3CC3)CC21,0,True,0.84,3.06,0.35,True,False
13,COc1cc2c3c(c1)c1c(n3CCc3cccnc3)CCN(C)C1C2,0,True,0.73,4.16,0.33,True,False
14,CCCCN1CCN(c2cccc3sccc23)CC1,0,True,0.84,1.99,0.62,False,True
15,CCCN1CCN(c2ccc(Cl)c(Cl)c2)CC1,0,True,0.83,1.75,0.59,False,True
16,NCCCCN1CCN(c2ccc3c(c2)OCCO3)CC1,0,True,0.83,2.05,0.55,True,True
17,COc1ccc(N2CCN(CCC3OCCc4cc(-c5ncno5)ccc43)CC2)cc1,0,True,0.6,3.11,0.64,False,False
18,CCCN(CCC)C1CCc2c(ccc(O)c2N=O)C1,0,True,0.8,3.3,0.73,True,True
19,O=C(NC1CCC(CCN2CCN(c3cccc(Cl)c3Cl)CC2)CC1)C(F)F,0,True,0.72,2.43,0.95,True,True
20,CNC(=O)NC1CCC(CCN2CCN(c3cccc(F)c3F)CC2)CC1,0,True,0.83,2.34,0.64,True,True
21,O=C(NCCCCN1CCN(c2ccccc2)CC1)c1ccc(F)cc1,0,True,0.78,1.74,0.61,True,True
22,c1ccc(C2=NCC(CN3CCN(c4ccccc4)CC3)N2)cc1,0,True,0.94,2.7,0.82,False,True
23,C1=Cc2cnc(OCCCN3CCN(c4cccc5c4OCC5)CC3)nc2NC1,0,True,0.76,3.05,0.7,True,True
24,O=C1CCc2ccc(COC3CCN(CC(=O)O)CC3)cc2N1,0,True,0.86,2.35,0.29,True,False
25,Oc1ccc2c(c1)C(O)C(CCN1CCC(c3noc4cc(F)ccc34)CC1)CC2,0,True,0.66,3.45,0.76,True,True
26,COc1ccc2c(c1O)-c1cccc3c1C(C2)N(C)CC3,0,True,0.87,2.87,0.91,False,True
27,CCCN(CCC)C1CCc2c(ccc(O)c2CN)C1,0,True,0.84,3.05,0.87,True,True
28,O=c1[nH]c2cc(C#CCCN3CCN(c4ccccc4)CC3)ccc2o1,0,True,0.74,2.43,0.24,True,False
29,OCCOCCN1CCN(C2=Nc3ccccc3Sc3ccccc32)CC1,0,True,0.8,2.46,0.6,False,True
30,CCCN1CC(COC)CC2c3cccc4[nH]cc(c34)CC21,0,True,0.93,3.6,0.58,False,True
31,CC1CN(CCCN2c3ccccc3Sc3cccc(Cl)c32)CC(C)O1,0,True,0.69,3.2,0.41,True,False
32,CCCNC1CCc2c(N)cccc2C1,0,True,0.74,2.65,0.77,False,True
33,CN1CCCC1CCOC(C)(c1ccccc1)c1ccc(Cl)cc1,0,True,0.72,3.01,0.64,False,True
34,CCCN1CCC(c2cccc(O)c2)CC1,0,True,0.84,1.88,0.91,False,True
35,Cc1ccc(CN2CCN(CC(=O)N3c4ccccc4CC3CO)CC2)cc1F,0,True,0.84,2.75,0.79,True,True
36,CC(C)(C)OC(=O)NC1CCC(CCN2CCN(c3cc(C#N)cc(C(F)(F)F)c3)CC2)CC1,0,True,0.63,2.62,0.64,True,True
37,O=C1CCc2ccccc2N1CCCN1CCC2(CC1)C(=O)NCN2c1ccccc1,0,True,0.81,2.97,0.62,True,True
38,Cc1cc2c(s1)Nc1ccccc1N=C2N1CCN(C)CC1,0,True,0.81,2.69,0.89,False,True
39,COc1ccc(N2CCN(CCC3OCCc4cc(C(N)=O)ccc43)CC2)cc1,0,True,0.81,2.74,0.72,False,True
40,CCCN1CCC2Cc3c(ccc(O)c3O)CC21,0,True,0.79,3.34,0.64,False,True
41,Cc1cccc(N2CCN(CCCCNC(=O)c3ccc(Cl)cc3F)CC2)c1,0,True,0.71,2.0,0.44,True,False
42,O=S(=O)(NC1CCN(CCCc2noc3cc(F)ccc23)C1)c1ccc2ccccc2c1,0,True,0.46,2.9,0.6,False,False
43,CN1CCN(C2=Nc3ccccc3Oc3ccc(O)cc32)CC1,0,True,0.81,2.38,0.65,True,True
44,CCCN(CCC)C1CCc2c(ccc3c2OC(F)(F)O3)C1,0,True,0.82,3.34,0.83,True,True
45,COc1cccc2c1CC(NCCCc1ccncc1)CC2,0,True,0.83,2.61,0.47,True,False
46,N#Cc1cccnc1N1CCN(CCc2cc(F)c3c(c2)N(Cc2cccc(F)c2)C(=O)CO3)CC1,0,True,0.53,2.73,0.4,True,False
47,O=C(CC1CCC(O)CC1)NC1CCC(CCN2CCN(c3nccc4c3OCC4)CC2)CC1,0,True,0.64,2.81,0.55,True,True
48,Cc1cnc2n1CCN(CCCN1CCN(c3ccccc3Cl)CC1)C2=O,0,True,0.79,2.55,0.36,True,False
49,CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21,0,True,0.79,2.14,0.81,False,True
50,O=C1CC2(CCCC2)CC(=O)N1CCN1CCN(c2cc(Cl)ccc2Cl)CC1,0,True,0.69,2.95,0.56,False,True
51,COc1cccc2c1CCC(NC1CCOC1)(c1ccc(Cl)cc1)C2,0,True,0.89,3.38,0.25,True,False
52,CC1(C)C(=O)N(CCN2CCC(c3noc4cc(F)ccc34)CC2)Cc2ccccc21,0,True,0.62,2.75,0.6,True,True
53,O=C1NCN(c2ccccc2)C12CCN(CCc1ccc3c(c1)-n1cccc1C=CO3)CC2,0,True,0.67,3.57,0.46,True,False
54,COc1ccc2cc3[n+](cc2c1OC)CCc1cc2c(cc1-3)OCO2,0,True,0.67,2.79,0.54,False,True
55,COc1ccccc1N1CCN(CCNC(=O)c2ccc3ccccc3n2)CC1,0,True,0.7,2.0,0.78,False,True
56,COc1ccc2c(c1)CC(NCCC1CC1)CC2,0,True,0.86,2.57,0.64,False,True
57,Cc1ccccc1N1CCN(CCCOc2cccc3c2CCC(=O)N3)CC1,0,True,0.78,2.22,0.67,True,True
58,O=C(CCCN1CCN(c2ccccc2)CC1)c1ccc(Cl)cc1,0,True,0.74,1.73,0.6,False,True
59,CCCN1CCC(c2ccc(N3CCOCC3)cc2)C1,0,True,0.84,2.42,0.35,True,False
60,O=C1c2ccccc2C(=O)N1CCCN1CC=C(c2ccc(F)cc2)CC1,0,True,0.76,2.19,0.44,True,False
61,Cc1ccccc1N1CCN(CCC2CN3CCCC3O2)CC1,0,True,0.85,3.13,0.22,True,False
62,CC1(C)c2cc(CCN3CCN(c4nsc5ccccc45)CC3)cc3c2NC1O3,0,True,0.71,4.12,0.72,True,True
63,CCCN1CCC2Cc3c(ccc(O)c3OC)CC21,0,True,0.91,3.31,0.55,True,True
64,CCCN1CCc2cccc3c2C1Cc1ccc(O)c(O)c1-3,0,True,0.83,2.98,0.86,False,True
65,O=c1[nH]c2cccc(N3CCN(Cc4cccc(-c5ccccc5)c4)CC3)c2o1,0,True,0.57,2.18,0.63,False,False
66,CCCN1CCN(c2ccc(Cl)c(Cl)c2Cl)CC1,0,True,0.77,2.03,0.41,True,False
67,Cc1cccc(C2CNCCc3c2cc(O)c(O)c3Cl)c1,0,True,0.71,3.02,0.63,False,True
68,OCCCCN1CCN(c2ncc(F)cn2)CC1,0,True,0.78,2.18,0.65,True,True
69,CN1CCN(C2Cc3ccccc3Sc3ccccc32)CC1,0,True,0.79,2.69,0.51,False,True
70,O=C1CCC2=C1c1ccccc1OCCN(CCCCl)C2,0,True,0.8,3.1,0.2,True,False
71,COc1ccc2c(c1)C(O)C(CCN1CCC(c3noc4cc(F)ccc34)CC1)CC2,0,True,0.64,3.38,0.77,True,True
72,CCCN(CCC1(O)CCc2ccccc2C1)C1CCc2c(O)cccc2C1,0,True,0.79,3.49,0.85,True,True
73,O=C(Nc1ccccc1)NC1CCC(CCN2CCN(c3nsc4ccccc34)CC2)CC1,0,True,0.53,2.38,0.65,False,False
74,CC(C)(C)OC(=O)N1CCC(CCN2CCCN(c3cccc(Cl)c3Cl)CC2)CC1,0,True,0.6,2.32,0.81,True,False
75,CCCN(C(C)C)C1CCc2cccc(OC)c2C1C,0,True,0.8,3.3,0.67,False,True
76,CN1CCN(C2=Nc3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1,0,True,0.67,2.52,0.52,True,True
77,COc1ccccc1N1CCN(CCCCOc2ccc3c(c2)NC(=O)CC3)CC1,0,True,0.68,2.22,0.95,False,True
78,CN(C)c1ccc(C(=C2C=CC(=[N+](C)C)C=C2)c2ccc(N(C)C)cc2)cc1,0,True,0.73,2.77,0.56,False,True
79,CN1CCN(C2=Nc3ccc(F)cc3Nc3sc(C(N)=O)cc32)CC1,0,True,0.82,2.87,0.39,True,False
80,CN(C)CCC=C1c2ccccc2Sc2ccc(Cl)cc21,0,True,0.65,2.43,0.54,False,True
81,NCCCCN1CCN(c2ccccc2Cl)CC1,0,True,0.83,1.78,0.5,True,False
82,CCCN(CC(C)C)C1CCc2c(O)cccc2C1,0,True,0.87,2.85,0.87,True,True
83,O=C1CC2(CCCC2)CC(=O)N1CCN1CCN(c2nsc3ccccc23)CC1,0,True,0.72,3.12,0.74,True,True
84,CCN(CCc1cccs1)C1CCc2c(O)cccc2C1,0,True,0.91,2.92,0.61,False,True
85,COC1CCC(CC(=O)NC2CCC(CCN3CCN(c4noc5cc(F)c(F)cc45)CC3)CC2)C1,0,True,0.57,3.55,0.51,False,False
86,c1ccc(CCN2CCC(c3c[nH]c4ccccc34)CC2)cc1,0,True,0.75,1.88,0.55,False,True
87,CCCN(CCc1cccs1)C1CCc2c(cccc2OC)C1,0,True,0.74,2.83,0.99,False,True
88,Oc1cc2c(cc1O)C(COc1ccc(Cl)cc1Cl)NCC2,0,True,0.75,2.91,0.51,True,True
89,CCCCNC1CCc2cccc(OC)c2C1,0,True,0.79,2.5,0.64,False,True
90,CC1(C)CNc2cc(Cl)c(OCCCN3CCN(c4cccc5sccc45)CC3)cc21,0,True,0.47,2.71,0.66,True,False
91,OCCCCCCN1CCN(c2cccc(Cl)c2Cl)CC1,0,True,0.77,1.97,0.95,True,True
92,Oc1cc2c(cc1O)C(c1ccccc1)CNCC2,0,True,0.69,2.72,0.89,False,True
93,CC1(C)C(=O)N(CCCCCN2CCN(c3cccc(C(F)(F)F)c3)CC2)C(=O)N1c1ccc2c(c1)OCO2,0,True,0.34,2.77,0.57,True,False
94,COc1ccccc1N1CCN(CCCNC2C(=O)c3ccccc3C2O)CC1,0,True,0.7,3.07,0.74,True,True
95,CCCN1CCOC2c3ccccc3CCC21,0,True,0.78,3.04,0.58,False,True
96,CCCN(CCC)C1CCc2cccc(C#N)c2C1,0,True,0.81,2.91,0.91,False,True
97,CCCN(CCc1cccs1)C1CCc2c(N)cccc2C1,0,True,0.81,2.93,0.85,True,True
98,c1ccc(CCN2CCC(c3cc(-c4cccs4)[nH]n3)CC2)cc1,0,True,0.74,2.33,0.55,True,True
99,Cc1ccc(N2CCN(CCC3CCC(NC(=O)CC(C)(C)C)CC3)CC2)c(Cl)c1Cl,0,True,0.56,2.55,0.6,True,False
100,COc1ccc2c(c1)CC(NCC1CCN(Cc3ccccc3)C1)CC2,0,True,0.86,2.8,0.44,True,False
101,O=S(=O)(CCCCN1CCN(c2cccc3ccccc23)CC1)NC1CCSC1,0,True,0.65,2.92,0.72,True,True
102,COc1ccc2[nH]cc(CCCCN3CCN(c4ccc(F)cc4)CC3)c2c1,0,True,0.61,2.06,0.65,True,True
103,CCOc1cccc2c1CC(NCCC)CC2,0,True,0.84,2.53,0.64,True,True
104,COC(=O)NC1CCC(CCN2CCN(c3cccc4c3OCO4)CC2)CC1,0,True,0.84,2.43,0.68,False,True
105,Cc1cc(O)c(O)c(C(=O)NCCCCN2CCN(c3ccccc3OCc3ccccc3)CC2)c1,0,True,0.29,2.27,0.73,True,False
106,O=S(=O)(NC1CCN(CCCc2noc3cc(F)ccc23)C1)c1ccc(F)c(F)c1,0,True,0.61,2.97,0.54,True,True
