mid,smiles,ref_smiles
1,COc1ccc2c(c1)CC(NCC(C)O)CC2,0
2,Nc1cccc2c1CCC(NCCc1ccsc1)C2,0
3,COc1ccc2c(c1)CC(NCC1(SC)CC1)CC2,0
4,Cc1nc2n(c(=O)c1CCN1CCC(c3noc4cc(F)ccc34)CC1)CCCC2O,0
5,CCCCN(CCC)C1CCC2=C(CCCC2=NO)C1,0
6,CN1CCCC1CCOC(C)(c1ccccc1)c1ccc(Cl)cc1,0
7,CN(C)C1CC2c3cccc(O)c3CCC2N(C)C1,0
8,Fc1ccc(N2CCN(Cc3cc4cc(Cl)ccc4[nH]3)CC2)cc1,0
9,CCCN(CCC)C1CCc2c(N)cccc2C1,0
10,CCCN1CCC(c2ccc(C(F)(F)F)cc2)CC1,0
11,Fc1ccc(N2CCN(CCC3OCCc4cc(F)ccc43)CC2)cc1,0
12,c1ccc2c(c1)CCN(CC1CC1)C1CCc3sc(-c4ccncc4)cc3C21,0
13,COc1cc2c3c(c1)c1c(n3CCc3cccnc3)CCN(C)C1C2,0
14,CCCCN1CCN(c2cccc3sccc23)CC1,0
15,CCCN1CCN(c2ccc(Cl)c(Cl)c2)CC1,0
16,NCCCCN1CCN(c2ccc3c(c2)OCCO3)CC1,0
17,COc1ccc(N2CCN(CCC3OCCc4cc(-c5ncno5)ccc43)CC2)cc1,0
18,Fc1ccc(OCC2CCC3CN(c4ccc(F)cc4)CCN3C2)cc1,0
19,O=C(NC1CCC(CCN2CCN(c3cccc(Cl)c3Cl)CC2)CC1)C(F)F,0
20,CNC(=O)NC1CCC(CCN2CCN(c3cccc(F)c3F)CC2)CC1,0
21,COc1cc2c(cc1OCC(F)(F)F)CC1c3ccc(OC)c(O)c3CCN1C2,0
22,O=C1c2ccccc2C(=O)N1CCCN1CC=C(c2c[nH]c3ccccc23)CC1,0
23,O=C(NCCCCN1CCN(c2cccc(Cl)c2Cl)CC1)C1=Cc2ccccc2OC1,0
24,O=C1N(CCN2CCC(C(F)(F)F)CC2)CCN1c1ccc(Cl)c(F)c1,0
25,O=S(=O)(NCCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccccc1Cl,0
26,CCCN1CCN(c2ccc3c(c2)CCCC3)CC1,0
27,CN1CCc2ccccc2Cc2ccc(O)cc2CC1,0
28,Cc1ccc(SCCCN2CCC(O)(c3ccc(C#N)cc3)CC2)cc1,0
29,CCCN(CCCCO)C1CCc2c(N)cccc2C1,0
30,COc1ccccc1N1CCN(CCCCOc2ccc3c(n2)NC(=O)CC3)CC1,0
31,Nc1cccc2c1CCC(NCCc1ccccc1)C2,0
32,COc1ccccc1N1CCN(CCNC(=O)C2CCCc3c(OC)cccc32)CC1,0
33,COc1ccccc1N1CCN(CCCN2C(=O)Cc3cc(F)ccc32)CC1,0
34,CCCC1(c2ccc(O)c(Cl)c2)CC2CCC(C1)N2C,0
35,Oc1cc2c(cc1O)C(COc1ccc(Cl)cc1)NCC2,0
36,O=C1CCc2ccc(OCCCN3CCN(c4ccc(Cl)c(Cl)c4Cl)CC3)cc2N1,0
37,COc1cc2c3c(c1OC)-c1c(ccc(OC)c1O)CC3N(C)CC2,0
38,O=C1c2cccc3cccc(c23)N1CCCCCN1CCN(c2ccccn2)CC1,0
39,CC1=C(C(C)C)N(C)c2ccc(CCN3CCN(c4nsc5ccccc45)CC3)cc21,0
40,O=C1CCc2ccc(OCCCN3CCC(c4noc5ccc(F)cc45)CC3)nc2N1,0
41,Cc1ccc(CNCC2(F)CCN(C(=O)c3ccc(F)c(Cl)c3)CC2)nc1,0
42,CCCN(CCN1CCN(c2ccccc2OC)CC1)C1CCc2ccc(O)cc2C1,0
43,Cc1ccc2c(c1)c1c(n2CCc2ccc(C)nc2)CCN(C)C1,0
44,CCCN1CCc2cccc3c2C1Cc1ccc2c(c1-3)OCO2,0
45,COc1ccc(N2CCN(CCCCC3(C)OC=C(c4ccccc4)O3)CC2)cc1,0
46,c1ccc(N2CCN(Cc3cn4ccccc4n3)CC2)cc1,0
47,COc1ccc(C2CC(=O)c3c(O)cc(OCCCN4CCN(c5ccccc5OC)CC4)cc3O2)cc1,0
48,COc1cccc2c1CCC(C)(OC)C2,0
49,CN1CCc2ccccc2Cc2ccccc2CC1,0
50,CCCN(Cc1ccsc1)C1CCc2c(cccc2OC)C1,0
51,CCN1CCCC1CNC(=O)c1c(OC)ccc(I)c1OC,0
52,COc1ccccc1N1CCN(CCCOc2ccc3c(c2)CCC(=O)N3)CC1,0
53,NCCCN1CCN(c2ccccc2)CC1,0
54,COc1ccc2c(c1)CC(NCCc1cccnc1)CC2,0
55,Cc1nc2n(c(=O)c1CCN1CCC(c3noc4cc(F)ccc34)CC1)CCCC2O,0
56,CN1CCCC1CCOC(C)(c1ccccc1)c1ccc(Cl)cc1,0
57,CCCN1CCc2cccc3c2C1Cc1ccc(O)c(O)c1-3,0
58,COc1ccc2c(c1)CC(NCCC(C)SC)CC2,0
59,CCCN(CCC)C1COc2c(cccc2-c2ccco2)C1,0
60,CC(C)C(=O)Nc1cccc(C2CCN(Cc3ccc4c(c3)CC(=O)N4)CC2)c1,0
61,OCCN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1,0
62,Fc1ccc2[nH]cc(CCCN3CCN(c4ccc(C(F)(F)F)cc4)CC3)c2c1,0
63,CCCN(CCC)C1CCc2cc(C=O)c(Cl)cc2C1,0
64,Fc1ccc2[nH]cc(CCCN3CCN(c4ccccc4OC(F)F)CC3)c2c1,0
65,O=C1c2ccccc2C(=O)N1CCCCN1CCN(C2=CC=S(c3ccccc3)N2c2ccccc2)CC1,0
66,N#Cc1ccc2[nH]cc(CCCCN3CCN(c4ccc(C(=O)O)cc4)CC3)c2c1,0
67,CC(C)(C)c1nc(C2CC2)cc(N2CCN(CCC3CCC(NC=O)CC3)CC2)n1,0
68,CN1CCCC1CCOC(C)(c1ccccc1)c1ccc(Cl)cc1,0
69,Cc1ccc2c(c1)c1c(n2CCc2ccc(C)nc2)CCN(C)C1,0
70,COc1cccc(C2CCCN(CCCc3ccccc3)C2)c1,0
71,c1ccc(N2CCN(CCCCOc3ccc4cn[nH]c4c3)CC2)nc1,0
72,CN1CCc2cccc3c2C1Cc1ccc(O)c(O)c1-3,0
73,Cc1ccc(CNCC2(F)CCN(C(=O)c3ccc(Cl)c(F)c3)CC2)nc1,0
