mid,smiles,ref_smiles
1,CC(=O)N1CCc2ccc(C(=O)CCCN3CCN(c4ccccc4Cl)CC3)cc2CC1,0
2,CC(C)(C)c1ccc(N2CCN(CCN3Cc4ccccc4C3)C2=O)cc1,0
3,CC(=O)N1CCc2ccc(C(=O)CCCN3CCN(c4ccccc4Cl)CC3)cc2CC1,0
4,CC(C)(C)c1ccc(N2CCN(CCN3Cc4ccccc4C3)C2=O)cc1,0
5,CC(C)(C)c1ccc(N2CCN(CCN3Cc4ccccc4C3)C2=O)cc1,0
6,CC(C)(C)c1ccc(N2CCN(CCN3Cc4ccccc4C3)C2=O)cc1,0
7,CC(=O)N1CCc2ccc(C(=O)CCCN3CCN(c4ccccc4Cl)CC3)cc2CC1,0
8,CC(=O)N1CCc2ccc(C(=O)CCCN3CCN(c4ccccc4Cl)CC3)cc2CC1,0
9,CC(C)(C)c1ccc(N2CCN(CCN3Cc4ccccc4C3)C2=O)cc1,0
10,CC(=O)N1CCc2ccc(C(=O)CCCN3CCN(c4ccccc4Cl)CC3)cc2CC1,0
11,CC(=O)N1CCc2ccc(C(=O)CCCN3CCN(c4ccccc4Cl)CC3)cc2CC1,0
12,CC(=O)N1CCc2ccc(C(=O)CCCN3CCN(c4ccccc4Cl)CC3)cc2CC1,0
13,CC(C)(C)c1ccc(N2CCN(CCN3Cc4ccccc4C3)C2=O)cc1,0
14,CC(=O)N1CCc2ccc(C(=O)CCCN3CCN(c4ccccc4Cl)CC3)cc2CC1,0
15,CC(C)(C)c1ccc(N2CCN(CCN3Cc4ccccc4C3)C2=O)cc1,0
16,CC(C)(C)c1ccc(N2CCN(CCN3Cc4ccccc4C3)C2=O)cc1,0
17,CC(=O)N1CCc2ccc(C(=O)CCCN3CCN(c4ccccc4Cl)CC3)cc2CC1,0
18,CC(=O)N1CCc2ccc(C(=O)CCCN3CCN(c4ccccc4Cl)CC3)cc2CC1,0
19,CC(C)(C)c1ccc(N2CCN(CCN3Cc4ccccc4C3)C2=O)cc1,0
20,CC(C)(C)c1ccc(N2CCN(CCN3Cc4ccccc4C3)C2=O)cc1,0
21,c1ccc(OCC2CCC3CN(c4ccccn4)CCN3C2)cc1,0
22,c1ccc(OCC2CCC3CN(c4ccccc4)CCN3C2)cc1,0
23,c1ccc(OCC2CCC3CN(c4ncccn4)CCN3C2)cc1,0
24,c1ccc(OCC2CCC3CN(c4ncccn4)CCN3C2)cc1,0
25,c1ccc(OCC2CCC3CN(c4ncccn4)CCN3C2)cc1,0
26,c1ccc(OCC2CCC3CN(c4ncccn4)CCN3C2)cc1,0
27,c1ccc(OCc2cc(OCC3CCN3)no2)cc1,0
28,c1ccc(OCC2CCC3CN(c4ccccc4)CCN3C2)cc1,0
29,c1ccc(OCC2CCC3CN(c4ncccn4)CCN3C2)cc1,0
30,c1ccc(OCC2CCC3CN(c4ccccn4)CCN3C2)cc1,0
31,c1ccc(OCC2CCC3CN(c4ncccn4)CCN3C2)cc1,0
