mid,smiles,ref_smiles
1,Cc1ccc(-c2nn(C(C)C)c3ncnc(N)c23)cc1,0
2,Nc1ncnc2c1c(-c1ccc(Oc3ccccc3)cc1)nn2CCCO,0
3,COc1ccc(Nc2nccc(Nc3c(F)cc(F)cc3F)n2)c(OC)c1,0
4,C=CCn1c(=O)c2cnc(Nc3ccc4c(c3)CCNC4)nc2n1-c1cnc(C(C)(C)C)s1,0
5,CCCCNc1nccc(-c2cn(Cc3ccccc3F)c3ncccc23)n1,0
6,CNc1nc(Nc2ccc(C3CCC(=O)NC3)cc2OC)ncc1C(=O)NCC(F)(F)F,0
7,CN(C)Cc1cncc(-c2ccc3[nH]nc(C(=O)Nc4ccnc(N5CCOCC5)c4)c3c2)c1,0
8,NC(=O)C(CCN1CCN(c2cccc(Cl)c2Cl)CC1)Nc1nccc(-c2ccccc2)n1,0
9,CC(Oc1ccccc1)c1nnc2cc(-c3ccnc(NC4CCOCC4)n3)cnn12,0
10,CC(=O)N1CCC(Nc2cc(NCc3c(F)cccc3F)n3ncc(Br)c3n2)C1,0
11,O=c1ccc2cnc(Nc3ccc(N4CCC(O)CC4)cc3)nc2n1C1CCCC1,0
12,Nc1ncnc2c1c(C(=O)c1cccc(Oc3ccccc3)c1)cn2C1C=CC(N)=CC1,0
13,COc1cc(-c2cn(CC3(N)CCC3)c3ncnc(N)c23)ccc1NC(=O)c1ccc(C(C)(C)C)o1,0
14,CCCCNc1ccc(Nc2ncc(C#N)c(NC(C)c3ccccc3)n2)cc1,0
15,CCOc1cccc(-c2c(Cl)[nH]c3ncccc23)c1,0
16,Nc1ncnc2c1c(-c1ccc(NS(=O)(=O)c3ccccc3)c(F)c1)nn2CC1CCCO1,0
17,NC1CCC(n2nc(C3=C(O)C(=O)NC3=O)c3c(N)ncnc32)CC1,0
18,Nc1ncc(-c2cccc(C3CCNCC3)c2)nc1C(=O)Nc1cn[nH]c1,0
19,O=C(O)C1(Nc2ncc3c(n2)C2=C(CCCC2)NC3=O)CCCC1,0
20,CNC(=O)c1c(C)oc2cc(Oc3ccnc(Nc4ccc(F)c(Cl)c4)n3)ccc12,0
21,CC(=O)N1CCc2ccc(Nc3ncc(C(N)=O)c(NC4CCCC4)n3)cc2C1,0
22,CN1C(=O)COc2ccc(-c3ccnc(Nc4cccc(C(=O)N5CCCC(CN)C5)c4)n3)cc21,0
23,NC(=O)c1cnc(NC2CCCCC2N)nc1Nc1cccc(-c2ncco2)c1,0
24,COC(C(=O)N1CCN(c2ccccc2)CC1)c1ccc(Nc2nc(N)c(C(=O)c3c(F)cccc3F)s2)cc1,0
25,CNC(=O)c1cc(-c2cnc(Nc3cc(C(N)=O)cc(C(F)(F)F)c3)nc2-n2ccc(C(F)(F)F)n2)ccn1,0
26,N#CC1CCCC1Cn1cc(-c2ncnc3[nH]ccc23)cn1,0
27,CCn1c(=O)c(-c2cccc3cnc(C)nc23)cc2cnc(NC3CCC(C(=O)N4CC(C)OC(C)C4)CC3)nc21,0
28,CC(C)(C)C(O)C(=O)Nc1ccc(-c2ccnc(Nc3ccc(N4CCOCC4)cc3)n2)cc1,0
29,CCC(C)C=C(C)Nc1ccnc(-c2c[nH]c3ncncc23)n1,0
30,COc1cc(Nc2ncnc3[nH]ccc23)ccc1Cl,0
31,O=c1cc(-c2ccncc2)nc2n1CCCN2c1ccc(Cl)cc1,0
32,COc1ccc(-c2cc3c(-c4cccc(N)c4)ncnc3[nH]2)cc1,0
33,Cc1cc(O)ccc1Nc1ncc(Cl)c(Nc2ccccc2S(=O)(=O)C(C)C)n1,0
34,N#CCC(C1CCCC1)n1cc(-c2ncnc3[nH]ccc23)cn1,0
35,CC(Nc1nccc(-c2c(-c3ccc(F)cc3)ncn2C2CCNCC2)n1)c1ccccc1,0
36,CC(C)c1nccn2c(-c3ccnc(NCC4CC4)n3)c(-c3ccc(F)cc3)nc12,0
37,Cc1c(Nc2ncc3c(n2)N(C)CN(c2c(Cl)cccc2Cl)C3=O)cccc1N1CCN(C)CC1,0
38,CN1CCCC(Nc2nc(Nc3ccc4c(c3)CN(C)C(=O)C(C)(C)O4)ncc2F)C1,0
39,Nc1ncnc2ccc(Nc3nccc(-c4ccccn4)n3)cc12,0
40,Oc1cccc(-c2ccnc(Nc3cc(Cl)cc(Cl)c3)n2)c1,0
41,CNc1nccc(-c2cn(C3CCCC3)nc2-c2ccc(Cl)c(C)c2)n1,0
42,CN(c1nc(Nc2ccc(Cl)cc2)ncc1-c1cccc(C(N)=O)c1)S(C)(=O)=O,0
43,COc1cc(-c2ccc3c(c2)Nc2ccc(C(=O)NCCN4CCOCC4)cc2NC3=O)ccc1O,0
44,COc1ccc(C=C2C(=O)Nc3ccccc32)cc1,0
45,COc1cc(C=C2SC(=Nc3cccc(C)c3)NC2=O)ccc1OCc1ccc(Cl)c(Cl)c1,0
46,O=C(Nc1ccc(Cl)c(C(F)(F)F)c1)N1CCN(c2ccnc(Nc3ccc(N4CCOCC4)cc3)n2)CC1,0
47,Cc1cccc(-c2nn(C)cc2-c2ccnc3[nH]ccc23)c1,0
48,O=c1ccc2cnc(Nc3ccc(S(=O)(=O)N4CCC(F)(F)CC4)cc3)nc2n1C1CCc2ccccc2C1,0
49,C=C(C(N)=O)c1cccc(-c2cnc3[nH]cc(-c4cnn(C)c4)c3c2)c1,0
50,Cc1cc(Nc2nc(Nc3cc(C)c(C4CCN(C5COC5)CC4)cc3F)ncc2Cl)n[nH]1,0
51,Cc1ccc(C(=O)Nc2cccc(C)c2C)cc1Nc1nccc(-c2cccnc2)n1,0
52,NC(=O)c1cnc(NC2CCCCC2N)nc1Nc1ccc(F)c2ncccc12,0
53,CNc1nc(Nc2ccc(N3CCOCC3)cc2OC)ncc1C=CC(=O)O,0
54,CC(C)n1c(Nc2ccc(F)c(Cl)c2)nc2cnc(NCCCN3CCOCC3)nc21,0
55,Nc1nc(Nc2ccc(Cl)cc2)sc1C(=O)c1cccc(Cl)c1,0
56,O=C1Nc2ccc(Br)cc2C1=Cc1cc(Br)c(O)c(Br)c1,0
57,CN1CCCC1C(=O)Nc1ccc(-c2ccnc(Nc3ccc(N4CCN(C(=O)C(C)(C)C)CC4)cc3)n2)cc1,0
58,CN(C)CCCCn1cnc(-c2ccc(F)cc2)c1-c1ccncc1,0
59,Cc1ccc(Nc2ccnc(Nc3ccc(N4CCOCC4)c(OCC(F)F)c3)n2)cc1C,0
60,CC(C)(C)c1ccc(Nc2ncc3ccn(-c4cc(F)c(C=CC(=N)[O-])c(F)c4)c3n2)cc1,0
61,CC1CNCC1CNc1nc(-c2c[nH]c3ncc(Cl)cc23)ncc1F,0
62,COc1cc(C=C2SC(=Nc3ccccc3Cl)NC2=O)cc(Br)c1O,0
63,Nc1ncnc2c1c(-c1cccc(NC(=O)c3cc(Br)cs3)c1)cn2C1CCCC1,0
64,CC1(C(=O)NC2CCC(O)CC2)COC(c2nc(-c3ccc(F)cc3)c(-c3ccnc(NC4CC4)n3)[nH]2)OC1,0
65,Nc1nccc(-c2cc(C(F)(F)F)c3c(C4CC4)n[nH]c3c2)n1,0
66,CCN1CCCC(O)c2cc(-c3cnc4[nH]cc(-c5ccc(C#N)cc5)c4c3)ccc21,0
67,COc1cc(-c2ccc3c(c2)Nc2ccc(C4CCN(C)CC4)cc2NC3=O)ccc1O,0
