mid,smiles,ref_smiles,IsValid,QED,SAs,GSK3,IsNovel,IsSuccess
1,Cc1ccc(-c2nn(C(C)C)c3ncnc(N)c23)cc1,0,True,0.77,2.29,0.73,True,True
2,Nc1ncnc2c1c(-c1ccc(O)c(O)c1)nn2C1CCCCC1,0,True,0.62,2.49,0.79,True,True
3,COc1ccc(Nc2nccc(C(=O)Nc3cccc(C)c3C)n2)cc1,0,True,0.73,1.96,0.61,False,True
4,C=CCn1c(=O)c2cnc(Nc3ccc4c(c3)CNC4)nc2n1-c1cnc(C(C)(C)C)s1,0,True,0.45,3.38,0.52,True,False
5,CCCCNc1nccc(-c2cc(NCc3ccccc3F)c3nccnc3c2)n1,0,True,0.4,2.5,0.53,True,False
6,CNc1nccc(-c2ccc(C)c(S(=O)(=O)C3=C(C=CC#N)C(C)=CC(C)(C)C3)c2)n1,0,True,0.67,3.41,0.47,True,False
7,CN(C)Cc1cn(-c2ccnc(Nc3ccc(N4CCOCC4)cc3)n2)cn1,0,True,0.7,2.58,0.58,True,True
8,NC1CCCCC1Nc1nccc(Nc2cc(F)ccc2F)n1,0,True,0.81,3.11,0.56,True,True
9,CC(Oc1ccccc1)c1nnc2cc(-c3ccnc(NC4CCOCC4)n3)cnn12,0,True,0.51,3.18,0.57,True,False
10,CC(=O)N1CCC(Nc2cc(NCc3c(F)cccc3F)n3ncc(Br)c3n2)C1,0,True,0.6,3.2,0.35,True,False
11,O=c1nc(N2CCCC2)c2c(-c3ccc(F)cc3)ccnc2[nH]1,0,True,0.79,2.38,0.54,True,True
12,c1ccc2c(c1)c(-c1cc3ncccc3[nH]1)cn2CC1CC1,0,True,0.59,2.37,0.42,True,False
13,COc1cc(-c2cn(CC3CCN(C(=O)CO)C3)c3ncnc(N)c23)ccc1C,0,True,0.68,3.09,0.58,True,True
14,CCCCNc1ccc(Nc2ncc(C#N)c(NC3CCCC3)n2)cc1,0,True,0.6,2.32,0.63,True,False
15,CCOc1cccc(-c2c[nH]c3ncc(C4=CCNCC4)cc23)n1,0,True,0.77,2.83,0.51,True,True
16,Nc1nc(-c2ccc3c(c2)OCO3)c(-c2ccncc2)[nH]1,0,True,0.75,2.37,0.56,True,True
17,NC1CCC(C(=O)N2CC=C(c3c[nH]c4ncccc34)CC2)CC1,0,True,0.89,2.65,0.72,True,True
18,Nc1nccc2cc(Nc3ccnc(Cc4ccco4)n3)ccc12,0,True,0.6,2.57,0.24666667,True,False
19,O=C(O)C1(Nc2nccc(-c3cc(C(F)(F)F)ccc3C(F)(F)F)n2)CC1,0,True,0.76,2.73,0.49,True,False
20,CNC(=O)c1c(C)[nH]c(C=C2C(=O)Nc3ccc(S(=O)(=O)O)cc32)c1C,0,True,0.48,2.69,0.69,True,False
21,COc1ccc(C=C2C(=O)Nc3cc(F)ccc32)cc1C,0,True,0.85,2.12,0.49,True,False
22,CC(C)(C)c1ccc(Nc2ncc(C(F)(F)F)c(NC3CC3)n2)cc1,0,True,0.8,2.31,0.77,True,True
23,CCN(CC)C(=O)c1ccnc(Nc2cccc(C(C)=O)c2)n1,0,True,0.83,2.16,0.54,False,True
24,COC1CCCCC1n1cc(-c2cccc(C)c2)c2c(N)ncnc21,0,True,0.78,3.21,0.68,True,True
25,COc1cc(Nc2ncc(C)c(C(F)(F)F)n2)ccc1S(=O)(=O)N1CCN(C)CC1,0,True,0.76,2.58,0.53,True,True
26,Cc1ccc(-c2cc(-c3cc4c([nH]3)CCNC4=O)ccn2)cc1F,0,True,0.76,2.55,0.77,True,True
27,NCc1ccc(Nc2ncc3c(n2)C(=Cc2cccnc2)C(=O)N3)cc1,0,True,0.63,2.6,0.64,True,True
28,O=C(NCc1c[nH]c2ncccc12)c1ccccc1C(F)(F)F,0,True,0.78,2.17,0.44,True,False
29,Cn1cc(-c2ccnc(NC3CCC(N)CC3)n2)c2ccccc21,0,True,0.78,2.42,0.73,True,True
30,O=C1NC(=Nc2ccccc2)SC1=Cc1ccc(F)cc1,0,True,0.86,2.56,0.57,True,True
31,NC(=O)C1COC(c2nc(-c3ccc(F)cc3)c(-c3ccnc(NCc4ccccc4)n3)[nH]2)OC1,0,True,0.37,2.8,0.57,True,False
32,Cc1cccc(C)c1CCCNc1nccc(-c2ccncc2)n1,0,True,0.69,2.23,0.55,True,True
33,Cc1c(F)c(N)c(F)c(F)c1Nc1nccc(-c2cccnc2)n1,0,True,0.57,2.73,0.6,True,False
34,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OC1CCN(C)CC1,0,True,0.65,2.38,0.55,True,True
35,COc1ccc(-c2cnc(Nc3cccc(N)c3)o2)cc1F,0,True,0.72,2.25,0.43,True,False
36,CNc1nccc(-c2nc3nccc(C4=CCN(C5COC5)CC4)c3[nH]2)n1,0,True,0.73,3.15,0.55,True,True
37,O=C(c1ccc2nccnc2c1)N1CCc2[nH]nc(-c3ccncc3)c2C1,0,True,0.6,2.51,0.3,True,False
38,CC(=O)NCCc1cccc(Nc2nccc(Nc3cccc(C(F)(F)F)c3)n2)c1,0,True,0.52,2.29,0.73,True,False
39,COc1ccc(Nc2nccc(C(=O)Nc3ccccc3)n2)cc1,0,True,0.75,1.79,0.51,True,True
40,N#Cc1ccc(CNc2nc(Nc3ccc(N4CCN(C5COC5)CC4)cc3)ncc2Cl)cc1F,0,True,0.51,2.69,0.56,True,False
41,CC1CC(C)CC(n2c(=O)ccc3cnc(Nc4ccc(N5CCNCC5)cc4)nc32)C1,0,True,0.65,3.4,0.52,False,True
42,CCOc1ccccc1C1=C(c2cn(C)c3ncccc23)C(=O)NC1=O,0,True,0.74,2.44,0.89,True,True
43,O=C(Nc1ccc(Oc2ccccc2)cc1)Nc1ncc(Br)s1,0,True,0.63,1.95,0.14,True,False
44,CCN(c1cc(-c2n[nH]c3ccc(F)cc23)ccn1)C1CCNCC1,0,True,0.77,2.69,0.55,True,True
45,Oc1ccc(-c2ccnc(NC3CC3)n2)cc1O,0,True,0.72,2.16,0.65,True,True
46,CNC(=O)c1cccc(Nc2nccc(-c3ccc(C(N)=O)s3)n2)c1,0,True,0.65,2.3,0.81,True,True
47,COc1cnc2[nH]cc(-c3cc(F)cc(Cl)c3)c2c1,0,True,0.77,2.32,0.64,True,True
48,O=C(O)N(C1CCCCC1)C1CCC(Nc2ncc3ccncc3n2)CC1,0,True,0.84,2.71,0.28,True,False
49,Cc1ccc(-c2ccc3c(NC(=O)C4CCCC4)n[nH]c3c2)cc1,0,True,0.74,2.07,0.69,True,True
50,O=C(Nc1ccnc(C2=CC=C(Cl)CC2)c1)c1n[nH]c2ccccc12,0,True,0.73,2.69,0.23,True,False
51,CC(C)Oc1cccc(Nc2nccc(N3CCCCC3C(N)=O)n2)c1,0,True,0.83,2.78,0.56,True,True
52,CCc1nc(C)c(-c2ccnc(Nc3ccc(N4CCOCC4)c(F)c3)n2)s1,0,True,0.69,2.53,0.84,True,True
53,CC1(N)CCCC(Nc2nccc(-c3c[nH]c4ccccc34)n2)C1,0,True,0.69,3.32,0.65,True,True
54,CC(=O)N1CCC(Nc2nccc(N3CCCc4cnc(Nc5ccccc5)nc43)n2)CC1,0,True,0.62,2.67,0.61,True,True
55,COc1ccc2c(c1)C(=Cc1cnc(C)s1)C(=O)N2,0,True,0.86,2.52,0.6,True,True
56,O=C(NCc1ccccc1)c1ccccc1Cc1ccc2[nH]ncc2c1,0,True,0.57,2.0,0.38,True,False
57,Cc1ccc(Nc2ncc(Cl)c(Nc3ccccc3C#N)n2)cc1C,0,True,0.68,2.22,0.67,True,True
58,NC1CCC(O)(c2ncc(-c3cccc(Nc4nccc(C5CC5)n4)c3)s2)CC1,0,True,0.58,2.92,0.59,True,False
59,Cc1cccc(-c2ccnc(Nc3ccc(S(N)(=O)=O)cc3)n2)c1,0,True,0.76,1.97,0.86,True,True
60,Cc1ccc(Nc2nccc(C(F)(F)F)n2)cc1Br,0,True,0.89,2.24,0.62,True,True
61,Cc1cc(Nc2nc(NC(CN)CC(C)C)nc3ccccc23)n[nH]1,0,True,0.53,3.04,0.66,True,False
62,COc1ccc(-c2ccnc(Nc3ccc(S(=O)(=O)N4CCCC4)cc3)n2)cc1,0,True,0.67,2.02,0.73,True,True
63,CNc1nc(Nc2ccc(C(=O)N3CCOCC3)cc2)ncc1Br,0,True,0.83,2.22,0.82,True,True
64,CCOC(=O)Nc1nc2ccc(OC)c(NC(=O)c3cccc(C)c3C)c2s1,0,True,0.65,2.34,0.07,True,False
65,CC1CCN(c2ncnc3[nH]ccc23)CC1,0,True,0.79,2.34,0.72,True,True
66,N#Cc1c(N2CCCNCC2)cc(-c2ccncc2)cc1Nc1ccc(F)cc1,0,True,0.7,2.48,0.36,True,False
67,N#CCC(C1CCCC1)n1cc(-c2ncnc3[nH]ccc23)cn1,0,True,0.8,3.4,0.76,False,True
68,Cc1cccc(Nc2nccc(-c3ccccc3)n2)c1,0,True,0.77,1.71,0.84,True,True
69,CC(C)N1CCOc2c(F)cc(-c3nc(Nc4ccc5c(c4)CNCC5)ncc3F)cc21,0,True,0.63,3.02,0.58,True,True
70,CCc1ccccc1N1CCN(c2ncnc3[nH]ccc23)CC1,0,True,0.81,2.24,0.7,True,True
71,CCn1c(-c2nonc2N)nc2cncc(C(=O)N3CCCCC3)c21,0,True,0.77,2.7,0.64,True,True
72,CC1CC(C#N)(n2cc(-c3ncnc4[nH]ccc34)cn2)C1,0,True,0.78,3.25,0.59,True,True
73,CC(=O)N1CC(n2cc(-c3ccc(OCCCN(C)C)cc3F)c3c(N)ncnc32)C1,0,True,0.58,2.73,0.57,True,False
74,CC1CN(c2c(F)c(N)c3c(=O)c(C(=O)O)cn(C4CC4)c3c2F)CC(C)N1,0,True,0.69,3.68,0.57,False,True
75,O=C(Nc1n[nH]c2c1CN(C(=O)O)C2)c1ccc(F)c(Cl)c1,0,True,0.79,2.46,0.47,True,False
76,COc1cc(F)c(F)cc1-c1ccnc2[nH]nc(N)c12,0,True,0.75,2.55,0.38,True,False
77,COc1ccc(-c2cncc(C3=NC(C)C(C(=O)O)=C(N)O3)c2)cc1,0,True,0.88,3.11,0.27,True,False
78,Nc1nccc(-c2cccc3cnc(Nc4ccc(N5CCOCC5)nc4)nc23)n1,0,True,0.53,2.6,0.59,True,False
79,CN(C)Cc1cccc(-c2cnc3[nH]cc(C=CC(N)=O)c3c2)c1,0,True,0.71,2.54,0.54,True,True
80,Cc1ccc2c(NC(=O)CC3CCCCC3)n[nH]c2c1,0,True,0.89,2.18,0.64,True,True
81,N#CCC(C1CCNCC1)n1cc(-c2ncnc3[nH]ccc23)cn1,0,True,0.77,3.55,0.77,True,True
82,O=C1NCCc2[nH]c(-c3ccnc(-c4ccc(F)cc4)n3)cc21,0,True,0.76,2.53,0.76,True,True
83,CC1CN(c2c(F)c(N)c3c(=O)c(C(=O)O)cn(C4CC4)c3c2F)CC(C)N1,0,True,0.69,3.68,0.57,False,True
84,NC(=O)c1ncc(NC2CCCCC2N)nc1Nc1ccc2c(c1)CCC2,0,True,0.65,3.35,0.64,True,True
85,O=C(Nc1ccc(F)c(Cl)c1)c1ccnc(Nc2ccc(F)cc2)n1,0,True,0.72,2.0,0.5,True,False
86,Cn1c(N2CCOC(c3ccc(Br)cc3F)C2)nc(-c2ccncn2)cc1=O,0,True,0.62,3.21,0.99,True,True
87,O=C(Nc1n[nH]c2cc(-c3cccc(Br)c3)ccc12)C1CCOC1,0,True,0.72,2.81,0.84,True,True
88,OCC1CCCN1C(=O)c1cccc(-c2ccc3[nH]nc(N)c3c2)c1,0,True,0.68,2.73,0.7,True,True
89,Nc1ncc(-c2ccc(Oc3ccccc3)cc2)nc1C(=O)O,0,True,0.77,1.97,0.41,True,False
90,C#CC1(F)CN(C2CCN(c3ccnc(Nc4ccc(N5CCOCC5)cc4)n3)CC2)C1,0,True,0.72,2.92,0.52,True,True
91,CC(C)(CNc1nc(Nc2cn(C3CC3)nc2C2CC2)ncc1F)C(=O)O,0,True,0.65,3.13,0.45,True,False
92,COc1cc2ncnc(Nc3cccc(Cl)c3)c2cc1OC(C)=O,0,True,0.57,2.11,0.62,True,False
93,Cc1[nH]nc2cc(Nc3nccc(C(C)(C)C)n3)ccc12,0,True,0.75,2.48,0.64,True,True
94,NCc1ccnc(Nc2ccc(Cl)c(Cl)c2)n1,0,True,0.9,2.13,0.67,True,True
95,Cc1cc(Nc2ncc(C)c(-n3cnc(C)c3)n2)cc(N2CCN(C)CC2)c1,0,True,0.75,2.66,0.53,True,True
96,COc1ccc(Nc2nccc(C(=O)Nc3cccc(Cl)c3)n2)cc1,0,True,0.72,1.9,0.54,True,True
97,c1ccc2c(c1)CC(Nc1ccnc(Nc3csc4c3CCO4)n1)CC2,0,True,0.73,3.43,0.49,True,False
98,CNc1nccc(-c2[nH]c(C3CC3)nc2-c2ccc(C)cc2)n1,0,True,0.77,2.38,0.61,True,True
99,CC1=C(Nc2nccc(-c3cc4ccccc4s3)n2)C=C(C)N(C)C1,0,True,0.73,3.11,0.69,True,True
