mid,smiles,ref_smiles
1,Cc1ccc(-c2nn(C(C)C)c3ncnc(N)c23)cc1,0
2,Nc1ncnc2c1c(-c1ccc(O)c(O)c1)nn2C1CCCCC1,0
3,COc1ccc(Nc2nccc(C(=O)Nc3cccc(C)c3C)n2)cc1,0
4,Cc1nnc(-c2ccnc(Nc3ccc(S(N)(=O)=O)cc3)n2)o1,0
5,CCCCNc1nccc(-c2cc(NCc3ccccc3F)c3nccnc3c2)n1,0
6,CNc1nccc(-c2ccc(C)c(S(=O)(=O)C3=C(C=CC#N)C(C)=CC(C)(C)C3)c2)n1,0
7,CN(C)Cc1cn(-c2ccnc(Nc3ccc(N4CCOCC4)cc3)n2)cn1,0
8,NC1CCCCC1Nc1nccc(Nc2cc(F)ccc2F)n1,0
9,CC(Oc1ccccc1)c1nnc2cc(-c3ccnc(NC4CCOCC4)n3)cnn12,0
10,CC(=O)N1CCC(Nc2cc(NCc3c(F)cccc3F)n3ncc(Br)c3n2)C1,0
11,O=c1nc(N2CCCC2)c2cc(-c3ccncc3)ccc2[nH]1,0
12,c1ccc2c(c1)c(-c1cc3ncccc3[nH]1)cn2CC1CC1,0
13,COc1cc(-c2cn(CC3CCN(C(=O)CO)C3)c3ncnc(N)c23)ccc1C,0
14,CCCCNc1ccc(Nc2ncc(C#N)c(NC3CCCC3)n2)cc1,0
15,CCOc1cccc(-c2c[nH]c3ncc(C4=CCNCC4)cc23)n1,0
16,Nc1nc(-c2ccc3c(c2)OCO3)c(-c2ccncc2)[nH]1,0
17,NC1CCC(C(=O)N2CC=C(c3c[nH]c4ncccc34)CC2)CC1,0
18,Nc1nccc2cc(Nc3ccnc(C(=O)O)c3)ccc12,0
19,O=C(O)C1(Nc2nccc(-c3cc(C(F)(F)F)ccc3C(F)(F)F)n2)CC1,0
20,CNC(=O)c1c(C)[nH]c(C=C2C(=O)Nc3ccc(S(=O)(=O)O)cc32)c1C,0
21,COc1ccc(C=C2C(=O)Nc3cc(F)ccc32)cc1C,0
22,CC(C)(C)c1ccc(Nc2ncc(C(F)(F)F)c(NC3CCCC3)n2)cc1,0
23,CCN(CC)C(=O)c1ccnc(Nc2cccc(C(C)=O)c2)n1,0
24,COC1CCCCC1n1cc(-c2cccc(C)c2)c2c(N)ncnc21,0
25,COc1cc(Nc2ncc(C#N)c(Nc3ccccc3F)n2)cc(OC)c1OC,0
26,Cc1ccc(-c2cc(-c3cc4c([nH]3)CCNC4=O)ccn2)cc1F,0
27,NCc1cc(F)ccc1-c1nc(C2CC2)[nH]c1-c1ccncc1,0
28,O=C(NCc1c[nH]c2ncccc12)c1ccccc1C(F)(F)F,0
29,Cn1cc(-c2ccnc(NC3CCC(N)CC3)n2)c2ccccc21,0
30,O=C1NC(=Nc2ccccc2)SC1=Cc1ccc(F)cc1,0
31,NC(=O)C1COC(c2nc(-c3ccc(F)cc3)c(-c3ccnc(NCc4ccccc4)n3)[nH]2)OC1,0
32,Cc1cccc(C)c1CCCNc1nccc(-c2ccncc2)n1,0
33,Cc1c(F)c(N)c(F)c(F)c1Nc1nccc(-c2cccnc2)n1,0
34,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OC1CCN(C)CC1,0
35,COc1ccc(-c2cnc(Nc3cccc(N)c3)o2)cc1F,0
36,CNc1nccc(-c2nc3nccc(C4=CCN(C5COC5)CC4)c3[nH]2)n1,0
37,O=C(c1ccc2nccnc2c1)N1CCc2[nH]nc(-c3ccncc3)c2C1,0
38,CC(=O)NCCc1cccc(Nc2nccc(Nc3cccc(C(F)(F)F)c3)n2)c1,0
39,COc1ccc(Nc2nccc(C(=O)Nc3ccccc3)n2)cc1,0
40,N#Cc1ccc(CNc2nc(Nc3ccc(N4CCN(C(=O)O)CC4)cc3)ncc2C(F)(F)F)c(F)c1,0
41,CCCC(C)(c1ccc(O)c(O)c1)c1c[nH]c2ncccc12,0
42,Cc1ccc(Nc2ncc3c(n2)CCN(C)C3)cc1C#N,0
43,CC1CC(Nc2nc(-c3c[nH]c4ncc(Cl)cc34)ncc2F)CCN1,0
44,O=C1NC(=NCc2ccccc2F)SC1=Cc1cccc(I)c1,0
45,Cn1cc(Nc2ncc(F)c(NC3CCCCC3O)n2)cn1,0
46,CCn1cc(Nc2ncc(F)c(-c3cc(F)c4c(c3)CCN4C(=O)OC(C)(C)C)n2)cn1,0
47,Cc1ccccc1-c1cccc2c1c(N=O)c(O)n2Cc1ccccc1,0
48,C#CCN1CCc2cc(Nc3nc(Nc4cccc(F)c4)ncc3F)ccc21,0
49,CNc1nc(Nc2ccc(F)c(OC)c2)ncc1C(N)=O,0
50,O=C1Cc2cnc(Nc3ccc(F)cc3)nc2-c2ccccc2N1,0
51,COc1cccc(-c2n[nH]c3ccccc23)c1,0
52,Cc1cc(-c2ccnc3[nH]ccc23)ccc1O,0
53,CN(C)c1ccc(C=C2C(=O)Nc3ccccc32)cc1,0
54,C=C(C#N)C(=O)N1CCCC(Nc2nc(Nc3ccc(OCCN4CCCC4)cc3)ncc2F)C1,0
55,COc1ccccc1-c1c[nH]c2ncc(-c3ccccc3)cc12,0
56,O=C(O)N1CCC(c2ccc(Nc3ncc(Br)c(N4CCN(C(=O)C(F)(F)F)CC4)n3)cc2)CC1,0
57,CC1CN(c2ccc(Nc3ncc4cnn(C5CCCC5)c4n3)cc2F)CC(C)O1,0
58,CC(C)S(=O)(=O)Nc1cncc(-c2ccc3c(c2)CCC3=NO)c1,0
59,Cc1ccc(-c2nc(N)sc2-c2ccnc(C3CC3)n2)cc1,0
60,COc1ccc(F)c(F)c1C1=NCc2cnc(Nc3ccc(N4CCN(C)CC4)cc3)nc2-c2ccc(Cl)cc21,0
61,O=C1NC(=Nc2ccccc2F)SC1=Cc1ccc(Br)o1,0
62,O=C(CCc1c[nH]c2ccc(F)cc12)N1CCC(N2CCc3ncnc(NC4CCCC4)c3C2)CC1,0
63,COc1ccc(Nc2ncc(F)c(Nc3ccccc3C(N)=O)n2)cc1OC,0
64,NC(C(=O)N1CCN(c2ncnc3[nH]ccc23)CC12CC2)c1ccc(Cl)c(F)c1,0
65,CC(=O)Nc1n[nH]c2cc(Cc3ccc(F)cc3)c(C)cc12,0
66,COCC(=O)N1CCCC(c2cc(NCc3cccnc3)n3ncc(Br)c3n2)C1,0
67,CN(Cc1cccc(C2CC2)c1)c1ncnc2[nH]ccc12,0
68,Cc1c(F)c(O)cc(Nc2nccc(C3=CC=CN(C)C=C3)n2)c1F,0
69,Cc1ccccc1NC(=O)c1ccnc(Nc2ccc(Cl)cc2Cl)n1,0
70,Nc1ccc2[nH]nc(-c3ccc4c(c3)OCO4)c2c1,0
71,N#Cc1ccc(C(F)(F)F)cc1Nc1nccc(NCc2ccccc2F)n1,0
72,Cc1ccc(Nc2ccnc(Nc3ccc(N(C)C)cc3)n2)cc1,0
73,CCCCCCc1c[nH]c2ncc(-c3cccc(N)c3)cc12,0
74,OCC(O)N1CCN(c2ccc(Nc3ncc4cc(C(F)(F)F)c(NC5CCCC5)cc4n3)cc2)CC1,0
75,COc1ccccc1C1=NCc2cnc(Nc3ccccc3)nc2-c2ccc(C#N)cc21,0
76,CCOC(=O)c1cn(C2C(=O)c3ccccc3C2=O)c2ncnc(N)c12,0
77,N#CCC(C1CCN(c2ncnc3[nH]ccc23)C1)n1cccn1,0
78,NCc1ccc(Nc2nccc(-c3ccccc3)n2)cc1,0
79,c1cnc2[nH]cc(-c3ccnc(NCC4CCOC4)n3)c2c1,0
80,CCc1ccc(Nc2nccc(C(=O)N3CCCCCC3)n2)cc1,0
81,Cc1cccc(Nc2ncc(Br)c(NC(C)CN(C)C)n2)c1,0
82,Cc1ncc(-c2ccnc(Nc3ccc(C(=O)N(C)CC(C)O)cc3)n2)n1C1CCCC1,0
83,O=C(c1c[nH]c2ccccc12)N1CCc2[nH]nc(-c3ccccc3)c2C1,0
