mid,smiles,ref_smiles
1,COC(=O)CC(c1ccc2c(c1)OCO2)c1c(O)cc(C)n(CCc2c[nH]c3ccccc23)c1=O,0
2,O=C(O)CC1(NC(=O)C2CC(=O)Nc3ccccc32)CCC1,0
3,COc1cc(C(C)=NO)ccc1OCC(=O)O,0
4,CCc1ccc(N2C(=O)C(=Cc3ccc(OC(C)C(=O)[O-])cc3)C(=O)NC2=S)cc1,0
5,CN1C(=O)C(NC(=O)c2nnc3n2CC(C(F)(F)F)CC3)COc2ccccc21,0
6,Cc1ccc(NC(=O)N2CCOC(C#N)C2)c(O)c1,0
7,CC(C)(O)C(O)C(=O)Nc1ccc(Cl)c(C(=O)c2ccc(N)cc2)c1,0
8,CC(C)(C)OC(=O)N1CCCN(C(=O)C[n+]2ccccc2)CC1,0
9,Cc1cccc(NC(=O)Cn2nc3c(N4CCOCC4)ncnc3c2C)c1C,0
10,Oc1ccc2c(c1)OCC2N1CCNCC1,0
11,COc1cc2c(cc1OC)C1C(COC(=O)c3ccccc3)CSC(=Nc3ccccc3)N1CC2,0
12,CC(=O)c1sc(=Nc2ccccc2)n(CCN2CCNCC2)c1C,0
13,CC(=N)N1CCC(Oc2ccc(N(Cc3ccc4ccc(C(=N)N)cc4c3)S(C)(=O)=O)cc2)CC1,0
14,O=C(O)CC(NC(=O)Cc1ccccc1)C(=O)O,0
15,CC(C)(C)OC(=O)C1C(C(=O)O)=CSC2C(NC(=O)COc3ccccc3)C(=O)N12,0
16,Cc1nc(C(C)(C)C)oc1C(=O)NCC(C(=O)O)c1ccccc1,0
17,CC1(C)OC(CCCCCCCCC(F)=CI)OC1(C)C,0
18,COC(=O)CC1CCC(c2ccc(B(O)O)cc2)CC1,0
19,NC(=NCc1cccc(S(N)(=O)=O)c1)NC(=O)c1ccccc1,0
20,COc1cc(N)c(Cl)cc1C(=O)NCC1CCN(CC(=O)O)CC1,0
21,O=S(=O)([O-])CCCCOc1ccccc1-c1ccccc1,0
22,CCOC(=O)c1c(NC(=O)C([NH2+]CCc2ccccc2)c2ccccc2)sc2c1CCC(C)C2,0
23,Cc1ncc(C(=O)NCCOCC(O)O[N+](=O)[O-])s1,0
24,Cc1cc(C)c(C(C)NC(=O)C2(C(=O)O)CCC2)cc1C,0
25,Cc1cc(NC(=O)C2CCCC2)ccc1NC(=O)c1c[nH]c(=O)c(C(=O)NCCN(C)C)c1,0
26,Cc1ccc(NC(=O)c2c(NC(=O)CN3CCOCC3)sc3c2CCC(C)C3)cc1,0
27,O=C(Nc1cccc(OCC(=O)N2CCCC2C(=O)NC2CCCC2)c1)c1ccccc1,0
28,COC(=O)c1c(NC(=O)CSc2cccc(NC(=O)Cc3ccccc3)c2)sc2c1CCCC2,0
29,Cc1cccc(C)c1NC(=O)CNC(=O)C(C)NC(=O)c1ccc(Cl)s1,0
30,O=C(O)c1ccc(CNC(=O)N2CCN(Cc3ccc(Cl)cc3)CC2)cc1,0
31,Cc1ccc(S(=O)(=O)N2CCN(Cc3ccc(C(=O)Nc4cccnc4)cc3)CC2)cc1,0
32,O=C(O)CC1(CNC(=O)c2cccc(F)n2)CC1,0
33,COc1ccc(C(=O)Nc2cccc(C(=O)NC(CC(=O)O)c3ccc(C)cc3)c2)cc1,0
34,CSC1OC(CO)C(O)C(O)C1OC(=O)C(C)(C)C,0
35,COc1ccc(CNc2cc(NC(C)CO)ncn2)cc1,0
36,CCc1cccc(CC)c1NC(=O)CNC(=O)COC(=O)c1ccccc1O,0
37,Cc1ccc([N+](=O)[O-])c(NCCCC(N)C(C)O)c1,0
38,CS(=O)(=O)C1(C(=O)N2CCN(S(=O)(=O)c3ccccc3)CC2)CCNCC1,0
39,N#Cc1c(NC(=O)CCc2cccc3ccccc23)sc2c1CCN(C(=O)CCN1CCCCC1)C2,0
40,Cc1ccc(S(=O)(=O)N2CCN(Cc3ccc4c(c3)OCCO4)CC2)cc1C(=O)O,0
41,CCOC(=O)C1CCCN(C(=O)N(CC(=O)O)C(C)C)C1,0
42,COCc1ccc(C(=O)Nc2cc(OC)c(C(=O)O)cc2Cl)cc1,0
43,COc1c(C)c(CC=C(C)CCC=C(C)CBr)c(OC)c2ccccc12,0
44,O=C1OC2(CCN(Cc3ccc(F)cc3)CC2)CN1CCOc1ccc(F)cc1,0
45,O=C(CN1CCN(Cc2ccccn2)CC1)Nc1ccc2c(c1)OCCO2,0
46,CC1CN(C(=O)COc2ccc(Cl)cc2CNC(=O)NS(C)(=O)=O)C(C)CN1Cc1ccc(F)cc1,0
47,O=C(O)C#Cc1c[nH]c(=O)c(C(=O)O)c1,0
48,CCC(C(=O)Nc1cc(S(=O)(=O)Nc2ccc(OC)cc2)ccc1Cl)c1ccccc1,0
49,C[N+](C)(C)c1nc(N2CCCCC2)sc1-c1ccnc(NC2CCCCC2)n1,0
50,COC(=O)c1c(C)[nH]c(C(=O)NCC2CN3CCCC3CO2)c1C,0
51,C[N+](C)(C)Cc1ncccc1OC(=O)c1ccccc1,0
52,Cc1ccc(NC(=O)CSc2nnc(CCC(=O)[O-])c(=O)[nH]2)c(C)c1,0
53,CCN(CC1CC1)C(=O)N(CC(=O)O)CC(=O)O,0
54,Cc1cc(NC(=O)C(N)CCC(=O)O)ccc1N1CCc2ccccc2C1,0
55,C=CCNc1cc(NCC2CCCCO2)ccc1C(=O)O,0
56,CCC(C)N1CCN(C(=O)NCC(=O)O)CC1,0
57,CN(C)C(=O)c1ccc(Cc2ccccc2OC2CC(O)C(O)C(CO)C2)cc1,0
58,Cc1ccc(N(CC(=O)O)C(=O)c2cncs2)cc1,0
59,CC(C)(C)C(CC(=O)O)NC(=O)c1cc[nH]c(=O)c1,0
60,COCC(C)N(C)C(=O)N(CC(=O)O)CC(=O)O,0
