mid,smiles,ref_smiles,IsValid,QED,SAs,HIA,IsNovel,IsSuccess
1,COC(=O)CC(c1ccc2c(c1)OCO2)c1c(O)cc(C)n(CCc2c[nH]c3ccccc23)c1=O,0,True,0.39,3.16,0.27814754566406585,False,False
2,O=C(O)CC1(NC(=O)C2CC(=O)Nc3ccccc32)CCC1,0,True,0.79,2.98,0.14487671926319612,True,False
3,COc1cc(C(C)=NO)ccc1OCC(=O)O,0,True,0.46,1.98,0.855166841656273,True,True
4,CCc1ccc(N2C(=O)C(=Cc3ccc(OC(C)C(=O)[O-])cc3)C(=O)NC2=S)cc1,0,True,0.43,3.07,0.32919116920424507,True,False
5,CN1C(=O)C(NC(=O)c2nnc3n2CC(C(F)(F)F)CC3)COc2ccccc21,0,True,0.81,3.68,0.9995047179165014,False,True
6,Cc1ccc(NC(=O)N2CCOC(C#N)C2)c(O)c1,0,True,0.75,3.05,0.9396906123195529,True,True
7,CC(C)(O)C(O)C(=O)Nc1ccc(Cl)c(C(=O)c2ccc(N)cc2)c1,0,True,0.48,2.76,0.682416111551994,True,True
8,CC(C)(C)OC(=O)N1CCCN(C(=O)C[n+]2ccccc2)CC1,0,True,0.78,2.41,0.8128898076467761,True,True
9,Cc1cccc(NC(=O)Cn2nc3c(N4CCOCC4)ncnc3c2C)c1C,0,True,0.75,2.56,0.9998743804327532,True,True
10,Oc1ccc2c(c1)OCC2N1CCNCC1,0,True,0.73,2.95,0.993008330446567,False,True
11,COc1cc2c(cc1OC)C1C(COC(=O)c3ccccc3)CSC(=Nc3ccccc3)N1CC2,0,True,0.43,3.42,0.15854974335430172,False,False
12,CC(=O)c1sc(=Nc2ccccc2)n(CCN2CCNCC2)c1C,0,True,0.85,2.61,0.842245140369478,True,True
13,CC(=N)N1CCC(Oc2ccc(N(Cc3ccc4ccc(C(=N)N)cc4c3)S(C)(=O)=O)cc2)CC1,0,True,0.34,2.7,0.9955968145818166,True,True
