mid,smiles,ref_smiles
1,Cc1ccc(S(=O)(=O)OCC2CCc3ccc(NC(=O)Nc4ccccc4)cc3C2=O)cc1,0
2,O=C(O)CC1(NC(=O)C2CC(=O)N(c3ccc(Cl)cc3)C2)CCCC1,0
3,COc1ccc(C(=O)NCC(=O)NC2(CC(=O)O)CCCC2)cc1OC,0
4,CCc1ccc(C2C(C#N)=C(N)N(NC(=O)c3ccncc3)C3=C2C(=O)CC(C)(C)C3)cc1,0
5,CC1CC(C(=O)O)CN(C(=O)COc2ccccc2[N+](=O)[O-])C1,0
6,Cc1ccc(S(=O)(=O)N2CCOC(C)C2)cc1C(=O)N1CCOCC1,0
7,CC(C)C(O)C(=O)Nc1ccc(N(C)CCO)cc1,0
8,O=C1CCN(Cc2ccccc2)CCC2(CC1)CN(c1cccc(F)c1)C(=O)CO2,0
9,CC1=C(C(=O)O)C(c2ccccc2OCc2ccccc2)C2=C(CC(C)(C)CC2=O)N1,0
10,CC(C)(CO)NCc1csc([N+](=O)[O-])c1,0
11,COC(=O)c1cc(OC)c(OC)cc1NC(=O)C1CCN(C(=O)N(C)C)CC1,0
12,Cc1ccc(N=C2SC(=Cc3ccc(OCC(=O)O)cc3)C(=O)N2C)c(O)c1,0
13,N#Cc1c(N2CCOCC2)nc(N2CCOCC2)c2c1CCN(C(=O)Cc1ccc3c(c1)OCO3)C2,0
14,COC(=O)c1ccc(NC(=O)C2CC(=O)N(C(C)c3ccccc3)C2)cc1,0
15,O=C1CCCN1CCC(=O)N1CCCC1c1nccs1,0
16,Cc1nc(CNC(=O)C(N)CCS(C)(=O)=O)sc1C(=O)O,0
17,CC1(C)OC(CCCCCCCCC(=O)O)C(C(C)(C)C)O1,0
18,Cc1cc(C)cc(N2C(=O)CC(Nc3ccc(C(=O)O)cc3)C2=O)c1,0
19,NC(=NCc1cccc(S(N)(=O)=O)c1)Nc1ccccc1,0
20,Cc1c(Cl)cccc1NC(=O)CNC(=O)N1CCC(C(=O)O)CC1,0
21,O=C(COc1ccc(-c2ccccc2)cc1Cl)Nc1ccc(C(=O)O)s1,0
22,CCOC(=O)c1c(NC(=O)COC(=O)c2cccc(S(C)(=O)=O)c2)sc2c1CCCC2,0
23,Cc1nc(Nc2ncc(C(=O)O)s2)cc(N2CCN(C)CC2)n1,0
24,C[N+](C)(CC(=O)NCc1ccc(Cl)cc1Cl)C1CCCC1,0
25,Cc1cc(NC(=O)C2CCCC2)ccc1NC(=O)c1ccnc(C(=O)O)c1,0
26,CNC(=O)C1CCCCN1Cc1cc(C(=O)O)oc1C,0
27,Cc1cccc(NC(=O)NC(=O)CN(C)C(C(=O)O)C(C)C)c1C,0
28,NC(=O)c1c(NC(=O)c2ccccc2Br)sc2c1CCCC2,0
29,CC(C)CN(CC(C)C)C(=O)c1cc(C(C)C(=O)OC(C)(C)C)[nH]c(=O)c1O,0
30,CCN(C(=O)COC(=O)c1cccc(O)c1)C1CCS(=O)(=O)C1,0
31,Cc1ccc(S(=O)(=O)N2CCN(Cc3ccc(C(=O)O)cc3)CC2)cc1,0
32,O=C(O)CC1(NC(=O)c2cc(Br)c[nH]2)CCCCC1,0
33,COc1ccc(C(=O)c2sc(Nc3ccccc3)nc2N)cc1,0
34,CSC1OC(CO)C(O)C(O)C1OC(=O)C(C)(C)C,0
35,Cc1ccc(CNC2(CO)CCC2)cc1C,0
36,Cc1cc(C)c(NC(=O)CSc2nnc(CCC(=O)[O-])c(=O)[nH]2)c(C)c1,0
37,CNc1ccc([N+](=O)[O-])c(NC(CCO)C(C)(C)C)n1,0
38,CN(Cc1ccc(C(=O)NN)o1)c1ccccc1C#N,0
39,N#Cc1c(NC(=O)CCc2cccc3ccccc23)sc2c1CCN(C(=O)CCN1CCCCC1)C2,0
40,CN1CCN(C2=Nc3ccccc3Nc3sc(C(=O)O)cc32)CC1,0
41,Cc1cccc(NC(=O)N2CCN(CC(=O)Nc3ccc(C(=O)O)cc3)CC2)c1,0
42,COCc1ccc(C(=O)Nc2cc(OC)c(OC)cc2Cl)c(O)c1,0
43,Cc1nc(COc2ccccc2C(=O)NCCCc2nc3ccccc3[nH]2)cs1,0
44,CN(C)CCCNC1CCOC2(CCSCC2)C1,0
45,COc1ccccc1N(C)C(=O)CN1CCCC(CC(=O)O)CC1,0
46,O=C(CSc1cccc(Cl)c1)NC1(C(=O)O)CCSC1,0
47,O=C(O)C=CC(=O)Nc1cc2cc3c4c(c2oc1=O)CCCN4CCC3,0
48,CCC(C(=O)Nc1cc(OC)ccc1OC)c1ccccc1,0
49,COc1ccc(CN(C(=O)Nc2cccc(Br)c2)C(C)C(=O)O)cc1OC,0
50,C[NH+](CC(=O)Nc1ccc(Cl)c(Cl)c1)CC(=O)Nc1sccc1C#N,0
51,COc1cccc(C(C)(C)C(=O)Nc2ccc(SC3CCCC3)cc2C(=O)O)c1,0
52,Cc1ccccc1N1CCN(C(=O)Cn2c(=O)n(C)c3ccccc32)CC1,0
53,COc1cc(C(=O)O)ccc1CCNC(=O)C1CC(=O)N(c2ccc(F)cc2)C1,0
54,Cc1nccn1CCN1CCN(C(=O)Cc2csc(NC(=O)c3ccccc3)n2)CC1,0
55,C=CCNc1cc(C(=O)N2CCN(C(=O)OCC)CC2)ncn1,0
56,CCc1cccc(CC)c1NC(=O)CNC(=O)C(C)(C)C(=O)O,0
57,COc1cc(C)c(NCC(O)CC(C)C)cc1OC,0
58,Cc1ccc(N(CC(=O)O)C(=O)c2cncs2)cc1,0
59,O=C(Nc1ccc(C(=O)NCCCO)cc1)Nc1cccs1,0
60,COCCN(CCOC)c1sc(C(C)O)cc1[N+](=O)[O-],0
