mid,smiles,ref_smiles,IsValid,QED,SAs,BBB,IsNovel,IsSuccess
1,CC(C)c1ccc(O)c(C(C)(C)O)c1,0,True,0.76,2.25,0.7964146397092166,False,True
2,CC(C)C(=O)NCCNC1CCc2c(O)cccc21,0,True,0.71,2.75,0.7329612783374321,False,True
3,Oc1ccc2c(c1)CCC(NCc1ccccc1)C2,0,True,0.88,2.33,0.9127280202683195,True,True
4,Cc1cc(C(=O)N2CC3CCC(N)C3C2)ccc1C(F)(F)F,0,True,0.87,3.39,0.9789440887830748,True,True
5,CC(=O)NC1CCN(c2cc(F)cc(C=CC(=O)O)c2)C1,0,True,0.83,2.81,0.792139829726832,False,True
6,Cc1ccccc1-c1noc2c1CNCC2,0,True,0.79,2.52,0.9845217181260895,True,True
7,Cc1nc(CCC(=O)N(C)c2ccccc2)sc1C,0,True,0.86,2.18,0.9773441972542524,True,True
8,CN(CC(=O)NC1CC1)C(=O)COC(=O)c1ccc(C(=O)c2ccccc2)cc1,0,True,0.54,1.98,0.8050800253352342,True,True
9,COC(=O)c1ccc(C(=O)N2CCCN(c3ccc(F)cc3)CC2)cc1,0,True,0.79,1.76,0.9801819485969528,False,True
10,CN(CCc1ccccn1)Cc1cc(C(=O)NN)no1,0,True,0.45,2.43,0.9255236813176081,True,True
11,CCCCN1C(=O)CC(C(=O)Nc2ccc(F)cc2)SC1=Nc1ccc(Cl)c(C(F)(F)F)c1,0,True,0.48,3.06,0.9528581829887535,True,True
12,O=C(CSc1ccc2c(c1)CCC2)NOC1CCCC1,0,True,0.67,2.48,0.9958431431872815,True,True
13,CCc1cccc(Oc2ccc(CNC(C)C)cc2C)c1,0,True,0.82,1.85,0.9490090343374209,True,True
14,O=C(Nc1ccc(F)cc1)c1cn(CCCO)c2cc(-c3cn[nH]c3)ccc12,0,True,0.48,2.38,0.983612497290313,True,True
15,CCC(C)C(=O)N1CCC(NC(=NCC(=O)N(C)C)NCC(C)C)CC1,0,True,0.53,3.26,0.40989249350801615,True,False
16,CCc1nc2c(nc1NC(=O)CC(C)C)CCc1cc(F)ccc1-2,0,True,0.93,2.57,0.9225608611135614,True,True
17,COC(=O)c1c(OCc2ccccc2)c(=O)c(Br)cn1CC=O,0,True,0.57,2.59,0.8384833148175483,True,True
18,Cc1cc(O)c(C(C)C)cc1N=C1NC(=O)SC1=Cc1ccc(Cl)cc1,0,True,0.68,2.95,0.6672368611202689,True,True
19,O=C(O)CCCCCN1C(=O)CCc2ccc(F)cc21,0,True,0.81,2.08,0.9440037966733454,True,True
20,CC(=O)Nc1nc(C(=O)N(C)Cc2ccc(C3CC3C)o2)cs1,0,True,0.91,3.21,0.8860549963050359,False,True
21,CC1(C)OC(CCCCCCCCC(F)=CI)OC1(C)C,0,True,0.33,3.33,0.9888133985581989,True,True
22,O=C(O)c1ccc(CNC(=O)C2CC2c2ccccc2)o1,0,True,0.88,2.77,0.8749535829948241,True,True
23,N#Cc1ccc(Oc2ccc(O)cc2)cc1C(F)(F)F,0,True,0.9,2.05,0.958720914482276,True,True
24,CCCCNC(C)CC1COCCN1C(=O)OC(C)(C)C,0,True,0.77,3.22,0.8001226381033585,True,True
25,CCCC(C)(NC(=O)c1ccc(N)cc1Cl)C(=O)OC,0,True,0.65,2.71,0.9669701870376192,True,True
26,CCC1(CNc2nc(N)nc(OC)n2)CC1,0,True,0.78,2.81,0.9503290008336623,True,True
27,CC(C)C(CO)NCCc1ccco1,0,True,0.72,2.78,0.5407625081231531,True,True
28,Cc1cc(C2=NC(N3CCOCC3)=C3C=NC=C[N+]23C)ccc1S(=O)(=O)N1CCN(C)CC1,0,True,0.62,3.94,0.7553287232587343,True,True
29,CC(C)(C)OC(=O)N1CCC2(CCN(CS(=O)[O-])CC2)C1,0,True,0.72,4.0,0.7539205658849866,True,True
30,CCN(C1=NS(=O)(=O)c2ccccc21)c1ccccc1,0,True,0.85,2.36,0.9454638710770329,False,True
31,COc1cc2c(cc1OC)CN(C(=O)C1CC1c1ccco1)CC2,0,True,0.87,3.07,0.9909783359455756,True,True
32,CC(C)(C)c1noc(CSc2nnc(NC(=O)c3cccc(F)c3)s2)n1,0,True,0.52,2.42,0.9356816744743893,True,True
33,CCCNc1cc(Sc2ccc(C)cc2)nc(COC)n1,0,True,0.79,2.44,0.9403428158111581,True,True
34,COC(=O)C1CCN2C(=O)N(c3ccc(OC(F)F)nc3)C(=O)C2C1,0,True,0.6,3.45,0.8764057210761494,True,True
35,Cc1cc(C)n(CCCNC(=O)CNC(=O)c2ccc(-c3ccccc3)cc2)n1,0,True,0.58,1.98,0.7903597441310627,True,True
36,CCOc1ccc(NC(=O)C(C#N)=Cc2cc3cc(C)ccc3[nH]c2=O)cc1,0,True,0.53,2.3,0.6558232748505894,True,True
37,COCCN1C(=O)C(c2ccccc2)(n2ccnn2)Nc2nccnc21,0,True,0.73,3.61,0.9572223069525447,False,True
38,COc1ccc(N2C(=O)NC(=O)C(=Cc3cc(Br)c(OCCOc4ccc(C(C)(C)C)cc4)c(OC)c3)C2=O)cc1,0,True,0.18,2.58,0.830539577125013,True,True
39,COc1ccc(OC)c(NC(N)=NC2CC2c2c(F)cccc2Cl)c1,0,True,0.63,3.25,0.7979247930415975,True,True
40,O=C(O)c1sc2ccc(Br)cc2c1-c1cccnc1,0,True,0.75,2.24,0.9615665974440666,True,True
41,C(=Nc1ccccc1-n1cccc1)c1ccccc1,0,True,0.62,2.2,0.9772900462327225,True,True
42,O=S(=O)(NCC(O)c1ccc(-c2cccs2)s1)c1cccc2ccccc12,0,True,0.48,2.83,0.8362011819947337,True,True
43,COc1ccc2cc(C(C)C(=O)Nc3ccc(OC)c(CO)c3)ccc2c1,0,True,0.69,2.48,0.8567234240845669,True,True
44,O=C1C=CC(C(O)(c2ccccc2)c2ccccc2)C=C1,0,True,0.93,2.54,0.9309663540962895,True,True
45,CCOc1ccc(Br)cc1C(=O)Nc1cccc(OCCC(C)C)c1,0,True,0.63,1.89,0.9511034109965809,True,True
46,CN(CCC1CCCCO1)C(=O)Nc1ccccc1Oc1ccccc1F,0,True,0.77,2.64,0.938057354956705,True,True
47,O=C(O)CC1CCCN(Cc2cc(Cl)cc3cccnc23)CC1,0,True,0.92,2.61,0.7330039096532569,False,True
48,CCCCNC(C)CC1COCCN1C(=O)OC(C)(C)C,0,True,0.77,3.22,0.8001226381033585,True,True
49,Cc1ccccc1CCNC(=O)CN1CCN(C(=O)c2n[nH]c3ccccc23)CC1,0,True,0.66,2.16,0.8216493857448677,False,True
50,COCCN(C)CCNC(=O)C1(C(N)=S)CC1,0,True,0.59,2.61,0.9006829177062049,True,True
51,COc1ccc(-c2nc(C(=O)N3CCCC4CCCC=C43)cs2)cc1OC,0,True,0.76,2.96,0.8720822169512186,True,True
52,O=C1OC2(CCNCC2)CN1Cc1ccccc1,0,True,0.86,2.82,0.9720169198225661,True,True
53,CC(OC(=O)C=Cc1ccccc1F)C(=O)Nc1ccccc1C#N,0,True,0.67,2.54,0.9754929475708315,True,True
54,O=C1CC(c2ccccc2)C2(CCN(CC3CCCCC3)CC2)O1,0,True,0.78,3.39,0.9906339108606137,True,True
55,O=S(=O)(Nc1nc(C2CCOCC2)ns1)c1ccc(F)cc1,0,True,0.92,2.46,0.850977016811906,True,True
