mid,smiles,ref_smiles
1,CC(C)c1ccc(S(=O)(=O)N2CCC(C(=O)NCC3CCN(C(C)C)C3)CC2)cc1,0
2,O=C1CCCN1c1cnn(C2CCN(c3nc4ccc(F)cc4o3)C2)c1,0
3,NC(=O)c1ccc(N2CCCCC2)c(NCc2ccccc2)c1,0
4,COc1ccccc1Oc1ccc(NS(=O)(=O)CC(C)C)cc1,0
5,CN(CC(C)(C)O)C(=O)c1cc(N)c(F)cc1F,0
6,Cc1ccccc1C1C=C(c2ccc(O)cc2)Nc2nc3ccccc3n21,0
7,NC(=O)C(C(=O)Nc1ccc(N2CCOCC2=O)cc1C(F)F)N(C1CC1)C1CC1,0
8,CC(C)(C)c1ccc(C(=O)Cn2cccc(C(=O)NCCO)c2=O)cc1,0
9,COC(=O)c1cc(S(=O)(=O)N(C)C2CN3CCC2CC3)ccc1C,0
10,CCOC(=O)C1CCCN1CC(=O)N1CCCC1,0
11,Cc1nc(CSCC(=O)Nc2cccc(C(=O)Nc3ccccc3)c2C)no1,0
12,O=C(CSc1ccc2c(c1)CCC2)NOC1CCCC1,0
13,CCc1cccc(Oc2ccc(CNC(C)C)cc2C)c1,0
14,CCN(CC1CCC1)c1ccc(F)cc1C(C)N,0
15,CC(C)CC(=O)N1Cc2ccccc2CC1C(=O)Nc1nnc(C(C)(C)C)s1,0
16,CCc1cc(F)c(OC)c(C2CC(=O)N(Cc3ccccc3)C2)c1O,0
17,CCOC(=O)N1CCN(C(=O)C2CC23CCN(Cc2ccc4c(c2)CCO4)CC3)CC1,0
18,Cc1cc(C)n(C2CCN(C(=O)c3ccc(N4CCCCC4)cc3)C2)n1,0
19,CC(C)(C)OC(=O)NC1CCN(c2c(F)cc3c(=O)c(C(=O)O)cn(C4CC4)c3c2Cl)C1,0
20,CC(=O)Nc1cccc(NC(=O)C2CCCN(C(=O)Cc3ccccc3)C2)c1,0
21,Cc1cc(C(=O)Nc2ccc3c(c2)OCO3)ccc1-n1cnnn1,0
22,O=C(O)c1ccc(Oc2ccccc2)s1,0
23,CC(=O)c1ccc(OCC(=O)N2CCC(Oc3cc(C)ccc3C)CC2)cc1,0
24,CC(=O)Nc1cccc(NC(=O)c2cc(NC(C)(C)C)nc(C)n2)c1,0
25,COC(=O)C(C)(C)NC(=O)c1cc(N)c(C)c(F)c1,0
26,CC(C)C(N)CCNc1nc2cc(F)ccc2o1,0
27,CCNc1cc(C)ncc1C(=O)NCCS(N)(=O)=O,0
28,O=C(NCc1cccc(F)c1)C1CCCN(c2cccnn2)C1,0
29,CC(C)(C)OC(=O)N1CCC2(CCN(CS(=O)[O-])CC2)C1,0
30,Cn1c(=NC(=O)Cc2ccc(Cl)s2)sc2cc(Cl)ccc21,0
31,CN(C(=O)C1COc2ccccc2O1)C1CCCN(c2cccnn2)C1,0
32,COc1ccccc1C1CNCCN1C(=O)c1cccc(CN2CCCC2)c1,0
33,Cc1c(Cl)cccc1NC(=O)CSc1nnc(CC(C)c2ccccc2)o1,0
34,CCNc1cc(C)ncc1C(=O)NCCc1ccccn1,0
