mid,smiles,ref_smiles,IsValid,QED,SAs,BBB,IsNovel,IsSuccess
1,CC(C)c1ccc(S(=O)(=O)N2CCC(C(=O)NCC3CCN(C(C)C)C3)CC2)cc1,0,True,0.71,2.68,0.9079035943233439,False,True
2,O=C1CCCN1c1cnn(C2CCN(c3nc4ccc(F)cc4o3)C2)c1,0,True,0.72,3.24,0.9919314350764712,False,True
3,NC(=O)c1ccc(N2CCCCC2)c(NCc2ccccc2)c1,0,True,0.89,1.83,0.9833258911615168,True,True
4,COc1ccccc1Oc1ccc(NS(=O)(=O)CC(C)C)cc1,0,True,0.83,1.92,0.860572596255993,False,True
5,CN(CC(C)(C)O)C(=O)c1cc(N)c(F)cc1F,0,True,0.81,2.57,0.9116935244771123,False,True
6,Cc1ccccc1C1C=C(c2ccc(O)cc2)Nc2nc3ccccc3n21,0,True,0.53,3.01,0.6192802894590768,True,False
7,NC(=O)C(C(=O)Nc1ccc(N2CCOCC2=O)cc1C(F)F)N(C1CC1)C1CC1,0,True,0.62,3.44,0.8002976328634525,True,True
8,CC(C)(C)c1ccc(C(=O)Cn2cccc(C(=O)NCCO)c2=O)cc1,0,True,0.77,2.17,0.028506296759912234,True,False
9,COC(=O)c1cc(S(=O)(=O)N(C)C2CN3CCC2CC3)ccc1C,0,True,0.77,3.63,0.7483908731417563,False,True
10,CCOC(=O)C1CCCN1CC(=O)N1CCCC1,0,True,0.69,2.45,0.9300715561987705,True,True
11,Cc1nc(CSCC(=O)Nc2cccc(C(=O)Nc3ccccc3)c2C)no1,0,True,0.63,2.13,0.9241581544685099,True,True
12,O=C(CSc1ccc2c(c1)CCC2)NOC1CCCC1,0,True,0.67,2.48,0.9958431431872815,True,True
13,CCc1cccc(Oc2ccc(CNC(C)C)cc2C)c1,0,True,0.82,1.85,0.9490090343374209,True,True
14,CCN(CC1CCC1)c1ccc(F)cc1C(C)N,0,True,0.87,2.77,0.9210530144439831,False,True
15,CC(C)CC(=O)N1Cc2ccccc2CC1C(=O)Nc1nnc(C(C)(C)C)s1,0,True,0.85,2.96,0.8485928242259904,False,True
16,CCc1cc(F)c(OC)c(C2CC(=O)N(Cc3ccccc3)C2)c1O,0,True,0.9,2.91,0.9890202936868573,True,True
17,CCOC(=O)N1CCN(C(=O)C2CC23CCN(Cc2ccc4c(c2)CCO4)CC3)CC1,0,True,0.74,3.45,0.9831064360696469,False,True
18,Cc1cc(C)n(C2CCN(C(=O)c3ccc(N4CCCCC4)cc3)C2)n1,0,True,0.85,2.64,0.9809081335876398,True,True
19,CC(C)(C)OC(=O)NC1CCN(c2c(F)cc3c(=O)c(C(=O)O)cn(C4CC4)c3c2Cl)C1,0,True,0.71,3.16,0.1270723264329586,True,False
20,CC(=O)Nc1cccc(NC(=O)C2CCCN(C(=O)Cc3ccccc3)C2)c1,0,True,0.84,2.31,0.8743068794014878,False,True
21,Cc1cc(C(=O)Nc2ccc3c(c2)OCO3)ccc1-n1cnnn1,0,True,0.79,2.17,0.9534418544120767,False,True
22,O=C(O)c1ccc(Oc2ccccc2)s1,0,True,0.86,2.04,0.8935216055297617,True,True
23,CC(=O)c1ccc(OCC(=O)N2CCC(Oc3cc(C)ccc3C)CC2)cc1,0,True,0.71,2.05,0.9431623411099245,True,True
24,CC(=O)Nc1cccc(NC(=O)c2cc(NC(C)(C)C)nc(C)n2)c1,0,True,0.79,2.28,0.9207372109091783,True,True
25,COC(=O)C(C)(C)NC(=O)c1cc(N)c(C)c(F)c1,0,True,0.64,2.36,0.9520076082396242,True,True
26,CC(C)C(N)CCNc1nc2cc(F)ccc2o1,0,True,0.86,2.98,0.9460441651449285,True,True
27,CCNc1cc(C)ncc1C(=O)NCCS(N)(=O)=O,0,True,0.67,2.41,0.8645845785029792,True,True
28,O=C(NCc1cccc(F)c1)C1CCCN(c2cccnn2)C1,0,True,0.94,2.55,0.9844075409781067,True,True
29,CC(C)(C)OC(=O)N1CCC2(CCN(CS(=O)[O-])CC2)C1,0,True,0.72,4.0,0.7539205658849866,True,True
30,Cn1c(=NC(=O)Cc2ccc(Cl)s2)sc2cc(Cl)ccc21,0,True,0.67,2.55,0.9654639863184651,False,True
31,CN(C(=O)C1COc2ccccc2O1)C1CCCN(c2cccnn2)C1,0,True,0.84,3.27,0.9864167506719763,True,True
32,COc1ccccc1C1CNCCN1C(=O)c1cccc(CN2CCCC2)c1,0,True,0.87,2.6,0.9845500936106673,True,True
33,Cc1c(Cl)cccc1NC(=O)CSc1nnc(CC(C)c2ccccc2)o1,0,True,0.56,2.64,0.9742536862826716,True,False
34,CCNc1cc(C)ncc1C(=O)NCCc1ccccn1,0,True,0.85,2.18,0.83400306814903,False,True
35,Cc1nn(-c2ccc(F)cc2)c(C)c1CC(=O)NCC(C)(O)c1ccco1,0,True,0.7,3.05,0.8180300357386975,True,True
36,CC(C)C(CO)Nc1ccnc2cc(C(F)(F)F)ccc12,0,True,0.9,2.79,0.8708559272604152,True,True
37,COCCN1CC2(CCCN(C(=O)c3ccc4ccccc4n3)C2)CCC1=O,0,True,0.82,3.37,0.9279206017780858,True,True
38,COc1cccc(C(=O)CN(C)Cc2ccc(C(C)(C)C)cc2)c1,0,True,0.74,1.89,0.7935852925997321,False,True
39,CCOc1ccc(N2C(=O)CC([NH2+]CCc3ccc(OC)c(OC)c3)C2=O)cc1,0,True,0.65,3.27,0.8924402039337551,True,True
40,CN(c1ccccn1)C1CCN(C(=O)c2nc3ccccc3s2)CC1,0,True,0.72,2.35,0.9671133661079916,False,True
41,COc1ccc(C=Nc2ccc(N3CCOCC3)cc2)cc1,0,True,0.81,1.99,0.9925394431008161,True,True
42,CC(C)(C)c1cc(C(C)(C)C)cc(S(=O)(=O)Nc2c(O)cccc2C(=O)NCCN)c1,0,True,0.51,2.54,0.13931363445349768,True,False
43,COc1ccc2ccccc2c1CNC(=O)C1CCCCC1(C)N,0,True,0.91,3.07,0.8935209112772974,False,True
44,O=C1C=CC(=C(c2ccccc2)c2ccc(S(=O)(=O)O)cc2)C=C1,0,True,0.87,2.3,0.8137143824580461,True,True
45,CCOc1ccc(Br)c(OCC(=O)N2CCN(c3ncccn3)CC2)c1,0,True,0.71,2.18,0.8879293829673925,True,True
46,CN(CCC1CCCCO1)C(=O)Nc1ccccc1Oc1ccccc1F,0,True,0.77,2.64,0.938057354956705,True,True
47,CC(C(=O)O)=C(C)C(=O)N(CCC#N)CC(C)C,0,True,0.73,2.84,0.7513893017510589,False,True
48,CCCCc1ccc(N2CCOC(C(F)(F)F)C2)cc1,0,True,0.83,2.69,0.9896849371978976,True,True
49,CC(C)N(CCNC(=O)Cn1[nH]c(=O)c2ccccc2c1=O)C(C)C,0,True,0.78,2.42,0.5152037230704006,False,True
50,COCCCN1C(=O)c2ccc(C(=O)Nc3cc(F)ccc3F)cc2C1=O,0,True,0.62,2.05,0.9830425629301482,False,True
51,CC1CCN(C(=O)c2ccc(Cl)cc2N)CC1C,0,True,0.79,2.87,0.984187484933133,False,True
52,O=C1CC2(CCN(C(=O)c3cccc(Cl)c3F)CC2)CN1,0,True,0.86,3.0,0.9860627022508517,False,True
53,Cc1ccc(C(=O)C(C)OC(=O)c2cc(-c3ccc(C)cc3)nc3c(C)c(Cl)ccc23)cc1,0,True,0.24,2.64,0.9611609225815325,True,False
54,Cc1ccc(CC(=O)NC2COC3C(O)COC23)s1,0,True,0.83,3.84,0.5369790428108969,True,True
55,CC(C)COc1ccc(S(=O)(=O)Nc2ccc(F)c(N3CCOCC3)c2)cc1,0,True,0.76,2.11,0.8652769148711383,True,True
56,CCOc1ccc(S(=O)(=O)N2CCN(c3oc(C=Cc4ccccc4)nc3C#N)CC2)cc1,0,True,0.53,2.5,0.7786739365043466,True,False
57,CC1(CNc2c(N)cccc2Cl)CCCO1,0,True,0.8,3.23,0.9625334928344377,True,True
58,CNC(=O)Cc1ccc(NC(=O)C2CCN(c3cccc(OC(F)(F)F)c3)C2=O)cc1,0,True,0.68,2.81,0.9421510046558983,True,True
59,CN(C(=O)C1CC(=O)N(C2CCCC2)C1)c1cccc2ccccc12,0,True,0.86,2.69,0.9957931284449169,False,True
60,Cc1nc(-c2cccc(C(=O)N3CCCC3c3ccccc3)c2)no1,0,True,0.73,2.48,0.9788134962224155,True,True
61,COC(=O)C=C1CC(c2ccccc2)N(C(=O)OCc2ccccc2)CCN1,0,True,0.65,2.92,0.6893776735734111,False,True
62,Cc1ccc(-c2cc(C(=O)O)c3cc(C)cc(C(C)(C)C)c3n2)s1,0,True,0.66,2.43,0.9462810929737048,True,True
63,CCN(CC)CCSc1cccc(OC)c1C(C)NC,0,True,0.71,2.91,0.9691109480823357,False,True
64,COc1ccc2c(O)c(OC(C)Cl)ccc2c1,0,True,0.85,2.68,0.8443012549530753,True,True
65,Cc1nc(-c2cccc(C(F)(F)F)c2)c(N)s1,0,True,0.85,2.28,0.9306544094142714,True,True
66,Clc1ccccc1CSc1nnc(-c2ccc3c(c2)CCO3)o1,0,True,0.65,2.23,0.9807017465323457,True,True
67,C=CC(=O)N1CCC(Oc2cc(C)c3ncnc(Nc4ccc(C(=O)N5CCN(C(C)=O)CC5)cc4)c3c2)C1,0,True,0.49,3.2,0.9244752912215477,True,False
68,CC1CCN(C(C)c2ccccc2Br)CCC1,0,True,0.77,2.74,0.9862903657247477,True,True
69,CCOc1ccc(NC(=O)CN2C(=O)SC(=Cc3ccc4c(c3)n(C)c(=O)n4C)C2=O)cc1,0,True,0.56,2.4,0.7083798415109148,True,False
70,Cn1c(SCCCCCO)nc2cc(Cl)ccc21,0,True,0.65,2.16,0.9232193733408356,False,True
71,CC(C)CCN1CC2(CCN(C(=O)CC3C=CS(=O)(=O)C3)CC2)OC1=O,0,True,0.72,3.98,0.6178768458130186,False,True
72,O=C(O)CC1SC(=NN=Cc2ccco2)N(c2ccc(F)cc2)C1=O,0,True,0.65,3.12,0.7390229593243809,False,True
73,CCOc1ccc(Br)c(OCC)c1C(C)CC,0,True,0.75,2.77,0.9729724080419325,True,True
74,COc1cc2c(cc1OC)CN(C(=O)C1CCCN(C(=O)c3ccc(Cl)cc3)C1)CC2,0,True,0.72,2.6,0.9506811959602373,False,True
75,Cc1ccc(N2CCCN(Cc3ccc(F)cc3C#N)CC2)nn1,0,True,0.87,2.31,0.9523603263503517,True,True
76,Oc1ccc(NCc2cnc(N3CCCC3)nc2)cc1,0,True,0.84,2.06,0.8686490785763982,True,True
77,Cc1cc(C(=O)O)cc(S(=O)(=O)N2CCCO2)c1C,0,True,0.91,2.74,0.656674526929543,True,True
78,O=C(C(Oc1ccccc1)c1ccccc1)N1CCN(c2ccccc2O)CC1,0,True,0.72,2.44,0.9675555619816544,True,True
79,CN(C)C(=O)CN1CCC(Nc2ncc3cc(-c4ccccc4Cl)c(=O)[nH]c3n2)CC1,0,True,0.63,2.62,0.4487576773905394,False,False
80,CCNC(Cc1sccc1Br)c1cc2ccccc2s1,0,True,0.62,3.01,0.9684782418137153,True,True
81,CC(C)COc1ccc(C(=O)NCc2nc(-c3ccccc3)no2)cc1,0,True,0.7,1.92,0.8749491201760664,True,True
82,CN(C(Cc1ccc(OS(=O)(=O)c2cccc3cnccc23)cc1)C(=O)N1CCN(c2ccccc2)CC1)S(=O)(=O)c1cccc2cnccc12,0,True,0.18,3.46,0.8948010436327642,True,False
83,CC1=C(C#N)C(c2cccc(-c3cccc(C)c3)c2)C2=C(CC(C)(C)CC2=O)N1,0,True,0.72,2.96,0.8470741463661582,True,True
84,CNC(=O)C(C)N(Cc1ccccc1F)C(=O)CN(c1ccc(Cl)cc1C)S(=O)(=O)c1ccc(C)cc1,0,True,0.43,3.0,0.889784402452626,True,False
85,NC(=O)NS(=O)(=O)c1ccc(NC(=O)Cc2ccc(Cl)cc2)cc1,0,True,0.75,1.89,0.8402525338059121,True,True
86,CCNC(=O)N1CCN(C2CCN(C)CC2)CC1,0,True,0.78,2.13,0.9714893131090182,False,True
87,CCC1=CSC2=NC(c3ccccc3)CN12,0,True,0.77,3.38,0.9117026468603331,True,True
88,Cc1cc(Br)c(C)c(O)c1C1(C(C)N)CC1,0,True,0.88,3.62,0.9401047388190253,True,True
89,Cn1ccnc1C(N)c1ccc(F)cc1I,0,True,0.86,3.06,0.9705433827846754,True,True
90,O=C(CN1C(=O)CCOc2ccccc21)OCCOc1ccccc1,0,True,0.6,2.03,0.9797981106746588,True,False
91,CC(C)c1ccc(CN2CCN3CCCC3C2)cc1,0,True,0.82,2.3,0.9657596538102505,False,True
92,Cn1cc(C(CN)Cc2ccc(C(F)(F)F)cc2)c2ccccc21,0,True,0.75,2.7,0.9916600768850806,False,True
93,CCOc1ccc(CCC(=O)Nc2cc(C(=O)O)ccc2OC)cc1,0,True,0.77,1.71,0.3706447642525211,True,False
94,CCCCN=c1nc(-c2ccc(OC)cc2)n(-c2ccccc2)s1,0,True,0.63,2.6,0.9389205209612985,True,True
95,O=C(O)CC1CN(C(=O)CNC(=O)c2ccc(C(F)(F)F)cc2)CCO1,0,True,0.81,2.66,0.603332616611433,False,True
96,CC(C)(C)OC(=O)NCC(=O)N1CCC(c2nc3ccccc3[nH]2)CC1,0,True,0.88,2.26,0.6107476664045801,False,True
