mid,smiles,ref_smiles,IsValid,QED,SAs,BBB,IsNovel,IsSuccess
1,CC(C)c1ccc(S(=O)(=O)C2CCC(C)(C)C2N)cc1,0,True,0.93,3.37,0.9719714183382123,False,True
2,CC(C)(CCCO)CNc1ccnc2c(N)cccc12,0,True,0.71,2.52,0.9110763226373122,False,True
3,COc1c(Cl)cc(C(=O)OCC(=O)NCc2ccccc2)cc1Cl,0,True,0.79,1.83,0.8906825783460085,True,True
4,CC(=O)Nc1cccc(Nc2nc(-c3ccccc3)cc(N3CCCCC3)n2)c1,0,True,0.66,2.08,0.9281269867125608,True,True
5,CC1CCCC(C)N1C(=O)COc1ccc(C(=O)NCC2(N3CCOCC3)CCSC2)cc1,0,True,0.65,3.64,0.8021315931714201,False,True
6,COc1ccc(C2C(=C(O)c3ccc4ccccc4c3)C(=O)C(=O)N2Cc2cccc(C)c2)cc1,0,True,0.23,2.59,0.7404525928758089,True,False
7,Cc1nc(CCC(=O)N(C)c2ccccc2)sc1C,0,True,0.86,2.18,0.9773441972542524,True,True
8,CCOC(=O)C1CCN(CC(=O)Nc2ccccc2OCC)CC1,0,True,0.78,1.82,0.8199716435678576,True,True
9,CCCCOC(=O)c1ccc(NC(=O)C2CCCN(S(=O)(=O)CC)C2)cc1,0,True,0.54,2.51,0.9197813169855962,True,False
10,Cc1nn(-c2ccccc2)cc1C(=O)NCC(O)c1ccsc1,0,True,0.76,2.72,0.9443520140418953,True,True
11,CC(=O)N1CCN(C(=O)c2cc(C3CC3)nn2-c2ccccc2)CC1,0,True,0.86,2.17,0.9582807144761638,False,True
12,O=C(CSc1nc2ccccc2o1)Nc1cccc(F)c1,0,True,0.75,1.89,0.9919311621901916,False,True
13,CCc1cccc(Oc2ccc(CNC(C)C)cc2C)c1,0,True,0.82,1.85,0.9490090343374209,True,True
14,Cc1cc(S(=O)(=O)NCCc2ccc(OCc3c(F)cccc3Cl)cc2)cc(C(=O)O)c1C,0,True,0.44,2.28,0.5710921323382945,True,False
15,CCC(C)C(=O)N1CCCC(C(=O)NC(C)c2nc(C)c(C(=O)O)s2)C1,0,True,0.79,3.4,0.042620856302439905,False,False
16,CCc1ccc(CN2CCC3(CC2)CC3C(=O)Nc2ccc3sc(C)nc3c2)o1,0,True,0.64,3.56,0.9612171368068092,False,True
17,Cc1cccc(Cn2cccc(C(=O)OCC(=O)N(Cc3ccc(C(F)(F)F)cc3)C3CC3)c2=O)c1,0,True,0.43,2.44,0.8141953945416733,True,False
18,Cc1cc(O)c(C(C)C)cc1N=C1NC(=O)SC1=Cc1ccc(Cl)cc1,0,True,0.68,2.95,0.6672368611202689,True,True
19,COc1cccc(CNC(=O)C2CCCN(c3nccn(C)c3=O)C2)c1,0,True,0.87,2.64,0.911386150676433,True,True
20,CC(=O)Nc1cccc(NC(=O)c2cc(NC(C)(C)C)nc(C)n2)c1,0,True,0.79,2.28,0.9207372109091783,True,True
21,COC(=O)CC(c1cc2c(cc1O)OCO2)c1cc2cc(OC)ccc2nc1N1CCOCC1,0,True,0.55,3.19,0.9250445983430455,True,False
22,CC(C)c1ccc2c(c1)CCC1C(C)(C(=O)O)CCCC21C,0,True,0.84,3.43,0.9764056544222202,True,True
23,N#Cc1ccc(Oc2ccc(O)cc2)c(Cl)c1,0,True,0.88,1.84,0.9379983634419217,True,True
24,COCCCN(C)C(=O)CNC(C)(C)C,0,True,0.67,2.3,0.9771669395484411,True,True
25,CC(NC(=O)c1cccc2c1N(Cc1ccc(C(N)=O)cc1)CC2)c1ccc(C(=O)O)cc1,0,True,0.52,2.69,0.7853539316198973,True,False
26,CC(C)C(N)C(C)(C)NCCCN,0,True,0.54,3.45,0.6933399627665559,True,False
27,CCN(CCO)C(=O)c1cc(N)c(Cl)c(Cl)c1,0,True,0.83,2.29,0.9269754776153339,True,True
28,O=c1cc(-c2ccccc2Cl)oc2cc(O)cc(O)c12,0,True,0.72,2.21,0.7640660225946001,True,True
29,CC(C)(C)OC(=O)N1CCC2(CCN(CS(=O)[O-])CC2)C1,0,True,0.72,4.0,0.7539205658849866,True,False
30,O=C(CSc1nc(-c2cccc(NC(=O)c3cnc[nH]3)c2)cs1)NC1CC[N+](O)(Cc2ccc(Cl)c(Cl)c2)CC1,0,True,0.14,3.26,0.27016096386965477,True,False
31,COc1ccc(C2C(=O)C(C)SC23CCCCC3)cc1,0,True,0.82,3.91,0.9197674368981877,False,True
32,CC(C)(C)OC(=O)NCC(=O)N1CCC(c2nc3ccccc3[nH]2)CC1,0,True,0.88,2.26,0.6107476664045801,False,True
33,CCc1cccc(NC(=O)CSc2nnc(-c3cccc(C)c3)o2)c1,0,True,0.67,2.0,0.9759083514533685,True,True
34,CC(C)(C)c1ccccc1-n1cc(COCc2cccnc2)nn1,0,True,0.72,2.4,0.9109397648961565,True,True
35,CCOC(=O)c1cc(Cc2ccccc2)sc1NC(=S)NCc1cc(C)n(C)n1,0,True,0.44,2.52,0.8981009640877194,True,False
36,COc1ccccc1Nc1ncc(-c2ccc3ncccc3c2)c(N)n1,0,True,0.58,2.17,0.868871988229911,True,False
37,Cc1cccc(C=C2SC(=NC(C)C)N(c3ccccc3)C2=O)c1,0,True,0.75,2.33,0.8765222331298299,True,True
38,COc1ccc(CN2CC3CN(C(=O)c4ccncc4)CC3C2=O)cc1,0,True,0.84,3.04,0.9870549216022635,True,True
39,COc1cccc(C(=O)c2sc(Cl)nc2C(F)F)c1OC,0,True,0.78,2.65,0.9607189697631379,True,True
40,CC(N)C1CCCCN1S(=O)(=O)c1ccc(Br)c(C(F)(F)F)c1,0,True,0.82,3.2,0.9574328649131608,True,True
41,COc1ccc(C=Nc2ccc(N3CCOCC3)cc2)cc1,0,True,0.81,1.99,0.9925394431008161,True,True
42,CN1CCCC(Nc2ccc(C#N)c3ccccc23)C1,0,True,0.91,2.59,0.9630760099560852,True,True
43,COc1ccc2ccccc2c1C=NNC(=O)c1cccc(C)c1,0,True,0.59,1.9,0.9671837032835078,True,False
44,O=C1C=CC(C(O)c2nccc3ccccc23)=CC1,0,True,0.89,3.34,0.8856433401772378,True,True
45,CCOc1ccc(Br)c(CC(C)CCS)c1,0,True,0.77,2.88,0.96360101527525,True,True
46,Nc1cc2ncoc2nc1C1CCOCC1,0,True,0.79,3.21,0.977654800745825,True,True
47,Cc1cc(C(=O)O)ccc1NC(=O)Cc1ccccc1[N+](=O)[O-],0,True,0.65,1.84,0.7949887254270585,False,True
48,CCCCNC(=O)C1CCN(C(=O)c2ccc(NC(=O)c3ccccc3Cl)cc2)CC1,0,True,0.63,1.9,0.8817514624562711,True,True
49,CC(C)(C)c1ccc(CCN2CCN(c3cccc(C(F)(F)F)c3)CC2)cc1,0,True,0.69,2.02,0.9644352249975449,True,True
50,COCCN(CCOC)c1cc(=O)[nH]c(C2CC2)n1,0,True,0.75,2.77,0.9644997559465619,True,True
51,Cc1c(C(=O)NC(C)c2ccccc2Cl)cnn1-c1ccccn1,0,True,0.79,2.52,0.976645882159826,True,True
52,CC1CCCC(C)N1C(=O)COc1ccc(C(=O)NCCc2ccc(Cl)cc2)cc1,0,True,0.71,2.75,0.9217347445647174,True,True
53,Cc1cc(NC(=O)C(C)NC(=O)C23CC4CC(CC(C4)C2)C3)ccc1Br,0,True,0.76,3.9,0.9699401616576797,True,True
54,O=C1CC(c2ccc(F)cc2)C12CCN(CC1CCCO1)CC2,0,True,0.86,3.69,0.9877685853563409,True,True
55,CCCCN(CCO)S(=O)(=O)c1ccc(Cl)c(N)c1Cl,0,True,0.75,2.5,0.7887025871684121,True,True
56,COc1c(C)c(C)c(C#N)c(OC)c1C,0,True,0.74,2.49,0.9272297502675787,True,True
57,CC(CCBr)c1ccccc1,0,True,0.67,2.36,0.9834640728141761,True,True
58,CNC(=O)NC(=O)C(C)NCC1CN(C)CCN1C,0,True,0.59,3.26,0.7065944290889948,True,False
59,Cc1cc(C(=O)NC2CCC(C(=O)O)C2)sc1C,0,True,0.88,2.97,0.8743004499767935,True,True
60,O=C(NC1CCN(Cc2ccc3c(n2)NCCC3)CC1)c1ccc(-c2cccc(F)c2)nc1,0,True,0.62,2.53,0.9110724425158626,False,True
61,CCOC(=O)CN1C(=O)SC(=Cc2ccccc2F)C1=O,0,True,0.63,2.11,0.9541452705648291,False,True
62,CC(C)(C)c1nnc(CNC(=O)C2CCCNC2C2CC2)s1,0,True,0.89,3.65,0.6621781040721881,False,True
63,CCN(CC)CCOc1ccc(NC(=O)C2CC(=O)N(c3ccc(C)cc3)C2)cc1,0,True,0.69,2.51,0.942094703580068,True,True
64,COc1ccc2c(c1O)-c1cccc3c1C(C2)N(CCOCCCl)CC3,0,True,0.62,3.13,0.9825395751809411,True,True
65,CC(C)(C)Oc1ccc(OC2CCCN(CCC(F)F)C2)cc1,0,True,0.77,2.84,0.9613279566206039,False,True
66,COc1cccc(-c2noc(CNC(=O)C3CCC(=O)N3)n2)c1,0,True,0.84,2.72,0.6749532891068171,True,True
67,C=CC(=O)C1CC1(C)COCc1ccccc1,0,True,0.7,3.41,0.9843518932185783,True,True
68,CC1(C)CC(OC2C=CC(c3ccc(C4(C(=O)O)CC4)cc3F)=CC2)CC(C)(C)C1,0,True,0.62,3.8,0.8639935942568323,False,True
69,COCCNC(=O)CN(CCc1cccc(Cl)c1)S(C)(=O)=O,0,True,0.67,2.16,0.9456178102381374,True,True
