mid,smiles,ref_smiles
1,COc1ccc2c(c1)CCN1Cc3cc(OC)c(OSOc4ccc(C)cc4)cc3CC21,0
2,Nc1cccc2c1CCC(NCCCCCc1cccs1)C2,0
3,COc1ccc2c(c1)CC(NCC1(SC)CC1)CC2,0
4,Cc1ncoc1-c1nnc(SCCCN2CC3CC3(c3cccc(C(F)(F)F)n3)C2)n1C,0
5,CCCCN(CCC)C1CCc2cccc(-c3ncn[nH]3)c2C1,0
6,CN1CCc2cc(N)ccc2C(c2ccccc2)C1,0
7,CN(C)Cc1cncc(-c2ccc3[nH]cc(CCCCN4CCN(c5ncccn5)CC4)c3c2)c1,0
8,Clc1cccc(N2CCN(CCCCC3NCC4CCCC43)CC2)c1Cl,0
9,CC(C)(C)c1nc(N2CCN(CCCCNC(=O)N3CCc4c([nH]c5ccccc45)C3)CC2)cc(C(F)(F)F)n1,0
10,CCCN(CCC1=CC1)C1COc2cccc(N)c2C1,0
11,Fc1ccc(N2CCN(CCC3OCCc4cc(F)ccc43)CC2)cc1,0
12,c1ccc2c(c1)CCN(CC1CCCN1CCC1)C2,0
13,COc1cc2c3c(c1)N(C)Cc1ccccc1C3C2,0
14,CCCCN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1,0
15,CCOc1ccccc1N1CCN(CCC(O)Cn2ccc(-c3ccccc3)n2)CC1,0
16,Nc1nc(-c2ccc(CCN3CCC(c4cccc(Cl)c4Cl)CC3)cc2)cs1,0
17,COc1ccc(C2CC2CN2CCN(c3ccc(Cl)cc3Cl)CC2)cc1,0
18,Fc1ccc2c(C3CCN(CCN4CCc5sccc5C4)CC3)noc2c1,0
19,O=C(NC1CCC(CCN2CCN(c3cccc(Cl)c3Cl)CC2)CC1)c1cccnc1,0
20,CNC(=O)c1cccc(OCCCCN2CCN(c3cccc4sccc34)CC2)c1,0
21,COc1ccc2c(c1)CCN1Cc3c(ccc(OCc4ccccc4)c3OS(=O)(=O)c3ccccc3)CC21,0
22,COc1ccc2[nH]cc(CCCN3CCC(c4cccc5sccc45)CC3)c2c1,0
23,COc1ccc2c(c1O)-c1cccc3c1C(C2)N(CCOCCCl)CC3,0
24,O=C1CCc2cc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc3c2N1CCC3,0
25,O=C1c2cc(CCN3CCN(c4nsc5ccccc45)CC3)c(Cl)cc2CN1Cc1ccccc1,0
26,Cc1ccc(C(=O)NCCCCN2CCN(c3cccc(Cl)c3Cl)CC2)cc1,0
27,CCOC(=O)CN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1,0
28,CCOc1cc2c(cc1OCC)C1Cc3ccc(C(C)=O)c(OC)c3CN1CC2,0
29,COc1ccccc1N1CCN(CCN2C(=O)NC3(CCc4ccccc4C3)C2=O)CC1,0
30,c1ccc(-c2ccccc2N2CCN(CCc3c[nH]c4ncccc34)CC2)nc1,0
31,Cn1cccc1C(=O)NCCCCN1CCN(c2nsc3ccccc23)CC1,0
32,Cc1cccc(N2CCN(CCCCn3ncc(=O)[nH]c3=O)CC2)c1,0
33,Cc1c(N2CCN(CCC3CCC(NC(=O)N(C)C)CC3)CC2)cccc1N1CCC(c2c[nH]c3ccccc23)CC1,0
34,C=CC=C(C=CC)OCCN1CCN(c2cccc3sccc23)CC1,0
35,CCCN(CCc1ccccc1)C1CCc2c(O)cccc2C1C,0
36,CCCN(Cc1ccccc1)C1CCc2c(ccc3[nH]cc(CC)c23)C1,0
37,c1ccc2c(c1)CN(CCCCCN1CCN(c3ccncc3)CC1)C2,0
38,O=C(Nc1ccccc1CCN1CCN(c2nsc3ccccc23)CC1)c1ccc(Cl)cc1,0
39,c1ccc2c(c1)CCN2CCCN1CCN(c2ccncc2)CC1,0
40,O=S(=O)(NCCCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)c(F)c1,0
41,Clc1ccc(COC(Cn2ccnc2)c2ccc(Cl)cc2Cl)c(Cl)c1,0
42,CN(C)CCC=C1c2ccccc2Sc2ccc(Cl)cc21,0
43,COc1ccccc1N1CCN(CCCOc2ccccc2C2CC(C)(C)CC(C)(C)C2)CC1,0
44,O=C(O)C1(CCCCN2CCN(c3nccc4ccccc34)CC2)c2ccccc2Oc2ccccc21,0
45,COc1ccccc1N1CCN(CCNC(=O)Oc2ccccc2)CC1,0
46,O=C1c2ccc([N+](=O)[O-])cc2C(=O)N1CCN1CC=C(c2c[nH]c3ccc(Cl)cc23)CC1,0
47,COc1ccccc1N1CCN(CCCNS(=O)(=O)Cc2ccccc2C)CC1,0
48,O=c1ccc2ccc(OCCCN3CCC(c4noc5cc(F)ccc45)CC3)cc2o1,0
49,Cc1nc(CN2CCC(c3ccc(C(F)(F)F)cc3)CC2)c(C)n1C(C)C,0
50,Cc1ccc(OCCNCCCOc2ccccc2)cc1,0
