mid,smiles,ref_smiles
1,COc1ccc2c(c1)CC(NCC(C)O)CC2,0
2,Nc1cccc2c1CCC(NCCc1ccsc1)C2,0
3,COc1ccc2c(c1)CC(NCC1(SC)CC1)CC2,0
4,Cc1nc2n(c(=O)c1CCN1CCC(c3noc4cc(F)ccc34)CC1)CCCC2O,0
5,CCCCN(CCC)C1CCC2=C(CCCC2=NO)C1,0
6,CN1CCCC1CCOC(C)(c1ccccc1)c1ccc(Cl)cc1,0
7,CN(C)C(=O)NC1CCC(CCN2CCc3ccccc3C2)CC1,0
8,Clc1cccc(N2CCN(CCc3cc4ccccc4o3)CC2)c1Cl,0
9,CC(C)(C)c1nc(N2CCN(CCCCNC(=O)N3CCOCC3)CC2)cc(C(F)(F)F)n1,0
10,CCCN1CCC(c2ccc(C(F)(F)F)cc2)CC1,0
11,Fc1cnc(N2CCN(CCC3OCCc4cc(F)ccc43)CC2)nc1,0
12,c1ccc2c(c1)CCN(CC1CC1)C1CCN(CC3CC3)CC21,0
13,COc1cc2c3c(c1)c1c(n3CCc3cccnc3)CCN(C)C1C2,0
14,CCCCN1CCN(c2cccc3sccc23)CC1,0
15,CCCN1CCN(c2ccc(Cl)c(Cl)c2)CC1,0
16,NCCCCN1CCN(c2ccc3c(c2)OCCO3)CC1,0
17,COc1ccc(N2CCN(CCC3OCCc4cc(-c5ncno5)ccc43)CC2)cc1,0
18,Fc1ccc(OCC2CCC3CN(c4ccc(F)cc4)CCN3C2)cc1,0
19,O=C(NC1CCC(CCN2CCN(c3cccc(Cl)c3Cl)CC2)CC1)C(F)F,0
20,CNC(=O)NC1CCC(CCN2CCN(c3cccc(F)c3F)CC2)CC1,0
21,O=C(NCCCCN1CCN(c2ccccc2)CC1)c1ccc(F)cc1,0
22,c1ccc(C2=NCC(CN3CCN(c4ccccc4)CC3)N2)cc1,0
23,C1=Cc2cnc(OCCCN3CCN(c4cccc5c4OCC5)CC3)nc2NC1,0
24,O=C1CCc2ccc(COC3CCN(CC(=O)O)CC3)cc2N1,0
25,Oc1ccc2c(c1)C(O)C(CCN1CCC(c3noc4cc(F)ccc34)CC1)CC2,0
26,COc1ccc2c(c1O)-c1cccc3c1C(C2)N(C)CC3,0
27,CCCN(CCC)C1CCc2c(ccc(O)c2CN)C1,0
28,O=c1[nH]c2cc(C#CCCN3CCN(c4ccccc4)CC3)ccc2o1,0
29,OCCOCCN1CCN(C2=Nc3ccccc3Sc3ccccc32)CC1,0
30,CCCN1CC(COC)CC2c3cccc4[nH]cc(c34)CC21,0
31,CC1CN(CCCN2c3ccccc3Sc3cccc(Cl)c32)CC(C)O1,0
32,CCCNC1CCc2c(N)cccc2C1,0
33,CN1CCCC1CCOC(C)(c1ccccc1)c1ccc(Cl)cc1,0
34,CCCN1CCC(c2cccc(O)c2)CC1,0
35,Cc1ccc(CN2CCN(CC(=O)N3c4ccccc4CC3CO)CC2)cc1F,0
36,CC(C)(C)OC(=O)NC1CCC(CCN2CCN(c3cc(C#N)cc(C(F)(F)F)c3)CC2)CC1,0
37,O=C1CCc2ccccc2N1CCCN1CCC2(CC1)C(=O)NCN2c1ccccc1,0
38,Cc1cc2c(s1)Nc1ccccc1N=C2N1CCN(C)CC1,0
39,COc1ccc(N2CCN(CCC3OCCc4cc(C(N)=O)ccc43)CC2)cc1,0
40,CCCN1CCC2Cc3c(ccc(O)c3O)CC21,0
41,Cc1cccc(N2CCN(CCCCNC(=O)c3ccc(Cl)cc3F)CC2)c1,0
42,O=S(=O)(NC1CCN(CCCc2noc3cc(F)ccc23)C1)c1ccc2ccccc2c1,0
43,CN1CCN(C2=Nc3ccccc3Oc3ccc(O)cc32)CC1,0
44,CCCN(CCC)C1CCc2c(ccc3c2OC(F)(F)O3)C1,0
45,Clc1cccc2c1CC2CCN1CCN(c2cccc3c2OCCO3)CC1,0
46,N#Cc1cccnc1N1CCN(CCc2cc(F)c3c(c2)N(Cc2cccc(F)c2)C(=O)CO3)CC1,0
47,O=C(CC1CCC(O)CC1)NC1CCC(CCN2CCN(c3nccc4c3OCC4)CC2)CC1,0
48,Cc1cnc2n1CCN(CCCN1CCN(c3ccccc3Cl)CC1)C2=O,0
49,CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21,0
50,O=C1CC2(CCCC2)CC(=O)N1CCN1CCN(c2cc(Cl)ccc2Cl)CC1,0
51,COc1cccc2c1CCC(NC1CCOC1)(c1ccc(Cl)cc1)C2,0
52,ClCCN1CCN(c2ncccn2)CC1,0
53,O=C1NCN(c2ccccc2)C12CCN(CCc1ccc3c(c1)-n1cccc1C=CO3)CC2,0
54,COc1ccc2cc3[n+](cc2c1OC)CCc1cc2c(cc1-3)OCO2,0
55,COc1ccccc1N1CCN(CCNC(=O)c2ccc3ccccc3n2)CC1,0
56,COc1ccc2c(c1)CC(NCCC1CC1)CC2,0
57,Cc1ccccc1N1CCN(CCCOc2cccc3c2CCC(=O)N3)CC1,0
58,O=C(CCCN1CCN(c2ccccc2)CC1)c1ccc(Cl)cc1,0
59,CCCN1CCC(c2ccc(N3CCOCC3)cc2)C1,0
60,O=C1c2ccccc2C(=O)N1CCCN1CC=C(c2ccc(F)cc2)CC1,0
61,Cc1ccccc1N1CCN(CCC2CN3CCCC3O2)CC1,0
62,CC1(C)c2cc(CCN3CCN(c4nsc5ccccc45)CC3)cc3c2NC1O3,0
63,CCCN1CCC2Cc3c(ccc(O)c3OC)CC21,0
64,CCCN1CCc2cccc3c2C1Cc1ccc(O)c(O)c1-3,0
65,O=c1[nH]c2cccc(N3CCN(Cc4cccc(-c5ccccc5)c4)CC3)c2o1,0
66,CCCN1CCN(c2ccc(Cl)c(Cl)c2Cl)CC1,0
67,Cc1cccc(C2CNCCc3c2cc(O)c(O)c3Cl)c1,0
68,OCCCCN1CCN(c2ncc(F)cn2)CC1,0
69,CN1CCN(C2Cc3ccccc3Sc3ccccc32)CC1,0
70,O=C1CCC2=C1c1ccccc1OCCN(CCCCl)C2,0
71,COc1ccc2c(c1)C(O)C(CCN1CCC(c3noc4cc(F)ccc34)CC1)CC2,0
72,CCCN(CCC1(O)CCc2ccccc2C1)C1CCc2c(O)cccc2C1,0
73,O=C(Nc1ccccc1)NC1CCC(CCN2CCN(c3nsc4ccccc34)CC2)CC1,0
74,CC(C)(C)OC(=O)C1(c2ccc(Cl)cc2)CCN(CCCN)CC1,0
