mid,smiles,ref_smiles,IsValid,QED,SAs,DRD2,IsNovel,IsSuccess
1,COc1ccc2c(c1)CC(NCC(C)O)CC2,0,True,0.83,2.87,0.53,False,True
2,Nc1cccc2c1CCC(NCCc1ccsc1)C2,0,True,0.84,2.84,0.66,False,True
3,COc1ccc2c(c1)CC(NCC1(SC)CC1)CC2,0,True,0.89,3.15,0.56,False,True
4,Cc1nc2n(c(=O)c1CCN1CCC(c3noc4cc(F)ccc34)CC1)CCCC2O,0,True,0.69,3.32,0.68,False,True
5,CCCCN(CCC)C1CCC2=C(CCCC2=NO)C1,0,True,0.58,3.51,0.69,False,False
6,CN1CCCC1CCOC(C)(c1ccccc1)c1ccc(Cl)cc1,0,True,0.72,3.01,0.64,False,True
7,CN(C)C1CC2c3cccc(O)c3CCC2N(C)C1,0,True,0.84,3.62,0.46,True,False
8,Fc1ccc(N2CCN(Cc3cc4cc(Cl)ccc4[nH]3)CC2)cc1,0,True,0.77,2.06,0.54,True,True
9,CCCN(CCC)C1CCc2c(N)cccc2C1,0,True,0.81,2.79,0.85,False,True
10,CCCN1CCC(c2ccc(C(F)(F)F)cc2)CC1,0,True,0.79,1.9,0.75,False,True
11,Fc1ccc(N2CCN(CCC3OCCc4cc(F)ccc43)CC2)cc1,0,True,0.83,2.69,0.68,False,True
12,c1ccc2c(c1)CCN(CC1CC1)C1CCc3sc(-c4ccncc4)cc3C21,0,True,0.59,3.4,0.25,True,False
13,COc1cc2c3c(c1)c1c(n3CCc3cccnc3)CCN(C)C1C2,0,True,0.73,4.16,0.33,True,False
14,CCCCN1CCN(c2cccc3sccc23)CC1,0,True,0.84,1.99,0.62,False,True
15,CCCN1CCN(c2ccc(Cl)c(Cl)c2)CC1,0,True,0.83,1.75,0.59,False,True
16,NCCCCN1CCN(c2ccc3c(c2)OCCO3)CC1,0,True,0.83,2.05,0.55,True,True
17,COc1ccc(N2CCN(CCC3OCCc4cc(-c5ncno5)ccc43)CC2)cc1,0,True,0.6,3.11,0.64,False,False
18,Fc1ccc(OCC2CCC3CN(c4ccc(F)cc4)CCN3C2)cc1,0,True,0.82,2.77,0.82,False,True
19,O=C(NC1CCC(CCN2CCN(c3cccc(Cl)c3Cl)CC2)CC1)C(F)F,0,True,0.72,2.43,0.95,True,True
20,CNC(=O)NC1CCC(CCN2CCN(c3cccc(F)c3F)CC2)CC1,0,True,0.83,2.34,0.64,True,True
21,COc1cc2c(cc1OCC(F)(F)F)CC1c3ccc(OC)c(O)c3CCN1C2,0,True,0.83,3.12,0.35,True,False
22,O=C1c2ccccc2C(=O)N1CCCN1CC=C(c2c[nH]c3ccccc23)CC1,0,True,0.68,2.36,0.76,False,True
23,O=C(NCCCCN1CCN(c2cccc(Cl)c2Cl)CC1)C1=Cc2ccccc2OC1,0,True,0.62,2.42,0.84,False,True
24,O=C1N(CCN2CCC(C(F)(F)F)CC2)CCN1c1ccc(Cl)c(F)c1,0,True,0.72,2.54,0.88,True,True
25,O=S(=O)(NCCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccccc1Cl,0,True,0.64,2.27,0.55,False,True
26,CCCN1CCN(c2ccc3c(c2)CCCC3)CC1,0,True,0.82,1.92,0.43,True,False
27,CN1CCc2ccccc2Cc2ccc(O)cc2CC1,0,True,0.79,2.49,1.0,False,True
28,Cc1ccc(SCCCN2CCC(O)(c3ccc(C#N)cc3)CC2)cc1,0,True,0.61,2.34,0.47,True,False
29,CCCN(CCCCO)C1CCc2c(N)cccc2C1,0,True,0.59,2.88,0.81,True,False
30,COc1ccccc1N1CCN(CCCCOc2ccc3c(n2)NC(=O)CC3)CC1,0,True,0.68,2.4,0.88,False,True
31,Nc1cccc2c1CCC(NCCc1ccccc1)C2,0,True,0.84,2.45,0.64,False,True
32,COc1ccccc1N1CCN(CCNC(=O)C2CCCc3c(OC)cccc32)CC1,0,True,0.74,2.69,0.53,False,True
33,COc1ccccc1N1CCN(CCCN2C(=O)Cc3cc(F)ccc32)CC1,0,True,0.77,2.17,0.61,True,True
34,CCCC1(c2ccc(O)c(Cl)c2)CC2CCC(C1)N2C,0,True,0.9,4.17,0.12,True,False
35,Oc1cc2c(cc1O)C(COc1ccc(Cl)cc1)NCC2,0,True,0.76,2.8,0.52,False,True
36,O=C1CCc2ccc(OCCCN3CCN(c4ccc(Cl)c(Cl)c4Cl)CC3)cc2N1,0,True,0.47,2.45,0.78,True,False
37,COc1cc2c3c(c1OC)-c1c(ccc(OC)c1O)CC3N(C)CC2,0,True,0.93,3.08,0.51,True,True
38,O=C1c2cccc3cccc(c23)N1CCCCCN1CCN(c2ccccn2)CC1,0,True,0.56,2.22,0.76,True,False
39,CC1=C(C(C)C)N(C)c2ccc(CCN3CCN(c4nsc5ccccc45)CC3)cc21,0,True,0.41,2.63,0.61,True,False
40,O=C1CCc2ccc(OCCCN3CCC(c4noc5ccc(F)cc45)CC3)nc2N1,0,True,0.6,2.78,0.66,True,False
41,Cc1ccc(CNCC2(F)CCN(C(=O)c3ccc(F)c(Cl)c3)CC2)nc1,0,True,0.84,2.55,0.76,False,True
42,CCCN(CCN1CCN(c2ccccc2OC)CC1)C1CCc2ccc(O)cc2C1,0,True,0.7,2.84,0.9,True,True
43,Cc1ccc2c(c1)c1c(n2CCc2ccc(C)nc2)CCN(C)C1,0,True,0.73,2.39,0.68,False,True
44,CCCN1CCc2cccc3c2C1Cc1ccc2c(c1-3)OCO2,0,True,0.84,3.08,0.75,False,True
45,COc1ccc(N2CCN(CCCCC3(C)OC=C(c4ccccc4)O3)CC2)cc1,0,True,0.59,3.0,0.62,True,False
46,c1ccc(N2CCN(Cc3cn4ccccc4n3)CC2)cc1,0,True,0.74,1.99,0.28,True,False
47,COc1ccc(C2CC(=O)c3c(O)cc(OCCCN4CCN(c5ccccc5OC)CC4)cc3O2)cc1,0,True,0.41,2.94,0.68,False,False
48,COc1cccc2c1CCC(C)(OC)C2,0,True,0.74,2.95,0.25,True,False
49,CN1CCc2ccccc2Cc2ccccc2CC1,0,True,0.69,2.29,0.94,False,True
50,CCCN(Cc1ccsc1)C1CCc2c(cccc2OC)C1,0,True,0.78,2.84,0.97,True,True
51,CCN1CCCC1CNC(=O)c1c(OC)ccc(I)c1OC,0,True,0.72,2.89,0.86,False,True
52,COc1ccccc1N1CCN(CCCOc2ccc3c(c2)CCC(=O)N3)CC1,0,True,0.73,2.16,0.83,True,True
53,NCCCN1CCN(c2ccccc2)CC1,0,True,0.82,1.63,0.48,True,False
54,COc1ccc2c(c1)CC(NCCc1cccnc1)CC2,0,True,0.92,2.52,0.59,True,True
55,Cc1nc2n(c(=O)c1CCN1CCC(c3noc4cc(F)ccc34)CC1)CCCC2O,0,True,0.69,3.32,0.68,False,True
56,CN1CCCC1CCOC(C)(c1ccccc1)c1ccc(Cl)cc1,0,True,0.72,3.01,0.64,False,True
57,CCCN1CCc2cccc3c2C1Cc1ccc(O)c(O)c1-3,0,True,0.83,2.98,0.86,False,True
58,COc1ccc2c(c1)CC(NCCC(C)SC)CC2,0,True,0.86,3.19,0.63,False,True
59,CCCN(CCC)C1COc2c(cccc2-c2ccco2)C1,0,True,0.79,3.04,0.78,True,True
60,CC(C)C(=O)Nc1cccc(C2CCN(Cc3ccc4c(c3)CC(=O)N4)CC2)c1,0,True,0.8,2.29,0.49,True,False
61,OCCN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1,0,True,0.73,2.42,0.81,False,True
62,Fc1ccc2[nH]cc(CCCN3CCN(c4ccc(C(F)(F)F)cc4)CC3)c2c1,0,True,0.6,2.2,0.68,True,False
63,CCCN(CCC)C1CCc2cc(C=O)c(Cl)cc2C1,0,True,0.74,3.04,0.72,True,True
64,Fc1ccc2[nH]cc(CCCN3CCN(c4ccccc4OC(F)F)CC3)c2c1,0,True,0.62,2.28,0.76,True,True
65,O=C1c2ccccc2C(=O)N1CCCCN1CCN(C2=CC=S(c3ccccc3)N2c2ccccc2)CC1,0,True,0.23,3.52,0.54,True,False
66,N#Cc1ccc2[nH]cc(CCCCN3CCN(c4ccc(C(=O)O)cc4)CC3)c2c1,0,True,0.59,2.25,0.6,True,False
67,CC(C)(C)c1nc(C2CC2)cc(N2CCN(CCC3CCC(NC=O)CC3)CC2)n1,0,True,0.69,2.85,0.64,True,True
68,CN1CCCC1CCOC(C)(c1ccccc1)c1ccc(Cl)cc1,0,True,0.72,3.01,0.64,False,True
69,Cc1ccc2c(c1)c1c(n2CCc2ccc(C)nc2)CCN(C)C1,0,True,0.73,2.39,0.68,False,True
70,COc1cccc(C2CCCN(CCCc3ccccc3)C2)c1,0,True,0.78,2.23,0.56,False,True
71,c1ccc(N2CCN(CCCCOc3ccc4cn[nH]c4c3)CC2)nc1,0,True,0.66,2.21,0.75,False,True
72,CN1CCc2cccc3c2C1Cc1ccc(O)c(O)c1-3,0,True,0.72,2.96,0.92,False,True
73,Cc1ccc(CNCC2(F)CCN(C(=O)c3ccc(Cl)c(F)c3)CC2)nc1,0,True,0.84,2.57,0.64,False,True
74,NCCCCN1CCCN(c2cccc3[nH]ccc23)CC1,0,True,0.83,2.15,0.61,True,True
75,Cn1c(CN2CCC(c3ccc(C(F)(F)F)cc3)CC2)nc2ccc(Cl)cc21,0,True,0.56,2.26,0.72,True,False
76,O=S(=O)(NCCCN1CCN(c2cccc3[nH]ccc23)CC1)c1cccc2ccccc12,0,True,0.42,2.29,0.57,True,False
77,Cc1ccccc1C=C1c2cc(O)c(Cl)cc2CCN1C,0,True,0.85,2.61,0.16,True,False
78,O=C1c2ccccc2C(=O)N1CCN1CCC(c2c[nH]c3cc(F)ccc23)CC1,0,True,0.69,2.3,0.62,False,True
79,Cn1ccnc1SCCCN1CCN(c2cccc3c2OCCO3)CC1,0,True,0.57,2.48,0.48,True,False
80,CCCN1CCc2cccc3c2C1Cc1cccc(O)c1-3,0,True,0.9,2.85,0.86,False,True
81,CCCN1CCCC2Cc3c(ccc(O)c3O)CC21,0,True,0.8,3.27,0.71,False,True
82,O=C1CCCc2sc(C(=O)CCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,0,True,0.6,2.64,0.85,True,False
83,CCN1CCCC1CNC(=O)c1c(OC)ccc(Cl)c1O,0,True,0.88,2.74,0.85,False,True
84,Cc1cc2c(cc1C)C(N1CCN(C)CC1)=Nc1ccccc1O2,0,True,0.74,2.38,0.62,True,True
85,COc1cc2c3c(c1)-c1c(O)cccc1CC3N(CCN(C)C)CC2,0,True,0.93,3.03,0.75,True,True
86,CN1CCN(C2=Nc3cc(Cl)ccc3Oc3ccccc32)CC1,0,True,0.74,2.3,0.88,False,True
87,Oc1cc2c(cc1O)C(COc1ccc(Cl)cc1)NCC2,0,True,0.76,2.8,0.52,False,True
88,O=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,0,True,0.61,2.34,0.96,False,True
89,Oc1ccc2c(c1)C1CC(Cl)CN(CCc3ccccc3)C1CC2,0,True,0.84,3.37,0.33,True,False
90,COc1ccc2c(c1)CCN1Cc3cc(OC)c(OC)cc3CC21,0,True,0.87,2.66,0.67,False,True
91,COc1ccc2c(c1)CC(NCCCC1CC1)CC2,0,True,0.79,2.58,0.57,False,True
92,O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,0,True,0.76,2.12,0.52,False,True
93,CCCN(C(C)C)C1CCc2cccc(N)c2C1C,0,True,0.83,3.49,0.64,True,True
94,O=C1NCN(c2ccccc2)C12CCN(CCc1ccc(F)cc1F)CC2,0,True,0.9,2.86,0.72,True,True
95,CN1CCc2ccc(O)cc2C(c2ccc(Cl)cc2)C1,0,True,0.87,2.54,0.6,True,True
96,CCCN1CC(Cn2cccn2)OC2Cc3c(O)cccc3CC21,0,True,0.94,3.81,0.87,False,True
97,CCN(CC)C(=S)SSC(=S)N(CC)CC,0,True,0.57,3.12,0.61,False,False
98,COc1ccccc1N1CCN(CCCCCc2ccc(F)cc2F)CC1,0,True,0.63,1.97,0.78,True,True
99,CCCN(CCC)C1CCc2c(O)cccc2C1C,0,True,0.87,3.27,0.55,False,True
100,C#CCN(C)C1CCc2ccccc2C1,0,True,0.66,2.91,0.33,True,False
101,CN1CCCC(CN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)C1,0,True,0.67,2.88,0.87,False,True
102,O=C1c2cccc3cccc(c23)C(=O)N1CCCCN1CCN(c2cccc(C(F)(F)F)c2)CC1,0,True,0.36,2.33,0.65,True,False
103,CCCN(CCC)C1CCc2ccc(NC)cc2C1,0,True,0.84,2.78,0.79,False,True
104,OCCCN1CCN(c2cccc3ccccc23)CC1,0,True,0.92,1.77,0.6,True,True
105,O=C1N(CCCN2CCC3(CCN(Cc4ccc(Cl)c(Cl)c4)CC3)CC2)CCN1c1ccccc1,0,True,0.45,2.98,0.3,True,False
106,Cc1cc(CCN2CCC(c3c[nH]c4ccc(F)cc34)CC2)n[nH]1,0,True,0.77,2.52,0.6,False,True
