mid,smiles,ref_smiles
1,Cc1ccc(S(=O)(=O)OCC(O)C[N+]2(C)CC(O)C2)cc1,0
2,O=C(O)CC1(NC(=O)C2CC(=O)Nc3ccccc32)CCC1,0
3,C=CCN1C(=NC(=O)CCCC)SC2CS(=O)(=O)CC21,0
4,CCc1ccc(C(=O)N2CCOC(CNC)C2)o1,0
5,CC1CCCCN1S(=O)(=O)Nc1ccc(C(=O)O)nc1,0
6,Cc1ccc(S(=O)(=O)N2CCOC(C(=O)N(C)C3CCCCC3)C2)cc1,0
7,Cc1ccc(OCC(=O)N2CCC(C(O)c3ccccc3)CC2)c(C)c1,0
8,CC(c1ccccc1)N1CC(=O)N2CC(NC(=O)CCc3ccccc3)CC2CO1,0
9,C#CCOC(=O)N1CCC(Nc2c(Cl)cnc3[nH]ccc23)C1,0
10,O=S1(=O)CC(O)C(N2CCn3cnnc3C2)C1,0
11,COc1cc2c(cc1OC)C1C(COC(=O)c3ccccc3)CSC(=Nc3ccccc3)N1CC2,0
12,O=C1NC(=O)C2(CCCCCC2)C(=O)N1Cc1ccccc1,0
13,O=S(=O)(NCC(O)c1ccc(-c2cccs2)s1)c1cccc2ccccc12,0
14,C=CC(=O)Nc1cccc(C(=O)Nc2c[n+](C(C)(C)C)no2)c1,0
15,COC(=O)CC1CCCCN1c1c(N)cccc1C(=O)N(C)C,0
16,Cc1nc(CNC(=O)C(N)CCS(C)(=O)=O)sc1C(=O)O,0
17,CC1(C)OC(CCCCCCCCC(F)=CI)OC1(C)C,0
18,CSc1ccccc1NC(=O)C[NH+](C)CC(=O)Nc1ccccc1,0
19,NC(=NCc1ccccc1S(=O)(=O)N1CCCCC1)NC1CCCC1,0
20,Cc1cc(Nc2c(C(=O)O)cc(C(=O)O)c(OC3CC3)c2C)ccc1Cl,0
21,O=S(=O)(O)CCOc1ccccc1-c1ccccc1,0
22,CCOC(=O)c1c(NC(=O)COC(=O)c2cccc(S(C)(=O)=O)c2)sc2c1CCCC2,0
23,CC(=O)N(C)C(CO)c1c[nH]c2ccccc12,0
24,C=CCN1C(=NC(=O)Cc2cccc(C)c2)SC2CS(=O)(=O)CC21,0
25,COC(=O)c1cc(NC(=O)C2CCC(C(=O)O)C2)ccc1C,0
26,CC(C)CCNc1ncc(S(=O)(=O)c2ccc(S(C)(=O)=O)cc2)s1,0
27,Cc1cccc(C)c1NC(=O)CSc1nc(Cl)cc(N2CCOCC2)n1,0
28,O=S(=O)(c1csc2ccccc12)N1CCN(CC(O)COc2ccccc2)CC1,0
29,COc1cccc(C(CNC(=O)c2ccc(C)c(S(=O)(=O)N3CCCC3)c2)N(C)C)c1,0
30,C[N+]12CCc3c([nH]c4ccccc34)C1c1ccccc1C2,0
31,Cc1ccc(S(=O)(=O)N2CCN(Cc3ccc(C(=O)Nc4cccnc4)cc3C(=O)O)CC2)cc1,0
32,O=C(O)CC1(NC(=O)c2cc(Br)c[nH]2)CCCCC1,0
33,CCc1c(C(=O)c2ccc(OC)cc2)[nH]c(C)c1C(=O)NC1CCN(C(C)=O)CC1,0
34,CSC1OC(CO)C(O)C(O)C1OC(=O)C(C)(C)C,0
35,CNc1cc(NCC2CCCCC2C(=O)O)ccn1,0
36,COC(=O)CN(c1ccccn1)c1ccccc1C(=O)O,0
37,O=C(O)CCCN1CN=C2NCN(CCc3ccccc3)CN2C1,0
38,CN(Cc1cccnc1)C1CCCN(CC(=O)N2CCCC2)C1,0
39,N#Cc1c(NC(=O)CCc2cccc3ccccc23)sc2c1CCN(C(=O)CCN1CCCCC1)C2,0
