mid,smiles
1,CC1=C(C2=NN=C(SC(C)C(N)=O)O2)C=CO1
2,NCC1=CC=C(CSC2=NC=CN2)C(F)=C1
3,CCC1=NC(CCN)=C(Br)S1
4,COC1=CC(Br)=CC=C1C(=O)N1CCNC(C)C1
5,CC1CCCCC1NC(=O)C1=CC=C(CSC2=CC=CC=C2)C=C1
6,CCCNC(=O)NCCC1=CC(O)=CC=C1O
7,O=S(=O)(C1=CC=C2CCCC2=C1)N1CCN(CN2N=CC=C2C2=CC=NC=C2)CC1
8,N#CCN(C(=O)C1=CC=CC=C1Br)C1=CC=CC=C1S(=O)(=O)O
9,CC1=CC=C(C)C(C(=O)CN(C)CCC2=CC=CS2)=C1
10,CCC1=CC(CC)=C(C2=CC=C(O)C=C2)C(O)=C1CC
11,CC1=CC=CC(N2C=CC(CNC3CC3)=N2)=C1C#N
12,O=S(=O)(CC1=CC=CC=C1)C1=CC=CN=C1C1=CC=CC=N1
13,O=C(O)CCCCC(=O)NC1=NC2=CC=CC=C2S1
14,O=S(=O)(C1=CC=CC2=CC=CC=C21)C1=C2OC(F)(F)OC2=CC2=C1OC=C2
15,CC1=CC=C(CC2CC(=O)N(C3=CC=CC(C=CC(=O)O)=C3)C2=O)C=C1
16,CC(C)(C)C1CCC(NCCCOCC2CCCO2)CC1
17,CNC(C1=CC=C(F)C=C1)C(C)SC1=NC=CC=C1Cl
18,CC1=CC(C)=C(OCC(C)C)C(C(N)=O)=C1
19,CCCC1=CC(OCCC(C)C)=C(C(=O)O)S1
20,CC(C)OC(=O)C1CC12CCC1=CC=C(O)C=C12
21,CC1CCCN(CC(O)C2=CC=C(F)C=C2)C1
22,NCC1=CC=CC(F)=C1OC1=CC=C(F)C(F)=C1
23,O=C(CC1=CC=CC(Br)=C1)NC1=CC=C(F)C=C1
24,CC(C)N1CCC2=NC3=C(C=C2C1)C(N)=C(C(=O)NC1=CC=C(C(=O)O)C=C1)S3
