mid,smiles
1,CC1=C(C2=CC=C(CC(=O)O)C=C2)SC=C1
2,NCC1=CC=C(CSC2=NC=CC=C2Br)C(F)=C1
3,CCC1=C(CCN)OC(C2CCCC2)=N1
4,COC1=CC(Br)=C(Br)C(C=NC2=CC=C(O)C(C3=NC4=CC=CC=C4O3)=C2)=C1O
5,CC1CCCCC1NC(=O)C1=CC=C(OCC(=O)N(C)C)C=C1
6,O=CC1=CC=C(Cl)C=C1OCCC1CCCO1
7,CC1=NC(COC2=CC=CC=C2C(=O)OCC(=O)NC2=CC=CC(Cl)=C2)=CS1
8,O=C(O)C1CCCC2=C1N=C(C1=CC=CC(O)=C1)S2
9,CC(C)(C)OC(=O)N(C(=O)O)C1=CC=CC2=CC=C(N)N=C21
10,CC1=CC=CC(OCC2=CC=C(C#N)C=C2F)=C1F
11,O=C(CCC1=CC=C(Cl)C=C1)OCC1=CC(Cl)=CC2=C1OCOC2
12,CC1=CC=C(COC2=CC=CC=C2C(O)CCN(C)C)C=C1
13,COC1=CC=C(CN(C(=O)C2=CC(=O)C3=CC(C)=CC=C3O2)C2CC2)C=C1
14,CC(=O)C1=CC(C2=CC=C(F)C=C2Cl)=CC=C1C
15,O=S1(=O)CCC(C(O)COC2=CC=CC(O)=C2)C1
16,CC1=CC=C(C(C)(C)C)C=C1NC1=NC(NCC2CCNCC2)=NC2=C1N(C)C=N2
17,CCOC(=O)C(F)(F)C(NC(=O)C1=CC=C(F)C=C1)C1=CC=C(OC)C=C1
18,CCOC1=C(CC(N)=O)C(C2=CC=CC(O)=C2)=NO1
19,CN(C)CC1=CC=CC(COC2=CC=CC3=C2C(O)(CC#N)C2=CC=CC=C2S3)=C1
20,CC1=CC=C2C=CC=C(C(=O)OCCOC(C)C)C2=N1
21,CC(C)(C)C1=CC=C(OC2=CC=C([N+](=O)[O-])C=C2)C(C(C)(C)C)=C1
22,CC(C)(C)OCCOCCCOC1=NC=CC=C1N
23,CC1=C(C2(C(=O)O)CCCC2)C=CS1
24,CC(C)C(O)CCC1=CC=CC(O)=C1
25,COC1=CC=C(CC(C#N)CC#N)C=C1CCl
26,CCC1=NC=C(C(C)(C)CC)S1
27,CC(C)(C)CC1=CC=C[CH-]1
28,O=C(O)C1=CC=C(C(=O)C2=CC=CC=C2C(=O)O)C(Cl)=C1
29,CC(NCC1=CC=CC=C1)C1=C(F)C=CC=C1F
30,COC1=CC=C(CC2=NN=C(SC(C)C(=O)C3=CC=C(F)C=C3)O2)C=C1
31,C1=CC=C(C2=CC=CC=C2)C=C1
32,CC(NCC1=CSC(C2=NC=CC=N2)=N1)C1=CC=CS1
33,CCC(N)CC1=CC=CC(F)=C1OCC1=NOC(C)=C1
34,CCN(CC)S(=O)(=O)C1=CC=CC(C2=NN(C3=CC=CC=C3)C=C2C=C(C#N)C(=O)NC)=C1
35,CC(=N)C=CC(=N)C1=CC=C(C)N1
36,CCNC(CC1=CC=C(Cl)C=C1F)C1=CC(C)=CC=C1Br
37,C=CC(=O)OCCOC1=CC=CC=C1OC(=O)C=C
38,C=CCNC(=O)C1=CC=C2SC(C)C(=O)NC2=C1
39,CNC(C1=CC=C(F)C=C1)C1=CC(Br)=CC=C1Br
40,CC1=CC=C2C(=C1)C(=O)C1=CC(C)=CC(C)=C12
41,CCC(C)(C)C1=CC=C(OC2CCCC2)C=C1C(=O)N1CCOCC1
42,CCC1=CC=C(N2CC(C(=O)NCC(C3=CC=CS3)N(C)C)CC2=O)C=C1
43,CCCCCC(=O)C[S+](CC1=CC=CC=C1)CC1=CC=CC=C1
44,CC(C)CCN(C)S(=O)(=O)C1=CC=C(S(=O)(=O)Cl)C=C1F
45,CCCCC(=O)C1=CC=C(OC(=O)NC)C=C1
46,OCC(CO)(CC1CCCO1)C1=CC=CC(Cl)=C1
47,O=C(CC1(O)CCCCC1)N1C(=O)OCC1CC1=CC=CC=C1
48,COC1=CC=C(C(=O)OC2=C(C)C=C3C=CC=CC3=C2C)C=C1OC
49,O=C(O)CC1=CC=C(OCC(F)(F)C2=CC=CC=C2)C(Cl)=C1
50,CCN(CC1=CC=NC=C1)C1=CC=C(C#N)C=C1Cl
51,CCOC(=O)C(F)(F)CC1(C2=CC=CC=C2)OC(=O)C2CCCC21
52,C1=CC2=CN=CC3=C2C(=C1)C=CC=C3
53,CN1C(=S)SC=C1C1=CC=C(C(F)(F)F)C=C1
54,C=C(CC)C(=O)OC(=O)C(=O)O
55,COC(=O)C(CC1=CC=CC=C1)NC(=O)CCOC1=CC=CC=C1C
56,CC(C)(C)OC(=O)C1=C2C3CCCC3C3=C(Br)C=CC=C3N2C=N1
57,CCCC(=O)C(CC)C(=O)N(C)C
58,C=C(C)C1CC=C(C)C(=NNC(=O)C2=CC=C(Cl)S2)C1
59,COC1=CC=CC=C1C(C)C(NC(=O)OC(C)(C)C)C(=O)N1CCC(O)(C2=CC=CC=C2)CC1
60,COC1=CC=CC=C1C1=NNC2=CC(=O)NC=C21
61,CCCC(CNC(=O)C(C)C)C(=O)O
62,O=C1COC2(COCCN(CC3=CC=CO3)C2)CN1CC1=CC=CC=N1
63,O=C(C1=CC(Br)=CS1)C1=CN=CC2=CC=CC=C21
64,O=C(C1=C(Br)C=CS1)C1CCCCS1
65,C=CCC1=CC(C(=O)NC(C)C2=CC=CC=C2)=CC(OC)=C1OC
66,O=C(O)C1=CC=C(COC2=CC=C(Br)C(F)=C2)C(Br)=C1
67,CCC(=O)NC1=CC=C(C)C(NC(=O)C2=CC3=C(S2)N(CC2=CC=C(OC)C=C2)N=C3C)=C1
68,CC(C)C1=NC(COC2=CC=CC=C2CCO)=CS1
69,N#CC1=CC=C(COC2=CC=CC(C=O)=C2O)C(Cl)=C1
70,CC1=CC=C(OCC(O)CSC2=CC=CC=N2)C=C1C
71,COC(C)C(N)C1=CC=CC(CC(C)C)=C1
72,CC(=O)C1CCCCC1C1=CC=C(F)C=C1
73,CC1=CC=C(NC2=NC=NC(C)=C2C)C(O)=C1
74,CC1=CC(C(=O)CSC(C)C(C)O)=C(C)S1
75,CC1=CC=C(C(C)(C)C)C(OC2=CC=C(C#N)C(Br)=C2)=C1
76,CC(C)C1=CC(=O)C2=CC(CC(C)C3=CC=CC4=CC=CC=C43)=CC=C2C1=O
77,COC1=CC=C(C=CC(=O)NC(C)C(=O)OC(C)C(=O)NC2=CC(Cl)=CC=C2C)C=C1
78,COC(=O)CCC1=CC=C2C3=CC=CC=C3CCN12
79,COC1=CC=CC2=C1NC1=C2CCC(C(=O)O)C1
80,N#CC1=C(Cl)N=C(SC2=CC=CN=C2)S1
81,COC1=CC=C(C2=C(OC(C)C(=O)C3=CC=CC=C3)C(=O)C3=CC(C)=CC(C)=C3O2)C=C1OC
82,CC1=CC=C(C(C)NS(=O)(=O)C2=CC=C3C=CC=CC3=C2)C=C1
83,C=C1N=NC(C)=C2C1=CNN2CC
84,COC1=CC=CC(CC2(O)CC3CCC(C2)N3)=C1
85,CN(CC1=CC=C(Cl)C(Cl)=C1)C(=O)COC(=O)C1=CC=CC(Cl)=C1
86,O=C(COC1=CC=CC(Cl)=C1)NCC1(O)CCOC1
87,CC1=CC=C(OCCOC2=CC=CC=C2CCNC(=O)CC#N)C=C1C
88,CCOC1=CC(Br)=C(Br)C(C=NC2=CC=C(O)C(C3=NC4=CC=CC=C4O3)=C2)=C1O
89,CC(C)C(N)C(=O)OC1=CSC=C1
90,N#CC(C(=O)CCC1=CC(F)=CC=C1F)C1=CC=CC=N1
91,CCC(N)C(=O)C1=CC=CC=C1OC(C)C
92,CC(C)(C)OC(=O)NC(CC1=CC=CC=C1F)C(=O)CC1=NC=CC=C1C(=O)O
93,N#CC1=CC=C(C(O)CC2=CC=CC=C2F)C(F)=C1
94,COC1=CC=C(C2=CC=C(C3=CC=C(C#N)C=C3)C(F)=C2)C=C1OC
95,O=S(=O)(O)CC(F)(F)CCC(F)(F)C(F)(F)CC(F)(F)F
96,CCOC(=O)C1=CC2=C(C=N1)NC1=CC=C(OC3=CC=CC=C3)C=C12
97,CC(=O)CCC1COC2=CC=C(NC(=O)C(C)(C)C)C=C21
98,COC1=CC(OC)=C2C(=C1CC=C(C)C)OC(C1=CC=C(OC)C(OC)=C1)CC2OC
99,CCNC(CC1=CC(Cl)=CC=C1OC)CS(C)(=O)=O
100,CCCCC1=CC=C(OCC2=CC=C(C(=O)OC)C=N2)C=C1
101,O=C(O)C1=CC=CC(F)=C1
102,CC(C)(O)C#CC1=CC=C(C(=O)O)S1
103,C1=CC=C(C2CC2C2=CC=C(C3=NC=CS3)C=C2)C=C1
104,CC1=CC=CC(C)=C1CC(O)C1CC1(C)C
105,CNC1=NC=C(C(=O)COC)C=C1OC(F)F
106,CCC(C)NC(=O)C1=CC=CC=C1OCC1=CC=CC=C1
107,COC1=CC=C2C=C(C(C)C(=O)NC3=CC(Cl)=CC=C3C#N)C=CC2=C1
108,CCCCC(CC)C(=O)OCC(F)SC1=CC=CC=C1
109,NCC1CC1(C1=CC=CC=C1)C1=CC=CC=C1
110,COC1=C(C)C=C(Cl)C=C1C1=CC=C(CC(=O)O)O1
111,COC(=O)C1=CC(C)=CC=C1NOC(C)(C)C(C)C
112,COC(=O)C(NC1=CC=CC=C1F)C1=CC=C(C)C=C1Br
